,date,open,close,high,low,volume,code
0,2001-01-05,-12.819,-12.699,-12.656,-12.838,264316.22,600309
1,2001-01-08,-12.71,-12.703,-12.639,-12.738,59145.41,600309
2,2001-01-09,-12.695,-12.691,-12.66,-12.715,23279.14,600309
3,2001-01-10,-12.694,-12.695,-12.676,-12.699,13278.05,600309
4,2001-01-11,-12.699,-12.704,-12.684,-12.723,18306.02,600309
5,2001-01-12,-12.707,-12.739,-12.697,-12.747,18511.5,600309
6,2001-01-15,-12.739,-12.713,-12.713,-12.743,9851.69,600309
7,2001-01-16,-12.731,-12.723,-12.706,-12.738,6943.63,600309
8,2001-01-17,-12.727,-12.727,-12.711,-12.735,4682.4,600309
9,2001-01-18,-12.729,-12.717,-12.703,-12.735,7149.13,600309
10,2001-01-19,-12.723,-12.683,-12.667,-12.723,6981.7,600309
11,2001-02-05,-12.675,-12.756,-12.672,-12.779,13916.0,600309
12,2001-02-06,-12.763,-12.768,-12.746,-12.782,12862.4,600309
13,2001-02-07,-12.775,-12.815,-12.767,-12.819,11239.34,600309
14,2001-02-08,-12.815,-12.799,-12.782,-12.818,5245.1,600309
15,2001-02-09,-12.805,-12.753,-12.747,-12.807,6380.05,600309
16,2001-02-12,-12.753,-12.739,-12.739,-12.779,2623.99,600309
17,2001-02-13,-12.739,-12.741,-12.724,-12.77,5242.85,600309
18,2001-02-14,-12.739,-12.743,-12.73,-12.752,2470.19,600309
19,2001-02-15,-12.751,-12.757,-12.724,-12.763,2186.29,600309
20,2001-02-16,-12.751,-12.74,-12.734,-12.777,1584.5,600309
21,2001-02-19,-12.739,-12.748,-12.737,-12.75,1697.5,600309
22,2001-02-20,-12.763,-12.755,-12.739,-12.763,2289.1,600309
23,2001-02-21,-12.761,-12.777,-12.761,-12.779,1757.05,600309
24,2001-02-22,-12.778,-12.759,-12.746,-12.779,1847.8,600309
25,2001-02-23,-12.767,-12.741,-12.74,-12.767,1119.19,600309
26,2001-02-26,-12.735,-12.731,-12.727,-12.751,2077.0,600309
27,2001-02-27,-12.724,-12.723,-12.715,-12.739,2863.71,600309
28,2001-02-28,-12.723,-12.723,-12.717,-12.728,2062.59,600309
29,2001-03-01,-12.726,-12.699,-12.699,-12.726,3162.72,600309
30,2001-03-02,-12.687,-12.699,-12.683,-12.699,5872.01,600309
31,2001-03-05,-12.705,-12.677,-12.673,-12.705,3661.79,600309
32,2001-03-06,-12.671,-12.638,-12.637,-12.679,8611.78,600309
33,2001-03-07,-12.638,-12.563,-12.53,-12.639,15717.77,600309
34,2001-03-08,-12.563,-12.539,-12.526,-12.579,10698.74,600309
35,2001-03-09,-12.539,-12.528,-12.516,-12.553,6198.91,600309
36,2001-03-12,-12.52,-12.418,-12.387,-12.532,13828.78,600309
37,2001-03-13,-12.419,-12.456,-12.4,-12.462,9094.51,600309
38,2001-03-14,-12.465,-12.386,-12.353,-12.468,9719.47,600309
