,date,open,close,high,low,volume,code
0,2003-07-03,-2.411,-2.455,-2.411,-2.486,338167.15,600031
1,2003-07-04,-2.455,-2.441,-2.432,-2.461,76975.44,600031
2,2003-07-07,-2.439,-2.442,-2.438,-2.449,39512.05,600031
3,2003-07-08,-2.442,-2.439,-2.431,-2.444,21173.57,600031
4,2003-07-09,-2.443,-2.424,-2.42,-2.444,34404.47,600031
5,2003-07-10,-2.428,-2.42,-2.413,-2.429,31376.4,600031
6,2003-07-11,-2.42,-2.405,-2.399,-2.422,32129.06,600031
7,2003-07-14,-2.404,-2.388,-2.379,-2.407,46817.66,600031
8,2003-07-15,-2.389,-2.387,-2.383,-2.393,20335.02,600031
9,2003-07-16,-2.392,-2.384,-2.38,-2.392,20743.79,600031
10,2003-07-17,-2.384,-2.355,-2.35,-2.384,34824.04,600031
11,2003-07-18,-2.355,-2.364,-2.333,-2.366,52822.77,600031
12,2003-07-21,-2.367,-2.352,-2.348,-2.368,28493.98,600031
13,2003-07-22,-2.345,-2.365,-2.341,-2.384,25146.86,600031
14,2003-07-23,-2.365,-2.363,-2.359,-2.375,8014.4,600031
15,2003-07-24,-2.363,-2.342,-2.335,-2.366,23829.8,600031
16,2003-07-25,-2.332,-2.353,-2.322,-2.359,28246.52,600031
17,2003-07-28,-2.358,-2.361,-2.344,-2.374,12374.91,600031
18,2003-07-29,-2.37,-2.361,-2.353,-2.371,13123.53,600031
19,2003-07-30,-2.362,-2.365,-2.358,-2.367,7740.51,600031
20,2003-07-31,-2.366,-2.372,-2.366,-2.384,25256.9,600031
21,2003-08-01,-2.373,-2.386,-2.373,-2.395,37382.99,600031
22,2003-08-04,-2.384,-2.36,-2.357,-2.39,17592.75,600031
23,2003-08-05,-2.358,-2.362,-2.354,-2.366,8105.62,600031
24,2003-08-06,-2.364,-2.362,-2.361,-2.371,5986.25,600031
25,2003-08-07,-2.366,-2.363,-2.357,-2.367,4065.2,600031
26,2003-08-08,-2.35,-2.351,-2.348,-2.361,16415.04,600031
27,2003-08-11,-2.352,-2.356,-2.348,-2.361,5324.47,600031
28,2003-08-12,-2.34,-2.354,-2.34,-2.357,6099.84,600031
29,2003-08-13,-2.356,-2.367,-2.355,-2.367,8262.6,600031
30,2003-08-14,-2.367,-2.368,-2.358,-2.371,7064.48,600031
31,2003-08-15,-2.37,-2.364,-2.361,-2.371,3828.86,600031
32,2003-08-18,-2.361,-2.384,-2.361,-2.387,18105.36,600031
33,2003-08-19,-2.384,-2.377,-2.376,-2.386,5045.89,600031
34,2003-08-20,-2.376,-2.383,-2.374,-2.386,4948.79,600031
35,2003-08-21,-2.386,-2.385,-2.377,-2.388,4332.72,600031
36,2003-08-22,-2.384,-2.388,-2.38,-2.391,4417.44,600031
37,2003-08-25,-2.39,-2.397,-2.39,-2.4,11008.28,600031
38,2003-08-26,-2.399,-2.395,-2.391,-2.399,2413.52,600031
39,2003-08-27,-2.395,-2.39,-2.388,-2.397,1552.85,600031
