,date,open,close,high,low,volume,code
0,2000-01-04,-1.097,-1.091,-1.089,-1.109,2389.57,600703
1,2000-01-05,-1.093,-1.08,-1.069,-1.097,4748.43,600703
2,2000-01-06,-1.081,-1.075,-1.069,-1.089,4326.37,600703
3,2000-01-07,-1.073,-1.058,-1.057,-1.077,10710.42,600703
4,2000-01-10,-1.058,-1.064,-1.044,-1.073,8359.55,600703
5,2000-01-11,-1.066,-1.093,-1.065,-1.097,6772.0,600703
6,2000-01-12,-1.096,-1.085,-1.075,-1.109,6825.0,600703
7,2000-01-13,-1.086,-1.1,-1.086,-1.101,2579.0,600703
8,2000-01-14,-1.103,-1.096,-1.094,-1.13,3716.05,600703
9,2000-01-17,-1.097,-1.113,-1.097,-1.118,4028.18,600703
10,2000-01-18,-1.121,-1.122,-1.117,-1.129,5511.83,600703
11,2000-01-19,-1.121,-1.119,-1.114,-1.125,2913.25,600703
12,2000-01-20,-1.116,-1.124,-1.114,-1.124,3847.97,600703
13,2000-01-21,-1.122,-1.12,-1.111,-1.122,4228.74,600703
14,2000-01-24,-1.127,-1.145,-1.127,-1.148,8676.9,600703
15,2000-01-25,-1.138,-1.099,-1.099,-1.138,12986.16,600703
16,2000-01-26,-1.094,-1.099,-1.089,-1.113,10840.08,600703
17,2000-01-27,-1.096,-1.106,-1.096,-1.114,6723.98,600703
18,2000-01-28,-1.137,-1.124,-1.114,-1.156,9121.76,600703
19,2000-02-14,-1.121,-1.088,-1.082,-1.129,14635.92,600703
20,2000-02-15,-1.087,-1.111,-1.087,-1.113,18960.64,600703
21,2000-02-16,-1.121,-1.096,-1.087,-1.137,19270.62,600703
22,2000-02-17,-1.097,-1.078,-1.058,-1.106,31201.57,600703
23,2000-02-18,-1.078,-1.096,-1.078,-1.109,8829.7,600703
24,2000-02-21,-1.096,-1.105,-1.096,-1.119,10949.0,600703
25,2000-02-22,-1.105,-1.092,-1.081,-1.109,12436.58,600703
26,2000-02-23,-1.092,-1.084,-1.08,-1.107,12257.23,600703
27,2000-02-24,-1.084,-1.091,-1.081,-1.097,7685.21,600703
28,2000-02-25,-1.091,-1.058,-1.058,-1.095,28234.27,600703
29,2000-02-28,-1.058,-1.037,-1.024,-1.072,37743.28,600703
30,2000-02-29,-1.028,-1.051,-1.028,-1.056,21117.53,600703
31,2000-03-01,-1.049,-1.051,-1.034,-1.058,13152.04,600703
32,2000-03-02,-1.051,-1.056,-1.043,-1.069,14650.78,600703
33,2000-03-03,-1.056,-1.053,-1.051,-1.066,11116.38,600703
34,2000-03-06,-1.053,-1.081,-1.048,-1.083,11336.31,600703
35,2000-03-07,-1.083,-1.073,-1.069,-1.093,7094.25,600703
36,2000-03-08,-1.066,-1.07,-1.066,-1.078,5340.84,600703
37,2000-03-09,-1.071,-1.081,-1.071,-1.086,7161.63,600703
38,2000-03-10,-1.075,-1.074,-1.073,-1.089,5886.76,600703
39,2000-03-13,-1.074,-1.047,-1.043,-1.08,13139.7,600703
40,2000-03-14,-1.05,-1.058,-1.05,-1.073,11272.62,600703
41,2000-03-15,-1.058,-1.031,-1.028,-1.058,18020.75,600703
42,2000-03-16,-1.031,-1.062,-1.03,-1.066,13838.68,600703
43,2000-03-17,-1.059,-1.018,-1.011,-1.062,31413.23,600703
44,2000-03-20,-1.018,-0.983,-0.982,-1.026,51827.9,600703
45,2000-03-21,-0.98,-0.995,-0.977,-1.006,22483.51,600703
46,2000-03-22,-0.995,-1.009,-0.991,-1.018,14522.1,600703
47,2000-03-23,-1.009,-0.995,-0.98,-1.01,16160.45,600703
48,2000-03-24,-0.993,-1.014,-0.98,-1.017,14826.57,600703
49,2000-03-27,-1.017,-0.996,-0.991,-1.018,14890.1,600703
50,2000-03-28,-0.996,-0.972,-0.961,-1.002,25359.75,600703
51,2000-03-29,-0.972,-0.977,-0.963,-0.988,13535.09,600703
52,2000-03-30,-0.971,-0.975,-0.969,-0.983,11228.79,600703
53,2000-03-31,-0.976,-0.969,-0.963,-0.983,11793.99,600703
54,2000-04-03,-0.971,-0.963,-0.941,-0.977,15821.69,600703
55,2000-04-04,-0.967,-0.99,-0.964,-0.991,12677.0,600703
56,2000-04-05,-0.988,-0.984,-0.982,-1.002,8816.77,600703
57,2000-04-06,-0.986,-0.979,-0.973,-0.995,7145.18,600703
58,2000-04-07,-0.972,-0.988,-0.968,-0.992,8108.0,600703
59,2000-04-10,-0.988,-0.979,-0.974,-0.995,8772.08,600703
60,2000-04-11,-0.969,-0.966,-0.939,-0.975,33922.12,600703
61,2000-04-12,-0.966,-0.97,-0.954,-0.98,10998.32,600703
62,2000-04-13,-0.967,-0.972,-0.959,-0.979,7267.33,600703
63,2000-04-14,-0.98,-0.976,-0.972,-0.98,8427.27,600703
64,2000-04-17,-0.979,-0.987,-0.976,-0.998,9509.7,600703
65,2000-04-18,-0.994,-0.989,-0.985,-0.996,6310.0,600703
66,2000-04-19,-0.979,-0.956,-0.94,-0.984,24975.22,600703
67,2000-04-20,-0.951,-0.925,-0.916,-0.951,39498.74,600703
68,2000-04-21,-0.899,-0.939,-0.892,-0.955,26531.15,600703
69,2000-04-24,-0.943,-0.94,-0.917,-0.945,11837.14,600703
70,2000-04-25,-0.94,-0.955,-0.931,-0.957,8112.08,600703
71,2000-04-26,-0.955,-0.953,-0.939,-0.957,7216.33,600703
72,2000-04-27,-0.939,-0.942,-0.923,-0.952,19867.2,600703
73,2000-04-28,-0.947,-0.946,-0.92,-0.965,12188.64,600703
74,2000-05-08,-0.946,-0.936,-0.931,-0.962,8910.64,600703
75,2000-05-09,-0.935,-0.916,-0.908,-0.937,21326.28,600703
76,2000-05-10,-0.916,-0.935,-0.909,-0.938,10358.89,600703
77,2000-05-11,-0.938,-0.962,-0.935,-0.963,7843.0,600703
78,2000-05-12,-0.965,-0.965,-0.951,-0.967,7235.14,600703
79,2000-05-15,-0.965,-0.949,-0.947,-1.002,7789.61,600703
80,2000-05-16,-0.939,-0.924,-0.923,-0.955,8932.9,600703
81,2000-05-17,-0.924,-0.917,-0.917,-0.931,11520.19,600703
82,2000-05-18,-0.916,-0.903,-0.901,-0.93,18743.84,600703
83,2000-05-19,-0.903,-0.896,-0.88,-0.916,21068.65,600703
84,2000-05-22,-0.892,-0.87,-0.862,-0.897,24578.61,600703
85,2000-05-23,-0.869,-0.878,-0.859,-0.886,17661.64,600703
86,2000-05-24,-0.879,-0.884,-0.876,-0.899,14925.65,600703
87,2000-05-25,-0.876,-0.874,-0.864,-0.894,12917.85,600703
88,2000-05-26,-0.872,-0.862,-0.856,-0.892,16549.53,600703
89,2000-05-29,-0.857,-0.813,-0.805,-0.868,40978.95,600703
90,2000-05-30,-0.811,-0.816,-0.79,-0.829,27947.16,600703
91,2000-05-31,-0.822,-0.826,-0.801,-0.83,19871.67,600703
92,2000-06-01,-0.825,-0.799,-0.787,-0.837,15425.88,600703
93,2000-06-02,-0.797,-0.781,-0.757,-0.805,23777.07,600703
94,2000-06-05,-0.766,-0.783,-0.699,-0.791,46147.19,600703
95,2000-06-06,-0.789,-0.731,-0.726,-0.799,26786.23,600703
96,2000-06-07,-0.728,-0.718,-0.696,-0.75,28957.15,600703
97,2000-06-08,-0.718,-0.72,-0.712,-0.74,18883.53,600703
98,2000-06-09,-0.722,-0.718,-0.714,-0.74,18638.68,600703
99,2000-06-12,-0.72,-0.679,-0.675,-0.733,24603.12,600703
100,2000-06-13,-0.679,-0.617,-0.598,-0.687,41589.98,600703
101,2000-06-14,-0.624,-0.614,-0.589,-0.647,28733.01,600703
102,2000-06-15,-0.615,-0.714,-0.613,-0.714,62879.42,600703
103,2000-06-19,-0.771,-0.804,-0.75,-0.804,46785.09,600703
104,2000-06-20,-0.821,-0.856,-0.807,-0.86,37975.57,600703
105,2000-06-21,-0.86,-0.857,-0.837,-0.874,24493.16,600703
106,2000-06-22,-0.857,-0.805,-0.805,-0.86,24420.82,600703
107,2000-06-23,-0.8,-0.79,-0.77,-0.801,29732.43,600703
108,2000-06-26,-0.801,-0.838,-0.801,-0.867,31306.2,600703
109,2000-06-27,-0.838,-0.819,-0.813,-0.86,10697.41,600703
110,2000-06-28,-0.821,-0.835,-0.821,-0.845,8702.96,600703
111,2000-06-29,-0.837,-0.849,-0.837,-0.856,6929.03,600703
112,2000-06-30,-0.852,-0.875,-0.852,-0.9,23767.53,600703
113,2000-07-03,-0.886,-0.883,-0.862,-0.9,8824.66,600703
114,2000-07-04,-0.883,-0.865,-0.864,-0.886,7995.96,600703
115,2000-07-05,-0.875,-0.86,-0.856,-0.883,6118.19,600703
116,2000-07-06,-0.826,-0.851,-0.826,-0.866,4299.58,600703
117,2000-07-07,-0.847,-0.835,-0.835,-0.864,9068.29,600703
118,2000-07-10,-0.852,-0.852,-0.837,-0.868,7903.43,600703
119,2000-07-11,-0.854,-0.829,-0.829,-0.9,27398.39,600703
120,2000-07-12,-0.825,-0.845,-0.822,-0.848,8613.55,600703
121,2000-07-13,-0.845,-0.857,-0.84,-0.864,8087.82,600703
122,2000-07-14,-0.86,-0.852,-0.852,-0.868,5962.82,600703
