,date,open,close,high,low,volume,code
0,2000-01-04,-10.298,-10.212,-10.176,-10.347,38677.08,600104
1,2000-01-05,-10.212,-10.249,-10.176,-10.271,31082.24,600104
2,2000-01-06,-10.259,-10.109,-10.102,-10.284,44351.49,600104
3,2000-01-07,-10.104,-10.046,-9.967,-10.104,112187.11,600104
4,2000-01-10,-10.028,-9.994,-9.943,-10.031,130462.11,600104
5,2000-01-11,-10.004,-10.163,-10.004,-10.185,51213.24,600104
6,2000-01-12,-10.18,-10.225,-10.146,-10.234,25200.5,600104
7,2000-01-13,-10.225,-10.232,-10.2,-10.234,11946.9,600104
8,2000-01-14,-10.2,-10.257,-10.18,-10.266,13281.6,600104
9,2000-01-17,-10.249,-10.222,-10.178,-10.276,10577.83,600104
10,2000-01-18,-10.205,-10.234,-10.2,-10.249,13028.42,600104
11,2000-01-19,-10.234,-10.161,-10.117,-10.237,47814.7,600104
12,2000-01-20,-10.156,-10.139,-10.136,-10.195,28845.58,600104
13,2000-01-21,-10.139,-10.225,-10.131,-10.227,71363.9,600104
14,2000-01-24,-10.22,-10.212,-10.176,-10.274,43494.22,600104
15,2000-01-25,-10.225,-10.06,-9.992,-10.274,166608.57,600104
16,2000-01-26,-9.984,-10.151,-9.982,-10.176,113305.06,600104
17,2000-01-27,-10.131,-10.176,-10.107,-10.2,87885.7,600104
18,2000-01-28,-10.163,-10.08,-10.046,-10.18,136939.38,600104
19,2000-02-14,-9.979,-9.82,-9.82,-9.979,276381.23,600104
20,2000-02-15,-9.739,-9.992,-9.714,-10.011,257493.29,600104
21,2000-02-16,-9.992,-10.053,-9.95,-10.073,99479.25,600104
22,2000-02-17,-10.028,-9.984,-9.864,-10.077,192161.38,600104
23,2000-02-18,-9.795,-10.048,-9.795,-10.077,75484.46,600104
24,2000-02-21,-10.026,-10.028,-9.916,-10.07,108560.67,600104
25,2000-02-22,-9.984,-10.082,-9.979,-10.102,72907.78,600104
26,2000-02-23,-10.09,-10.171,-10.082,-10.176,48622.47,600104
27,2000-02-24,-10.171,-10.158,-10.114,-10.188,30649.0,600104
28,2000-02-25,-10.151,-10.193,-10.139,-10.212,40122.78,600104
29,2000-02-28,-10.195,-10.176,-10.134,-10.249,56291.23,600104
30,2000-02-29,-10.156,-10.102,-10.014,-10.166,82320.9,600104
31,2000-03-01,-10.046,-10.073,-9.982,-10.102,118894.15,600104
32,2000-03-02,-10.058,-10.127,-10.021,-10.163,51755.39,600104
33,2000-03-03,-10.127,-10.117,-10.077,-10.139,56257.59,600104
34,2000-03-06,-10.114,-10.131,-10.014,-10.136,54430.92,600104
35,2000-03-07,-10.131,-9.989,-9.952,-10.134,115521.53,600104
36,2000-03-08,-9.987,-10.05,-9.979,-10.077,44588.68,600104
37,2000-03-09,-10.053,-10.031,-9.984,-10.085,56216.73,600104
38,2000-03-10,-10.016,-10.122,-9.992,-10.127,48279.0,600104
39,2000-03-13,-10.114,-10.102,-10.053,-10.127,29731.59,600104
40,2000-03-14,-10.127,-10.18,-10.127,-10.227,69348.85,600104
41,2000-03-15,-10.176,-10.173,-10.131,-10.183,32728.75,600104
42,2000-03-16,-10.225,-10.225,-10.18,-10.249,51197.56,600104
43,2000-03-17,-10.225,-10.2,-10.193,-10.225,36192.68,600104
44,2000-03-20,-10.21,-10.161,-10.127,-10.217,31968.56,600104
45,2000-03-21,-10.151,-10.156,-10.144,-10.2,42215.51,600104
46,2000-03-22,-10.176,-10.176,-10.136,-10.19,40600.28,600104
47,2000-03-23,-10.163,-10.146,-10.112,-10.176,48733.99,600104
48,2000-03-24,-10.114,-10.19,-10.112,-10.2,54348.21,600104
49,2000-03-27,-10.185,-10.163,-10.163,-10.2,59352.46,600104
50,2000-03-28,-10.141,-9.996,-9.955,-10.153,214357.11,600104
51,2000-03-29,-9.992,-10.009,-9.974,-10.085,118605.24,600104
52,2000-03-30,-10.009,-10.001,-9.984,-10.053,66365.87,600104
53,2000-03-31,-10.004,-9.962,-9.886,-10.028,177993.4,600104
54,2000-04-03,-9.955,-10.014,-9.918,-10.026,76856.49,600104
55,2000-04-04,-10.028,-10.09,-10.026,-10.097,49093.3,600104
56,2000-04-05,-10.087,-10.036,-10.004,-10.09,53105.9,600104
57,2000-04-06,-10.036,-10.014,-9.984,-10.077,42492.32,600104
58,2000-04-07,-9.992,-9.979,-9.93,-10.026,89244.79,600104
59,2000-04-10,-9.96,-9.761,-9.709,-9.96,329813.57,600104
60,2000-04-11,-9.486,-9.8,-9.486,-9.842,242289.54,600104
61,2000-04-12,-9.808,-9.766,-9.614,-9.812,293578.97,600104
62,2000-04-13,-9.734,-9.68,-9.648,-9.781,184358.5,600104
63,2000-04-14,-9.66,-9.786,-9.641,-9.795,130572.17,600104
64,2000-04-17,-9.788,-9.906,-9.709,-9.935,161303.96,600104
65,2000-04-18,-9.881,-9.759,-9.751,-9.935,126028.96,600104
66,2000-04-19,-9.754,-9.69,-9.636,-9.783,265117.35,600104
