,date,open,close,high,low,volume,code
0,2000-01-04,0.448,0.538,0.622,0.344,29257.0,600009
1,2000-01-05,0.59,0.564,0.719,0.473,52921.07,600009
2,2000-01-06,0.538,0.661,0.661,0.461,35012.58,600009
3,2000-01-07,0.719,0.881,1.049,0.719,130268.74,600009
4,2000-01-10,0.978,1.042,1.146,0.764,252289.64,600009
5,2000-01-11,1.088,0.829,1.165,0.764,133070.67,600009
6,2000-01-12,0.797,0.486,0.887,0.473,84113.39,600009
7,2000-01-13,0.596,0.364,0.596,0.344,41988.86,600009
8,2000-01-14,0.364,0.273,0.473,0.254,30528.0,600009
9,2000-01-17,0.267,0.254,0.273,0.163,17697.66,600009
10,2000-01-18,0.267,0.215,0.338,0.183,16404.5,600009
11,2000-01-19,0.215,0.273,0.37,0.215,16876.22,600009
12,2000-01-20,0.28,0.299,0.364,0.267,21456.98,600009
13,2000-01-21,0.344,0.344,0.493,0.131,94406.5,600009
14,2000-01-24,0.344,0.202,0.344,0.17,35403.86,600009
15,2000-01-25,0.189,0.267,0.409,0.17,32841.71,600009
16,2000-01-26,0.28,0.454,0.596,0.28,136116.02,600009
17,2000-01-27,0.473,0.538,0.616,0.331,100353.95,600009
18,2000-01-28,0.538,0.409,0.57,0.396,48791.91,600009
19,2000-02-14,0.59,0.926,0.991,0.538,115341.2,600009
20,2000-02-15,0.991,0.984,1.094,0.7,193526.11,600009
21,2000-02-16,0.92,0.751,0.978,0.667,112692.34,600009
22,2000-02-17,0.79,0.719,0.894,0.538,133436.64,600009
23,2000-02-18,0.784,0.667,0.881,0.603,115642.0,600009
24,2000-02-21,0.667,0.667,0.861,0.577,109185.07,600009
25,2000-02-22,0.732,0.732,1.055,0.706,165797.23,600009
26,2000-02-23,0.861,0.835,1.385,0.674,130460.25,600009
27,2000-02-24,0.926,0.842,0.991,0.726,140606.64,600009
28,2000-02-25,0.797,0.661,0.803,0.506,109072.08,600009
29,2000-02-28,0.642,0.59,0.667,0.473,69214.23,600009
30,2000-02-29,0.603,1.217,1.23,0.59,295198.89,600009
31,2000-03-01,1.217,1.23,1.637,1.004,593177.85,600009
32,2000-03-02,1.217,0.945,1.372,0.894,288536.23,600009
33,2000-03-03,1.036,0.965,1.21,0.92,148679.07,600009
34,2000-03-06,0.997,0.797,1.094,0.797,135517.51,600009
35,2000-03-07,0.797,0.874,0.958,0.719,58933.33,600009
36,2000-03-08,0.913,0.971,1.256,0.913,161450.32,600009
37,2000-03-09,0.991,0.861,1.023,0.784,84537.53,600009
38,2000-03-10,0.861,0.739,0.926,0.719,56156.6,600009
39,2000-03-13,0.732,0.771,0.9,0.732,38914.84,600009
40,2000-03-14,0.661,0.538,0.732,0.415,80431.54,600009
41,2000-03-15,0.57,0.654,0.764,0.538,36458.82,600009
42,2000-03-16,0.654,0.37,0.654,0.357,44785.0,600009
43,2000-03-17,0.37,0.402,0.473,0.318,52488.45,600009
44,2000-03-20,0.357,0.551,0.7,0.305,77222.98,600009
45,2000-03-21,0.57,0.473,0.603,0.461,37151.02,600009
46,2000-03-22,0.473,0.493,0.57,0.461,38833.94,600009
47,2000-03-23,0.506,0.519,0.538,0.441,46907.35,600009
48,2000-03-24,0.538,0.461,0.719,0.409,72758.8,600009
49,2000-03-27,0.473,0.512,0.532,0.409,64797.24,600009
50,2000-03-28,0.545,0.751,0.758,0.538,79900.81,600009
51,2000-03-29,0.784,0.693,0.829,0.603,45117.55,600009
52,2000-03-30,0.7,0.751,0.751,0.667,46984.72,600009
53,2000-03-31,0.751,0.674,0.771,0.654,49060.75,600009
54,2000-04-03,0.674,0.564,0.674,0.532,50043.32,600009
55,2000-04-04,0.558,0.473,0.558,0.454,34296.73,600009
56,2000-04-05,0.473,0.758,0.958,0.461,284220.63,600009
57,2000-04-06,0.764,0.816,0.971,0.739,170477.72,600009
58,2000-04-07,0.842,0.79,0.926,0.758,74301.01,600009
59,2000-04-10,0.842,0.984,1.113,0.79,125363.65,600009
60,2000-04-11,0.991,0.797,1.042,0.771,74968.47,600009
