,date,open,close,high,low,volume,code
0,2018-06-20,5.135,6.435,6.435,5.135,3054.0,601066
1,2018-06-21,7.215,7.215,7.215,7.215,2747.0,601066
2,2018-06-22,8.075,8.075,8.075,8.075,9370.0,601066
3,2018-06-25,9.015,9.015,9.015,9.015,19032.0,601066
4,2018-06-26,10.055,10.055,10.055,10.055,100722.0,601066
5,2018-06-27,10.535,10.435,10.615,9.665,2362393.0,601066
6,2018-06-28,10.025,9.685,10.535,9.435,1582451.0,601066
7,2018-06-29,9.235,9.395,9.585,8.865,1259129.0,601066
8,2018-07-02,9.495,8.925,9.605,8.795,980343.0,601066
9,2018-07-03,8.815,9.005,9.265,8.805,823310.0,601066
10,2018-07-04,8.885,7.965,8.885,7.965,1157737.0,601066
11,2018-07-05,8.085,8.115,8.585,7.975,1043751.0,601066
12,2018-07-06,7.945,7.985,8.395,7.555,1048546.0,601066
13,2018-07-09,8.055,8.045,8.215,7.855,739265.0,601066
14,2018-07-10,8.005,8.325,8.355,7.915,867126.0,601066
15,2018-07-11,8.035,7.975,8.305,7.795,732752.0,601066
16,2018-07-12,7.855,8.905,8.905,7.855,1033324.0,601066
17,2018-07-13,8.735,8.505,8.875,8.395,1131545.0,601066
18,2018-07-16,8.415,8.265,8.505,8.085,634883.0,601066
19,2018-07-17,8.185,8.425,8.435,8.115,581322.0,601066
20,2018-07-18,8.425,7.975,8.515,7.955,658941.0,601066
21,2018-07-19,7.895,8.045,8.145,7.845,436530.0,601066
22,2018-07-20,7.985,8.455,8.865,7.835,1069249.0,601066
23,2018-07-23,8.225,8.295,8.445,8.065,675447.0,601066
24,2018-07-24,8.245,8.925,9.265,8.245,1589318.0,601066
25,2018-07-25,8.715,9.155,9.215,8.685,1190541.0,601066
26,2018-07-26,9.065,8.865,9.305,8.825,839914.0,601066
27,2018-07-27,8.735,8.655,8.985,8.565,605638.0,601066
28,2018-07-30,8.545,8.825,8.955,8.535,551336.0,601066
29,2018-07-31,8.775,8.525,8.845,8.375,550080.0,601066
30,2018-08-01,8.535,8.395,8.805,8.365,574176.0,601066
31,2018-08-02,8.235,7.745,8.315,7.515,738700.0,601066
32,2018-08-03,7.645,7.425,7.775,7.405,377985.0,601066
33,2018-08-06,7.445,7.485,7.645,7.325,342105.0,601066
34,2018-08-07,7.515,7.685,7.715,7.275,502491.0,601066
35,2018-08-08,7.575,7.085,7.605,7.045,553403.0,601066
36,2018-08-09,7.085,7.215,7.475,7.035,529638.0,601066
37,2018-08-10,7.155,7.245,7.405,7.135,357673.0,601066
38,2018-08-13,7.045,7.145,7.175,6.845,430427.0,601066
39,2018-08-14,7.115,7.155,7.265,7.035,313811.0,601066
40,2018-08-15,7.165,6.885,7.165,6.855,293063.0,601066
41,2018-08-16,6.735,6.965,7.255,6.665,443771.0,601066
42,2018-08-17,7.015,6.755,7.105,6.745,317830.0,601066
43,2018-08-20,6.735,6.955,7.025,6.715,324451.0,601066
44,2018-08-21,6.915,6.965,7.015,6.865,288793.0,601066
45,2018-08-22,6.945,6.805,6.945,6.785,215186.0,601066
46,2018-08-23,6.805,6.965,7.185,6.795,428223.0,601066
47,2018-08-24,6.935,6.965,7.065,6.835,317231.0,601066
48,2018-08-27,6.945,7.135,7.215,6.945,400963.0,601066
49,2018-08-28,7.115,7.135,7.185,7.045,287602.0,601066
50,2018-08-29,7.125,7.105,7.265,7.085,281082.0,601066
51,2018-08-30,7.135,6.835,7.165,6.815,307887.0,601066
52,2018-08-31,6.845,6.795,6.935,6.755,186441.0,601066
53,2018-09-03,6.785,6.805,6.825,6.715,163577.0,601066
54,2018-09-04,6.805,6.925,7.045,6.765,285642.0,601066
55,2018-09-05,6.865,6.775,6.995,6.775,237898.0,601066
56,2018-09-06,6.785,6.875,6.955,6.755,260916.0,601066
57,2018-09-07,6.895,6.925,7.205,6.875,346306.0,601066
58,2018-09-10,6.865,6.525,6.915,6.505,367694.0,601066
59,2018-09-11,6.535,6.555,6.625,6.505,169187.0,601066
60,2018-09-12,6.515,6.605,6.735,6.505,222873.0,601066
61,2018-09-13,6.695,6.665,6.725,6.575,191075.0,601066
62,2018-09-14,6.655,6.475,6.685,6.445,185156.0,601066
63,2018-09-17,6.415,6.375,6.445,6.265,175628.0,601066
64,2018-09-18,6.345,6.565,6.565,6.335,232395.0,601066
65,2018-09-19,6.525,6.605,6.685,6.465,288246.0,601066
66,2018-09-20,6.635,6.545,6.685,6.545,192408.0,601066
67,2018-09-21,6.565,6.825,6.865,6.485,416470.0,601066
68,2018-09-25,6.745,6.695,6.755,6.645,188339.0,601066
69,2018-09-26,6.715,6.695,6.845,6.665,268877.0,601066
70,2018-09-27,6.665,6.505,6.685,6.495,206173.0,601066
71,2018-09-28,6.515,6.545,6.575,6.465,177584.0,601066
72,2018-10-08,6.335,5.995,6.375,5.965,233306.0,601066
73,2018-10-09,6.025,5.975,6.065,5.895,133631.0,601066
74,2018-10-10,5.935,5.865,6.005,5.805,154275.0,601066
75,2018-10-11,5.515,5.145,5.565,5.145,304195.0,601066
76,2018-10-12,5.045,5.045,5.125,4.785,229373.0,601066
77,2018-10-15,5.065,5.065,5.275,5.035,228150.0,601066
78,2018-10-16,5.125,5.035,5.245,5.025,225734.0,601066
79,2018-10-17,5.165,5.135,5.215,4.945,194310.0,601066
80,2018-10-18,5.085,5.135,5.245,5.025,199803.0,601066
81,2018-10-19,5.035,5.465,5.475,5.005,315629.0,601066
82,2018-10-22,5.575,6.145,6.145,5.575,385554.0,601066
83,2018-10-23,6.895,6.695,6.895,6.555,1234726.0,601066
84,2018-10-24,6.505,6.855,7.345,6.385,1369221.0,601066
85,2018-10-25,6.445,7.425,7.515,6.435,987948.0,601066
86,2018-10-26,7.225,6.915,7.375,6.815,817014.0,601066
87,2018-10-29,6.865,6.765,7.025,6.615,426285.0,601066
