,date,open,close,high,low,volume,code
0,2003-01-06,-1.995,-2.107,-1.984,-2.116,1942885.56,600030
1,2003-01-07,-2.118,-2.141,-2.098,-2.148,589777.17,600030
2,2003-01-08,-2.146,-2.036,-2.036,-2.15,720640.78,600030
3,2003-01-09,-1.969,-1.922,-1.922,-1.978,1100868.68,600030
4,2003-01-10,-1.853,-1.848,-1.795,-1.87,2063934.22,600030
5,2003-01-13,-1.829,-1.829,-1.788,-1.872,1091783.02,600030
6,2003-01-14,-1.835,-1.777,-1.7,-1.855,1494812.83,600030
7,2003-01-15,-1.786,-1.717,-1.704,-1.805,1381749.75,600030
8,2003-01-16,-1.717,-1.719,-1.682,-1.754,654831.54,600030
9,2003-01-17,-1.719,-1.775,-1.713,-1.779,653587.62,600030
10,2003-01-20,-1.79,-1.717,-1.68,-1.801,691818.45,600030
11,2003-01-21,-1.708,-1.769,-1.702,-1.782,428631.13,600030
12,2003-01-22,-1.771,-1.788,-1.754,-1.799,320352.52,600030
13,2003-01-23,-1.788,-1.786,-1.732,-1.795,315385.63,600030
14,2003-01-24,-1.786,-1.685,-1.648,-1.788,927070.75,600030
15,2003-01-27,-1.691,-1.687,-1.667,-1.719,394738.54,600030
16,2003-01-28,-1.685,-1.67,-1.659,-1.704,259664.21,600030
17,2003-01-29,-1.667,-1.698,-1.661,-1.702,296210.35,600030
18,2003-02-10,-1.7,-1.73,-1.7,-1.736,218760.77,600030
19,2003-02-11,-1.736,-1.717,-1.715,-1.738,104957.13,600030
20,2003-02-12,-1.721,-1.685,-1.68,-1.736,201379.79,600030
21,2003-02-13,-1.68,-1.695,-1.637,-1.698,398721.66,600030
22,2003-02-14,-1.7,-1.691,-1.674,-1.71,159964.84,600030
23,2003-02-17,-1.691,-1.721,-1.682,-1.732,204101.6,600030
24,2003-02-18,-1.719,-1.706,-1.691,-1.728,110183.98,600030
25,2003-02-19,-1.71,-1.693,-1.672,-1.713,195915.74,600030
26,2003-02-20,-1.689,-1.706,-1.672,-1.71,135890.81,600030
27,2003-02-21,-1.704,-1.743,-1.7,-1.749,251954.97,600030
28,2003-02-24,-1.743,-1.745,-1.723,-1.745,101463.33,600030
29,2003-02-25,-1.743,-1.706,-1.693,-1.743,166711.29,600030
30,2003-02-26,-1.702,-1.706,-1.682,-1.715,131322.47,600030
31,2003-02-27,-1.7,-1.706,-1.682,-1.713,126053.05,600030
32,2003-02-28,-1.7,-1.706,-1.693,-1.717,76059.45,600030
33,2003-03-03,-1.708,-1.691,-1.689,-1.71,121379.12,600030
34,2003-03-04,-1.689,-1.674,-1.65,-1.695,312728.94,600030
35,2003-03-05,-1.674,-1.698,-1.672,-1.704,147517.04,600030
36,2003-03-06,-1.693,-1.719,-1.689,-1.726,139657.2,600030
37,2003-03-07,-1.721,-1.728,-1.71,-1.73,76617.84,600030
38,2003-03-10,-1.726,-1.747,-1.715,-1.749,121458.86,600030
39,2003-03-11,-1.751,-1.743,-1.728,-1.751,46836.82,600030
40,2003-03-12,-1.743,-1.775,-1.736,-1.788,125321.11,600030
41,2003-03-13,-1.775,-1.788,-1.762,-1.788,66903.27,600030
42,2003-03-14,-1.788,-1.79,-1.769,-1.792,53128.21,600030
43,2003-03-17,-1.79,-1.771,-1.769,-1.795,68784.35,600030
44,2003-03-18,-1.767,-1.777,-1.747,-1.784,81619.09,600030
45,2003-03-19,-1.784,-1.767,-1.749,-1.803,106823.4,600030
46,2003-03-20,-1.771,-1.764,-1.747,-1.777,71693.75,600030
47,2003-03-21,-1.767,-1.764,-1.756,-1.777,52101.89,600030
48,2003-03-24,-1.764,-1.777,-1.756,-1.788,60241.89,600030
49,2003-03-25,-1.786,-1.835,-1.777,-1.838,226220.42,600030
50,2003-03-26,-1.84,-1.848,-1.823,-1.855,123286.23,600030
51,2003-03-27,-1.853,-1.758,-1.728,-1.859,412638.29,600030
52,2003-03-28,-1.764,-1.751,-1.719,-1.769,321905.0,600030
53,2003-03-31,-1.751,-1.743,-1.726,-1.758,112862.82,600030
54,2003-04-01,-1.743,-1.68,-1.667,-1.743,326293.5,600030
55,2003-04-02,-1.682,-1.657,-1.652,-1.7,399273.59,600030
56,2003-04-03,-1.646,-1.667,-1.611,-1.674,358006.9,600030
57,2003-04-04,-1.657,-1.633,-1.626,-1.68,300995.31,600030
58,2003-04-07,-1.646,-1.614,-1.579,-1.646,410873.78,600030
59,2003-04-08,-1.611,-1.592,-1.57,-1.618,236192.18,600030
60,2003-04-09,-1.592,-1.439,-1.432,-1.594,735568.42,600030
61,2003-04-10,-1.417,-1.45,-1.394,-1.48,792410.65,600030
62,2003-04-11,-1.452,-1.439,-1.402,-1.473,432813.35,600030
63,2003-04-14,-1.439,-1.32,-1.295,-1.441,518026.63,600030
64,2003-04-15,-1.355,-1.314,-1.249,-1.37,378601.21,600030
65,2003-04-16,-1.314,-1.336,-1.187,-1.372,560714.57,600030
66,2003-04-17,-1.338,-1.355,-1.297,-1.387,333260.35,600030
67,2003-04-18,-1.353,-1.417,-1.34,-1.424,283710.73,600030
68,2003-04-21,-1.43,-1.491,-1.424,-1.557,472364.81,600030
69,2003-04-22,-1.501,-1.491,-1.465,-1.527,236119.75,600030
70,2003-04-23,-1.506,-1.527,-1.476,-1.538,184260.85,600030
71,2003-04-24,-1.547,-1.549,-1.521,-1.594,305501.35,600030
72,2003-04-25,-1.547,-1.56,-1.51,-1.585,226948.66,600030
73,2003-04-28,-1.568,-1.396,-1.396,-1.592,508798.11,600030
74,2003-04-29,-1.42,-1.437,-1.392,-1.456,452128.6,600030
75,2003-04-30,-1.439,-1.417,-1.359,-1.441,345903.54,600030
76,2003-05-12,-1.417,-1.364,-1.338,-1.458,231705.46,600030
77,2003-05-13,-1.359,-1.443,-1.32,-1.456,392667.23,600030
78,2003-05-14,-1.463,-1.404,-1.402,-1.473,189483.27,600030
79,2003-05-15,-1.415,-1.381,-1.361,-1.435,193359.28,600030
80,2003-05-16,-1.381,-1.364,-1.333,-1.394,179365.98,600030
81,2003-05-19,-1.359,-1.392,-1.351,-1.411,130990.07,600030
82,2003-05-20,-1.398,-1.435,-1.396,-1.445,136279.55,600030
83,2003-05-21,-1.435,-1.437,-1.402,-1.445,74162.13,600030
84,2003-05-22,-1.441,-1.389,-1.374,-1.45,148304.46,600030
85,2003-05-23,-1.385,-1.379,-1.342,-1.396,302013.13,600030
86,2003-05-26,-1.376,-1.366,-1.344,-1.383,170883.06,600030
87,2003-05-27,-1.355,-1.31,-1.292,-1.37,426195.39,600030
88,2003-05-28,-1.299,-1.383,-1.288,-1.398,273952.19,600030
89,2003-05-29,-1.389,-1.355,-1.351,-1.413,142813.38,600030
90,2003-05-30,-1.355,-1.361,-1.327,-1.372,139108.37,600030
91,2003-06-02,-1.366,-1.37,-1.351,-1.402,89875.54,600030
92,2003-06-03,-1.37,-1.379,-1.327,-1.383,78486.01,600030
93,2003-06-04,-1.387,-1.355,-1.346,-1.413,97390.43,600030
