,date,open,close,high,low,volume,code
0,2009-10-15,2.31,2.795,3.01,2.02,1535864.77,601888
1,2009-10-16,2.585,1.96,2.65,1.94,970132.72,601888
2,2009-10-19,2.16,2.175,2.315,1.955,613624.8,601888
3,2009-10-20,2.08,2.965,2.965,2.065,547075.7,601888
4,2009-10-21,3.035,2.785,3.105,2.73,600277.24,601888
5,2009-10-22,2.7,2.885,2.98,2.58,400865.11,601888
6,2009-10-23,2.885,2.82,3.0,2.755,295269.47,601888
7,2009-10-26,2.705,2.495,2.775,2.305,340018.86,601888
8,2009-10-27,2.38,2.295,2.435,2.205,194752.98,601888
9,2009-10-28,2.245,2.425,2.475,2.235,185345.88,601888
10,2009-10-29,2.35,2.15,2.475,2.105,190467.12,601888
11,2009-10-30,2.245,2.125,2.355,2.055,162579.2,601888
12,2009-11-02,1.96,2.1,2.13,1.73,227771.54,601888
13,2009-11-03,2.06,2.26,2.38,1.995,202814.99,601888
14,2009-11-04,2.205,2.305,2.34,2.155,186315.0,601888
15,2009-11-05,2.305,2.815,3.005,2.215,309606.22,601888
16,2009-11-06,2.795,2.86,3.08,2.705,472633.14,601888
17,2009-11-09,3.72,3.72,3.72,3.545,445062.37,601888
18,2009-11-10,3.735,3.75,3.855,3.58,386814.03,601888
19,2009-11-11,3.43,3.395,3.555,3.295,256614.77,601888
20,2009-11-12,3.44,3.26,3.545,3.16,197365.62,601888
21,2009-11-13,3.23,3.775,3.855,3.155,268567.38,601888
22,2009-11-16,3.83,3.895,4.16,3.71,211902.89,601888
23,2009-11-17,3.845,4.24,4.505,3.755,219423.71,601888
24,2009-11-18,4.17,4.355,4.4,4.135,163999.13,601888
25,2009-11-19,4.325,4.785,4.845,4.26,158976.1,601888
26,2009-11-20,4.705,4.55,4.845,4.51,134946.22,601888
27,2009-11-23,4.455,4.755,4.805,4.285,107102.1,601888
28,2009-11-24,4.945,4.185,5.195,4.055,221333.11,601888
29,2009-11-25,4.08,4.715,4.805,4.08,199494.76,601888
