,date,open,close,high,low,volume,code
0,2007-01-09,30.8,32.73,34.0,30.8,3190189.73,601628
1,2007-01-10,33.6,33.26,34.1,32.52,686102.1,601628
2,2007-01-11,32.6,32.09,33.4,30.81,439025.06,601628
3,2007-01-12,31.59,33.3,33.54,31.3,421774.7,601628
4,2007-01-15,33.62,37.25,37.25,32.75,561319.19,601628
5,2007-01-16,39.08,38.85,40.68,37.86,445677.35,601628
6,2007-01-17,39.08,38.8,43.3,37.96,509488.64,601628
7,2007-01-18,38.88,37.27,39.9,35.7,520231.13,601628
8,2007-01-19,37.82,38.37,38.5,36.33,259195.41,601628
9,2007-01-22,38.48,40.66,40.8,37.3,339223.55,601628
10,2007-01-23,41.0,37.83,41.27,37.68,380899.71,601628
11,2007-01-24,37.5,37.7,38.66,36.28,215812.0,601628
12,2007-01-25,36.8,34.64,36.95,33.6,373136.78,601628
13,2007-01-26,33.8,34.06,34.69,32.3,275038.51,601628
14,2007-01-29,35.62,34.55,35.8,34.11,224750.76,601628
15,2007-01-30,35.3,33.77,35.3,33.4,160314.94,601628
16,2007-01-31,33.8,32.01,34.19,31.5,259095.16,601628
17,2007-02-01,31.63,32.6,32.8,31.58,176652.05,601628
18,2007-02-02,32.58,29.79,32.64,29.6,346891.23,601628
19,2007-02-05,29.5,27.57,29.5,27.3,239358.42,601628
20,2007-02-06,27.29,28.34,28.35,26.8,201593.21,601628
21,2007-02-07,28.45,28.65,29.64,28.08,294680.77,601628
22,2007-02-08,29.0,28.5,29.07,27.95,120404.47,601628
23,2007-02-09,28.79,29.9,30.38,28.55,201629.35,601628
24,2007-02-12,29.47,30.0,30.55,29.4,138163.14,601628
25,2007-02-13,30.1,29.52,30.2,29.19,112710.0,601628
26,2007-02-14,29.92,30.21,30.3,29.59,145794.88,601628
27,2007-02-15,30.5,31.79,31.98,30.28,200657.06,601628
28,2007-02-16,32.24,31.62,32.28,31.38,149435.3,601628
29,2007-02-26,31.67,31.05,31.67,30.43,213488.62,601628
30,2007-02-27,31.03,27.69,31.03,27.6,243539.09,601628
31,2007-02-28,27.55,29.67,29.69,27.38,269807.58,601628
32,2007-03-01,29.8,27.8,29.9,27.4,260053.91,601628
33,2007-03-02,27.8,27.6,28.1,27.29,153386.08,601628
34,2007-03-05,27.55,26.08,27.56,25.3,197292.39,601628
35,2007-03-06,25.87,26.74,27.48,25.45,153611.9,601628
36,2007-03-07,26.95,26.96,27.65,26.75,129627.06,601628
37,2007-03-08,27.19,27.0,27.3,26.76,105333.2,601628
38,2007-03-09,27.05,26.87,27.33,26.3,158504.51,601628
39,2007-03-12,26.89,26.6,27.13,26.3,155356.57,601628
40,2007-03-13,26.62,26.8,27.1,26.47,125473.73,601628
41,2007-03-14,26.6,25.84,26.6,25.8,162741.16,601628
42,2007-03-15,26.06,26.28,26.96,26.06,131412.21,601628
43,2007-03-16,26.45,27.61,27.8,26.2,346317.59,601628
44,2007-03-19,27.15,29.09,29.6,27.05,395112.81,601628
45,2007-03-20,29.15,28.66,29.3,28.31,168692.44,601628
46,2007-03-21,28.85,28.41,28.95,28.0,137989.76,601628
47,2007-03-22,28.6,28.15,29.15,28.06,168678.43,601628
48,2007-03-23,28.15,27.8,28.6,27.51,158979.76,601628
49,2007-03-26,27.9,28.26,28.6,27.81,142410.16,601628
50,2007-03-27,28.35,28.03,28.42,27.8,144794.78,601628
51,2007-03-28,28.1,28.94,29.1,27.66,305991.42,601628
52,2007-03-29,29.05,29.59,31.3,29.05,453016.93,601628
53,2007-03-30,29.34,29.03,29.77,28.94,159869.4,601628
54,2007-04-02,29.12,29.35,29.69,28.94,166306.44,601628
55,2007-04-03,29.38,29.65,30.17,29.35,152965.23,601628
56,2007-04-04,29.68,29.06,29.7,28.95,168796.87,601628
57,2007-04-05,29.05,28.88,29.1,28.45,164183.77,601628
58,2007-04-06,28.69,29.01,29.46,28.55,139594.66,601628
59,2007-04-09,28.85,30.8,30.86,28.81,382003.07,601628
60,2007-04-10,30.32,30.24,30.98,29.48,445527.0,601628
61,2007-04-11,30.45,31.28,31.68,30.3,505067.08,601628
62,2007-04-12,31.71,31.3,32.03,31.11,298565.08,601628
63,2007-04-13,31.3,31.49,32.15,30.85,301775.64,601628
64,2007-04-16,31.51,32.11,32.28,31.5,342123.96,601628
65,2007-04-17,32.12,31.7,33.15,30.9,391326.54,601628
66,2007-04-18,30.9,30.38,31.57,29.95,385686.29,601628
67,2007-04-19,30.46,29.26,30.9,28.69,375823.82,601628
68,2007-04-20,29.35,30.69,31.0,29.35,282688.8,601628
69,2007-04-24,32.31,31.42,33.79,31.1,356685.22,601628
70,2007-04-25,31.51,31.96,32.6,31.5,266239.26,601628
71,2007-04-26,32.3,33.0,33.36,31.99,315800.64,601628
72,2007-04-27,32.8,34.58,36.12,32.51,478043.1,601628
73,2007-04-30,34.17,35.45,36.66,33.7,407867.83,601628
74,2007-05-08,36.3,34.99,36.68,34.68,301336.09,601628
75,2007-05-09,34.7,34.69,35.49,33.6,303735.65,601628
76,2007-05-10,35.0,34.09,35.46,33.8,228866.33,601628
77,2007-05-11,34.1,33.02,34.1,32.3,439779.86,601628
78,2007-05-14,33.0,33.1,33.95,32.4,282435.02,601628
79,2007-05-15,33.2,31.82,33.58,31.7,270531.04,601628
80,2007-05-16,31.81,32.74,32.75,31.45,231292.54,601628
81,2007-05-17,32.7,32.89,33.11,32.33,270071.01,601628
82,2007-05-18,32.77,32.82,33.16,31.88,288737.56,601628
83,2007-05-21,31.8,33.0,33.71,31.8,318818.77,601628
84,2007-05-22,33.1,33.24,33.93,32.77,264776.64,601628
85,2007-05-23,33.3,33.45,33.9,32.8,270007.47,601628
86,2007-05-24,33.35,32.78,33.8,32.1,269734.66,601628
87,2007-05-25,32.9,32.83,33.36,32.73,273151.02,601628
88,2007-05-28,33.14,34.0,34.24,32.61,475552.2,601628
89,2007-05-29,34.21,33.78,34.32,33.38,297183.39,601628
90,2007-05-30,31.3,30.15,32.67,29.88,440124.06,601628
91,2007-05-31,30.0,30.8,31.6,29.1,334238.59,601628
92,2007-06-01,31.13,30.88,32.11,30.48,323832.99,601628
93,2007-06-04,30.77,27.76,30.9,27.6,289744.24,601628
94,2007-06-05,27.6,28.66,28.79,25.9,277307.67,601628
95,2007-06-06,28.89,28.1,29.29,27.93,246324.52,601628
96,2007-06-07,28.22,29.75,29.9,28.22,266950.9,601628
97,2007-06-08,29.9,29.54,29.9,29.0,150486.87,601628
98,2007-06-11,29.7,30.62,31.4,29.7,250324.63,601628
99,2007-06-13,31.58,31.42,32.34,31.3,281232.23,601628
100,2007-06-14,31.42,31.44,32.31,30.83,180659.5,601628
101,2007-06-15,31.4,31.26,31.88,30.88,198496.6,601628
102,2007-06-18,32.16,34.62,34.77,31.91,572236.96,601628
103,2007-06-19,34.15,33.86,35.19,33.67,316683.9,601628
104,2007-06-20,33.83,33.91,35.99,33.3,393935.3,601628
105,2007-06-21,34.4,37.22,37.92,34.4,788945.26,601628
106,2007-06-22,37.19,37.24,38.51,36.68,564800.92,601628
107,2007-06-25,37.64,38.33,40.08,36.7,560543.14,601628
108,2007-06-26,37.3,37.21,38.3,36.1,331337.05,601628
109,2007-06-27,37.2,38.71,39.15,37.01,286893.69,601628
110,2007-06-28,38.5,36.63,39.1,36.42,237341.23,601628
111,2007-06-29,35.8,34.91,36.69,34.79,256170.86,601628
112,2007-07-02,34.34,35.19,35.62,33.89,117106.18,601628
113,2007-07-03,35.44,35.96,36.74,35.24,78655.01,601628
114,2007-07-04,36.04,34.76,36.17,34.55,69677.83,601628
