,date,open,close,high,low,volume,code
0,2007-12-25,41.15,38.32,42.12,38.03,3404207.11,601601
1,2007-12-26,38.65,40.08,40.38,38.16,1032531.61,601601
2,2007-12-27,40.15,40.46,41.51,39.8,781069.37,601601
3,2007-12-28,40.35,39.6,40.44,39.16,419885.36,601601
4,2008-01-02,39.15,38.76,39.4,38.2,415461.93,601601
5,2008-01-03,38.76,38.96,39.02,37.25,454952.33,601601
6,2008-01-04,39.06,39.14,39.53,38.7,299430.94,601601
7,2008-01-07,38.75,38.69,39.33,38.17,254548.71,601601
8,2008-01-08,38.81,39.34,40.43,38.81,463583.53,601601
9,2008-01-09,38.95,39.26,39.6,38.6,236002.84,601601
10,2008-01-10,39.38,39.34,39.65,38.73,252251.59,601601
11,2008-01-11,39.5,39.3,40.4,39.03,268502.1,601601
12,2008-01-14,39.34,38.76,39.73,38.73,270076.72,601601
13,2008-01-15,38.67,37.9,38.69,37.75,368382.58,601601
14,2008-01-16,37.44,36.48,37.65,36.43,344236.54,601601
15,2008-01-17,36.05,35.19,36.73,34.35,260407.39,601601
16,2008-01-18,35.2,35.07,35.5,34.46,160136.48,601601
17,2008-01-21,35.07,31.11,35.07,30.58,365709.43,601601
18,2008-01-22,30.5,27.03,30.5,27.01,415057.84,601601
19,2008-01-23,27.95,29.34,30.2,26.71,351629.24,601601
20,2008-01-24,30.05,28.91,30.05,28.15,208614.09,601601
21,2008-01-25,30.15,29.96,31.15,29.24,420842.9,601601
22,2008-01-28,29.15,25.98,29.3,25.98,239379.23,601601
23,2008-01-29,26.73,27.17,27.82,26.26,147756.67,601601
24,2008-01-30,27.8,27.04,28.05,26.05,163646.18,601601
25,2008-01-31,27.24,27.04,27.95,26.73,119603.97,601601
26,2008-02-01,27.26,27.42,28.02,26.01,161502.06,601601
27,2008-02-04,28.15,29.97,30.2,27.81,246880.27,601601
28,2008-02-05,29.35,28.54,29.54,28.41,132251.05,601601
29,2008-02-13,27.6,26.99,27.6,26.83,93497.37,601601
30,2008-02-14,27.16,27.33,27.77,27.12,56315.68,601601
31,2008-02-15,26.93,27.08,27.19,26.45,74112.76,601601
32,2008-02-18,27.66,27.45,28.0,27.39,86906.73,601601
33,2008-02-19,27.45,27.92,27.98,26.83,115963.46,601601
34,2008-02-20,28.08,26.87,28.1,26.83,135217.81,601601
35,2008-02-21,26.85,26.35,26.85,26.15,132828.38,601601
36,2008-02-22,26.15,24.39,26.2,24.14,232127.22,601601
37,2008-02-25,24.5,23.08,24.65,23.03,127737.7,601601
38,2008-02-26,24.5,24.25,24.84,23.25,135758.98,601601
39,2008-02-27,25.14,25.67,25.99,24.59,147549.06,601601
40,2008-02-28,25.65,25.06,25.75,24.85,94602.33,601601
41,2008-02-29,24.85,25.36,25.96,24.77,80436.07,601601
42,2008-03-03,24.95,26.34,26.8,24.75,144923.28,601601
43,2008-03-04,26.2,25.69,26.61,25.39,131148.13,601601
44,2008-03-05,25.37,25.32,25.9,24.66,62679.09,601601
45,2008-03-06,26.15,26.66,28.74,25.45,203848.04,601601
46,2008-03-07,26.15,25.58,26.15,25.27,86046.78,601601
47,2008-03-10,25.35,24.51,25.35,24.28,94985.26,601601
48,2008-03-11,24.25,25.07,25.25,24.06,63294.49,601601
49,2008-03-12,25.93,24.36,26.15,24.35,75004.56,601601
50,2008-03-13,24.15,24.62,25.09,23.83,92287.48,601601
51,2008-03-14,24.5,25.17,25.55,23.65,85342.76,601601
52,2008-03-17,24.75,24.38,25.31,24.03,79204.62,601601
53,2008-03-18,24.25,23.24,25.14,22.67,162232.69,601601
54,2008-03-19,24.0,23.48,24.33,23.21,101315.55,601601
55,2008-03-20,23.1,22.97,23.76,21.15,230907.45,601601
56,2008-03-24,22.85,20.81,22.88,20.7,221864.09,601601
57,2008-03-25,20.45,20.6,21.54,20.16,149241.48,601601
58,2008-03-26,18.65,18.13,19.95,17.75,1220263.02,601601
59,2008-03-27,16.75,16.04,17.13,15.89,563335.67,601601
60,2008-03-28,15.85,17.72,17.96,15.66,528618.27,601601
61,2008-03-31,16.42,16.22,17.25,16.15,267339.14,601601
62,2008-04-01,16.03,15.42,16.59,15.16,270104.77,601601
63,2008-04-02,16.01,16.55,17.61,15.43,565238.65,601601
64,2008-04-03,15.95,17.3,17.55,15.56,316513.07,601601
65,2008-04-07,17.15,18.28,18.63,16.7,408848.72,601601
66,2008-04-08,18.14,18.34,18.73,17.67,276540.1,601601
67,2008-04-09,18.02,16.49,18.33,16.45,245935.15,601601
68,2008-04-10,16.15,16.79,16.92,15.65,162280.37,601601
69,2008-04-11,17.03,17.3,17.45,16.85,127808.04,601601
70,2008-04-14,16.64,15.76,16.95,15.65,220646.49,601601
71,2008-04-15,15.74,16.03,16.07,15.13,194378.57,601601
72,2008-04-16,16.15,15.45,16.31,15.43,102202.68,601601
73,2008-04-17,15.65,15.11,16.14,14.9,160485.4,601601
74,2008-04-18,14.83,13.73,14.83,13.65,238109.05,601601
75,2008-04-21,15.35,13.86,15.45,13.56,272622.5,601601
76,2008-04-22,13.57,13.88,14.0,12.5,193530.7,601601
77,2008-04-23,13.34,15.01,15.35,13.15,332502.42,601601
78,2008-04-24,17.5,17.5,17.5,17.05,688987.17,601601
79,2008-04-25,17.95,18.43,19.67,17.63,732937.34,601601
80,2008-04-28,17.45,17.22,18.11,16.98,286318.12,601601
81,2008-04-29,17.17,17.84,17.89,17.15,186987.86,601601
82,2008-04-30,18.15,19.42,19.62,18.06,423189.97,601601
83,2008-05-05,19.83,19.26,19.85,18.76,338414.76,601601
84,2008-05-06,18.95,18.49,19.11,18.03,282824.14,601601
85,2008-05-07,18.19,16.83,18.74,16.8,335706.98,601601
86,2008-05-08,16.6,17.38,17.4,16.15,166818.35,601601
87,2008-05-09,18.15,17.02,18.62,16.53,259694.05,601601
88,2008-05-12,16.17,16.75,17.42,16.15,176953.94,601601
89,2008-05-13,15.15,14.84,15.85,14.75,506298.06,601601
90,2008-05-14,14.86,15.73,15.81,14.86,196765.53,601601
91,2008-05-15,15.94,15.44,16.21,15.37,181156.5,601601
92,2008-05-16,15.45,15.18,15.86,14.92,118179.95,601601
93,2008-05-19,15.23,14.77,15.25,14.45,88731.49,601601
94,2008-05-20,14.75,14.08,15.33,14.01,164979.78,601601
95,2008-05-21,13.95,14.86,15.07,13.83,151672.11,601601
96,2008-05-22,14.53,14.57,15.15,14.25,104332.4,601601
97,2008-05-23,14.6,14.89,15.25,14.5,99580.71,601601
98,2008-05-26,14.65,13.63,14.65,13.6,123294.22,601601
99,2008-05-27,13.63,14.13,14.19,13.37,81796.19,601601
100,2008-05-29,14.63,13.85,14.65,13.78,89425.54,601601
101,2008-05-30,14.0,14.42,14.63,13.98,86494.79,601601
102,2008-06-02,14.18,14.65,14.95,14.17,85458.59,601601
103,2008-06-03,14.55,14.16,14.7,14.06,66226.51,601601
104,2008-06-04,14.16,13.84,14.27,13.67,56882.57,601601
