,date,open,close,high,low,volume,code
0,2007-03-01,10.623,9.018,11.108,8.523,1977633.51,601318
1,2007-03-02,9.123,8.828,9.343,8.563,425048.32,601318
2,2007-03-05,8.613,7.813,8.708,7.388,419196.74,601318
3,2007-03-06,7.623,8.248,8.623,7.498,297727.88,601318
4,2007-03-07,8.268,8.863,9.073,8.078,287463.78,601318
5,2007-03-08,8.673,8.583,8.788,8.463,130983.83,601318
6,2007-03-09,8.573,8.388,8.673,7.973,160887.79,601318
7,2007-03-12,8.273,7.978,8.273,7.873,145353.06,601318
8,2007-03-13,8.028,8.068,8.253,7.933,102319.68,601318
9,2007-03-14,7.773,8.093,8.173,7.518,173306.56,601318
10,2007-03-15,8.383,8.103,8.868,8.023,152521.9,601318
11,2007-03-16,8.118,8.228,8.598,7.823,227547.24,601318
12,2007-03-20,9.023,8.513,9.083,8.373,222026.87,601318
13,2007-03-21,8.523,8.173,8.623,8.073,136728.32,601318
14,2007-03-22,8.348,8.303,8.583,8.238,167509.84,601318
15,2007-03-23,8.293,8.203,8.388,7.978,139810.14,601318
16,2007-03-26,8.223,8.593,8.723,8.213,223266.79,601318
17,2007-03-27,8.518,8.578,8.803,8.438,139338.19,601318
18,2007-03-28,8.573,8.913,9.073,8.413,258263.69,601318
19,2007-03-29,9.028,9.323,10.018,8.863,461986.18,601318
20,2007-03-30,9.103,9.148,9.558,8.983,144617.2,601318
21,2007-04-02,9.148,9.818,9.973,9.148,231445.03,601318
22,2007-04-03,9.833,9.728,10.003,9.573,132712.04,601318
23,2007-04-04,9.733,9.518,9.873,9.398,122454.69,601318
24,2007-04-05,9.523,9.583,9.623,9.223,122865.38,601318
25,2007-04-06,9.463,9.628,10.098,9.373,195208.52,601318
26,2007-04-09,9.668,11.428,11.568,9.473,462770.21,601318
27,2007-04-10,11.123,12.033,12.463,11.123,407823.9,601318
28,2007-04-11,12.063,12.393,13.213,11.923,243446.5,601318
29,2007-04-12,12.613,12.343,14.623,12.098,159270.43,601318
30,2007-04-13,12.673,13.138,13.843,12.623,266689.45,601318
31,2007-04-16,13.453,13.833,13.898,13.453,146972.27,601318
32,2007-04-17,13.848,13.198,14.133,12.423,197243.88,601318
33,2007-04-18,13.113,12.578,13.168,12.323,130322.35,601318
34,2007-04-19,12.373,11.613,12.773,10.728,205586.7,601318
35,2007-04-20,11.953,13.293,13.823,11.808,185690.28,601318
36,2007-04-23,13.308,14.113,14.408,13.063,146934.59,601318
37,2007-04-24,14.618,13.533,14.628,13.498,160472.87,601318
38,2007-04-25,13.183,13.978,14.473,13.078,145938.47,601318
39,2007-04-26,13.913,14.878,14.963,13.913,184961.32,601318
40,2007-04-27,14.898,17.423,17.803,14.773,389838.64,601318
41,2007-04-30,17.223,18.548,19.538,16.813,204190.44,601318
42,2007-05-08,19.523,18.483,19.613,18.123,132325.58,601318
43,2007-05-09,17.873,18.483,19.023,17.123,111812.7,601318
44,2007-05-10,18.503,17.863,18.623,17.773,85844.59,601318
45,2007-05-11,17.373,17.028,17.573,16.198,160592.98,601318
