,date,open,close,high,low,volume,code
0,2009-07-29,3.096,2.975,3.996,2.746,41731608.0,601668
1,2009-07-30,3.167,3.267,3.31,3.039,16480096.26,601668
2,2009-07-31,3.167,3.203,3.253,3.082,10535057.97,601668
3,2009-08-03,3.16,3.075,3.182,2.996,8371754.5,601668
4,2009-08-04,3.046,2.932,3.046,2.867,7428537.95,601668
5,2009-08-05,2.932,3.003,3.032,2.896,5089199.02,601668
6,2009-08-06,2.946,2.91,2.989,2.81,4763347.65,601668
7,2009-08-07,2.917,2.86,2.953,2.839,4355387.09,601668
8,2009-08-10,2.882,2.882,2.932,2.832,3188140.39,601668
9,2009-08-11,2.896,3.017,3.06,2.846,6130563.92,601668
10,2009-08-12,2.953,2.739,2.989,2.689,5406822.59,601668
11,2009-08-13,2.76,2.682,2.767,2.639,3343743.18,601668
12,2009-08-14,2.689,2.439,2.71,2.432,4372897.65,601668
13,2009-08-17,2.353,2.353,2.482,2.317,3972980.59,601668
14,2009-08-18,2.367,2.389,2.417,2.275,2785237.34,601668
15,2009-08-19,2.367,2.089,2.382,2.067,3359965.55,601668
16,2009-08-20,2.082,2.203,2.239,2.06,3139956.52,601668
17,2009-08-21,2.139,2.167,2.21,2.103,2891632.24,601668
18,2009-08-24,2.167,2.103,2.182,2.075,2649499.85,601668
19,2009-08-25,2.103,1.946,2.11,1.86,4285676.19,601668
20,2009-08-26,1.946,2.039,2.125,1.889,3240648.21,601668
21,2009-08-27,1.996,2.01,2.053,1.953,2135389.68,601668
22,2009-08-28,1.989,1.925,2.01,1.903,1690456.4,601668
23,2009-08-31,1.882,1.882,1.982,1.853,2886259.52,601668
24,2009-09-01,1.903,1.982,2.039,1.882,2974071.33,601668
25,2009-09-02,1.925,1.975,1.989,1.917,1685633.67,601668
26,2009-09-03,1.975,2.139,2.146,1.975,4380722.89,601668
27,2009-09-04,2.103,2.096,2.16,2.067,2549672.3,601668
28,2009-09-07,2.139,2.096,2.153,2.06,2123697.1,601668
