,date,open,close,high,low,volume,code
0,2001-08-08,-1.72,-1.864,-1.659,-1.894,6775532.96,600028
1,2001-08-09,-1.876,-1.918,-1.87,-1.942,1568097.52,600028
2,2001-08-10,-1.918,-1.876,-1.84,-1.93,808392.8,600028
3,2001-08-13,-1.882,-1.9,-1.864,-1.918,380127.25,600028
4,2001-08-14,-1.9,-1.912,-1.87,-1.918,282868.89,600028
5,2001-08-15,-1.918,-1.918,-1.9,-1.924,199026.88,600028
6,2001-08-16,-1.912,-1.936,-1.906,-1.936,236505.91,600028
7,2001-08-17,-1.93,-1.894,-1.876,-1.936,303868.64,600028
8,2001-08-20,-1.9,-1.924,-1.9,-1.93,106450.65,600028
9,2001-08-21,-1.918,-1.936,-1.912,-1.936,211548.66,600028
10,2001-08-22,-1.936,-1.996,-1.93,-2.002,781415.89,600028
11,2001-08-23,-2.008,-2.014,-2.002,-2.068,353094.1,600028
12,2001-08-27,-2.05,-2.104,-2.044,-2.134,338673.32,600028
13,2001-08-28,-2.122,-2.08,-2.074,-2.134,261038.17,600028
14,2001-08-29,-2.074,-2.098,-2.062,-2.098,127005.68,600028
15,2001-08-30,-2.098,-2.062,-2.056,-2.116,145031.34,600028
16,2001-08-31,-2.068,-2.086,-2.068,-2.086,54259.14,600028
17,2001-09-03,-2.086,-2.122,-2.086,-2.128,115897.99,600028
18,2001-09-04,-2.122,-2.092,-2.074,-2.122,120266.3,600028
19,2001-09-05,-2.08,-2.092,-2.074,-2.104,83984.02,600028
20,2001-09-06,-2.092,-2.11,-2.092,-2.116,78066.61,600028
21,2001-09-07,-2.11,-2.17,-2.11,-2.17,247704.68,600028
22,2001-09-10,-2.194,-2.146,-2.068,-2.224,194703.34,600028
23,2001-09-11,-2.14,-2.104,-2.086,-2.164,153925.61,600028
24,2001-09-12,-2.086,-1.996,-1.864,-2.098,1279531.84,600028
25,2001-09-13,-2.002,-2.086,-2.002,-2.098,304873.42,600028
26,2001-09-14,-2.092,-2.098,-2.056,-2.134,173685.29,600028
27,2001-09-17,-2.098,-2.14,-2.098,-2.146,153493.68,600028
28,2001-09-18,-2.122,-2.122,-2.092,-2.14,64116.59,600028
29,2001-09-19,-2.116,-2.11,-2.104,-2.14,55883.2,600028
30,2001-09-20,-2.104,-2.116,-2.092,-2.128,55770.94,600028
31,2001-09-21,-2.116,-2.128,-2.104,-2.146,70153.26,600028
32,2001-09-24,-2.128,-2.134,-2.122,-2.14,40785.4,600028
33,2001-09-25,-2.128,-2.128,-2.11,-2.146,72427.85,600028
34,2001-09-26,-2.134,-2.164,-2.134,-2.17,103798.86,600028
35,2001-09-27,-2.164,-2.164,-2.152,-2.176,66920.54,600028
36,2001-09-28,-2.164,-2.146,-2.14,-2.17,57090.59,600028
37,2001-10-08,-2.14,-2.164,-2.104,-2.17,56740.11,600028
38,2001-10-09,-2.164,-2.14,-2.134,-2.164,45095.79,600028
39,2001-10-10,-2.14,-2.194,-2.14,-2.2,112816.05,600028
40,2001-10-11,-2.194,-2.236,-2.176,-2.236,122171.3,600028
41,2001-10-12,-2.236,-2.176,-2.14,-2.296,187527.01,600028
42,2001-10-15,-2.182,-2.218,-2.182,-2.236,103305.12,600028
43,2001-10-16,-2.218,-2.266,-2.206,-2.284,123811.47,600028
44,2001-10-17,-2.248,-2.254,-2.182,-2.26,84659.52,600028
45,2001-10-18,-2.248,-2.26,-2.224,-2.272,65549.03,600028
46,2001-10-19,-2.26,-2.272,-2.2,-2.29,156436.63,600028
47,2001-10-22,-2.29,-2.32,-2.272,-2.333,121798.02,600028
48,2001-10-23,-2.17,-2.104,-2.104,-2.218,780288.75,600028
49,2001-10-24,-2.08,-2.14,-2.05,-2.17,532753.89,600028
50,2001-10-25,-2.152,-2.194,-2.14,-2.2,178966.93,600028
51,2001-10-26,-2.2,-2.188,-2.176,-2.266,185772.76,600028
52,2001-10-29,-2.194,-2.188,-2.164,-2.2,69287.59,600028
53,2001-10-30,-2.182,-2.218,-2.176,-2.224,80256.04,600028
54,2001-10-31,-2.218,-2.224,-2.218,-2.254,88237.01,600028
55,2001-11-01,-2.212,-2.2,-2.188,-2.224,79340.57,600028
56,2001-11-02,-2.206,-2.224,-2.176,-2.224,64173.0,600028
57,2001-11-05,-2.236,-2.218,-2.212,-2.248,60397.23,600028
58,2001-11-06,-2.218,-2.242,-2.212,-2.248,67488.51,600028
59,2001-11-07,-2.242,-2.29,-2.236,-2.296,134525.89,600028
60,2001-11-08,-2.387,-2.327,-2.314,-2.435,322510.42,600028
61,2001-11-09,-2.333,-2.327,-2.314,-2.363,88021.66,600028
62,2001-11-12,-2.32,-2.308,-2.278,-2.345,101803.29,600028
63,2001-11-13,-2.32,-2.29,-2.278,-2.351,67360.95,600028
64,2001-11-14,-2.29,-2.314,-2.284,-2.314,32496.95,600028
65,2001-11-15,-2.32,-2.302,-2.296,-2.327,60600.63,600028
66,2001-11-16,-2.212,-2.284,-2.17,-2.296,236143.59,600028
67,2001-11-19,-2.296,-2.272,-2.26,-2.308,69415.65,600028
68,2001-11-20,-2.272,-2.266,-2.248,-2.29,113718.91,600028
69,2001-11-21,-2.26,-2.272,-2.254,-2.278,55477.0,600028
70,2001-11-22,-2.272,-2.284,-2.266,-2.302,99220.58,600028
71,2001-11-23,-2.278,-2.266,-2.218,-2.278,143892.75,600028
72,2001-11-26,-2.272,-2.284,-2.272,-2.308,63325.4,600028
73,2001-11-27,-2.284,-2.284,-2.278,-2.302,58336.77,600028
74,2001-11-28,-2.284,-2.278,-2.272,-2.284,87926.6,600028
75,2001-11-29,-2.278,-2.29,-2.278,-2.302,118611.58,600028
76,2001-11-30,-2.29,-2.284,-2.284,-2.308,119004.47,600028
77,2001-12-03,-2.29,-2.266,-2.26,-2.296,180904.16,600028
78,2001-12-04,-2.272,-2.266,-2.26,-2.278,83850.55,600028
79,2001-12-05,-2.272,-2.272,-2.242,-2.29,216426.97,600028
80,2001-12-06,-2.272,-2.302,-2.266,-2.314,174436.07,600028
81,2001-12-07,-2.308,-2.308,-2.296,-2.314,146413.69,600028
82,2001-12-10,-2.327,-2.32,-2.302,-2.351,508288.01,600028
83,2001-12-11,-2.32,-2.333,-2.308,-2.345,168483.66,600028
84,2001-12-12,-2.339,-2.345,-2.327,-2.357,217108.39,600028
85,2001-12-13,-2.345,-2.375,-2.339,-2.381,261331.55,600028
86,2001-12-14,-2.375,-2.381,-2.369,-2.387,119079.02,600028
87,2001-12-17,-2.381,-2.393,-2.363,-2.399,143879.19,600028
88,2001-12-18,-2.387,-2.399,-2.381,-2.417,237223.88,600028
89,2001-12-19,-2.399,-2.399,-2.387,-2.399,101967.22,600028
90,2001-12-20,-2.399,-2.441,-2.399,-2.453,290385.05,600028
91,2001-12-21,-2.453,-2.447,-2.435,-2.459,131305.4,600028
92,2001-12-24,-2.447,-2.507,-2.441,-2.513,202228.14,600028
93,2001-12-25,-2.507,-2.501,-2.495,-2.561,169604.09,600028
94,2001-12-26,-2.501,-2.459,-2.447,-2.519,229638.93,600028
95,2001-12-27,-2.459,-2.453,-2.405,-2.459,314624.95,600028
96,2001-12-28,-2.453,-2.411,-2.405,-2.459,239555.98,600028
97,2001-12-31,-2.411,-2.411,-2.387,-2.417,160699.85,600028
98,2002-01-04,-2.411,-2.459,-2.411,-2.465,85184.0,600028
99,2002-01-07,-2.465,-2.465,-2.453,-2.507,93839.66,600028
100,2002-01-08,-2.471,-2.483,-2.447,-2.483,59570.45,600028
101,2002-01-09,-2.483,-2.465,-2.399,-2.513,122261.79,600028
102,2002-01-10,-2.465,-2.459,-2.453,-2.519,165236.68,600028
103,2002-01-11,-2.465,-2.501,-2.465,-2.507,146738.01,600028
104,2002-01-14,-2.513,-2.525,-2.471,-2.537,185205.85,600028
105,2002-01-15,-2.531,-2.543,-2.507,-2.549,152561.3,600028
106,2002-01-16,-2.543,-2.519,-2.501,-2.567,184989.17,600028
107,2002-01-17,-2.525,-2.549,-2.495,-2.555,154620.87,600028
108,2002-01-18,-2.561,-2.561,-2.537,-2.597,234523.67,600028
109,2002-01-21,-2.573,-2.609,-2.549,-2.615,148176.05,600028
110,2002-01-22,-2.621,-2.645,-2.579,-2.645,201330.66,600028
111,2002-01-23,-2.645,-2.573,-2.573,-2.687,301022.31,600028
112,2002-01-24,-2.579,-2.543,-2.513,-2.639,407833.02,600028
113,2002-01-25,-2.555,-2.573,-2.549,-2.585,159873.52,600028
114,2002-01-28,-2.591,-2.675,-2.579,-2.681,365514.17,600028
115,2002-01-29,-2.693,-2.651,-2.645,-2.705,135337.23,600028
116,2002-01-30,-2.651,-2.675,-2.645,-2.687,114630.51,600028
117,2002-01-31,-2.663,-2.585,-2.567,-2.663,446823.04,600028
118,2002-02-01,-2.585,-2.615,-2.579,-2.627,228557.37,600028
119,2002-02-04,-2.609,-2.591,-2.585,-2.633,125601.58,600028
120,2002-02-05,-2.591,-2.567,-2.567,-2.603,202308.92,600028
121,2002-02-06,-2.567,-2.597,-2.555,-2.603,153508.8,600028
122,2002-02-07,-2.603,-2.555,-2.543,-2.609,303937.83,600028
123,2002-02-08,-2.555,-2.573,-2.543,-2.585,193642.01,600028
124,2002-02-25,-2.549,-2.567,-2.543,-2.579,181300.77,600028
125,2002-02-26,-2.567,-2.579,-2.567,-2.603,109866.12,600028
126,2002-02-27,-2.579,-2.549,-2.537,-2.603,240185.15,600028
127,2002-02-28,-2.555,-2.567,-2.537,-2.573,123394.73,600028
128,2002-03-01,-2.567,-2.585,-2.561,-2.591,99980.6,600028
