,date,open,close,high,low,volume,code
0,2007-11-05,45.168,40.528,45.188,38.268,15474994.87,601857
1,2007-11-06,37.968,36.558,38.968,36.368,3429778.2,601857
2,2007-11-07,36.268,36.998,37.298,34.848,2166188.7,601857
3,2007-11-08,35.768,34.758,36.318,34.568,1400509.61,601857
4,2007-11-09,34.418,34.748,34.958,33.228,1432266.03,601857
5,2007-11-12,33.558,33.018,34.318,32.568,1062707.67,601857
6,2007-11-13,33.618,33.598,34.508,33.068,1105404.52,601857
7,2007-11-14,34.298,35.448,36.118,33.568,1171350.44,601857
8,2007-11-15,34.868,34.478,35.068,34.368,782256.81,601857
9,2007-11-16,34.018,35.388,35.618,33.598,1004198.81,601857
10,2007-11-19,35.308,34.638,35.308,34.238,729184.32,601857
11,2007-11-20,34.168,34.008,34.538,33.428,742276.07,601857
12,2007-11-21,34.068,33.388,34.428,33.268,738966.7,601857
13,2007-11-22,32.568,31.678,32.938,31.568,936968.95,601857
14,2007-11-23,31.458,31.158,31.678,30.318,721263.27,601857
15,2007-11-26,31.568,30.328,31.748,30.268,791801.54,601857
16,2007-11-27,30.058,29.118,30.058,29.088,892193.3,601857
17,2007-11-28,29.228,28.718,29.558,28.468,843535.84,601857
18,2007-11-29,29.338,29.618,29.768,28.658,924777.54,601857
19,2007-11-30,29.318,28.088,29.318,28.068,1024156.94,601857
20,2007-12-03,27.548,27.008,27.548,26.868,824535.0,601857
21,2007-12-04,27.168,27.158,27.638,27.068,521182.21,601857
22,2007-12-05,27.168,28.008,28.368,26.908,770304.28,601857
23,2007-12-06,28.068,27.688,28.118,27.468,418548.73,601857
24,2007-12-07,27.668,27.878,28.068,27.228,520039.39,601857
25,2007-12-10,27.478,27.988,28.268,27.148,735731.63,601857
26,2007-12-11,28.028,28.498,28.728,28.028,666671.87,601857
27,2007-12-12,28.268,27.708,28.268,27.568,565705.44,601857
28,2007-12-13,27.658,27.098,27.658,27.068,581023.31,601857
29,2007-12-14,26.848,27.118,27.188,26.548,574497.43,601857
30,2007-12-17,27.118,26.558,27.118,26.548,598916.83,601857
31,2007-12-18,26.558,25.808,26.558,25.718,502233.98,601857
32,2007-12-19,25.768,26.158,26.458,25.738,413057.58,601857
33,2007-12-20,26.348,27.068,27.118,25.898,522171.65,601857
34,2007-12-21,26.868,27.108,27.288,26.748,431268.37,601857
35,2007-12-24,27.128,28.528,29.348,26.728,1428013.87,601857
36,2007-12-25,28.358,27.818,28.448,27.668,627215.24,601857
37,2007-12-26,27.818,28.108,28.368,27.608,485293.62,601857
38,2007-12-27,28.168,27.958,28.418,27.728,700757.44,601857
39,2007-12-28,27.998,27.528,28.158,27.458,686401.18,601857
40,2008-01-02,27.468,27.148,27.468,26.958,550015.88,601857
41,2008-01-03,27.248,27.648,27.668,26.978,642023.4,601857
42,2008-01-04,27.868,27.878,28.378,27.868,693201.75,601857
43,2008-01-07,27.898,27.658,27.988,27.568,630001.45,601857
44,2008-01-08,27.718,27.548,28.198,27.378,704927.65,601857
45,2008-01-09,27.368,27.388,27.508,27.138,532072.38,601857
46,2008-01-10,27.388,27.128,27.558,26.968,723866.72,601857
47,2008-01-11,27.168,27.328,27.548,26.968,499707.93,601857
48,2008-01-14,27.468,27.178,27.558,26.988,544359.82,601857
49,2008-01-15,27.178,26.828,27.178,26.728,741923.02,601857
50,2008-01-16,26.568,26.228,26.718,26.198,751886.37,601857
51,2008-01-17,26.078,25.608,26.448,25.268,713973.07,601857
52,2008-01-18,25.468,25.658,25.768,25.368,410307.03,601857
53,2008-01-21,25.668,24.048,25.768,23.918,611907.39,601857
54,2008-01-22,23.758,22.748,23.758,22.168,963450.55,601857
55,2008-01-23,22.718,22.968,23.398,22.468,549863.47,601857
56,2008-01-24,23.118,22.578,23.358,22.368,497191.78,601857
57,2008-01-25,22.588,22.708,22.998,22.028,435575.55,601857
58,2008-01-28,22.548,20.588,22.548,20.568,530554.7,601857
59,2008-01-29,20.588,20.768,21.098,20.368,313818.03,601857
60,2008-01-30,21.068,21.018,21.648,20.688,350043.99,601857
61,2008-01-31,21.038,21.838,22.438,20.868,579155.85,601857
62,2008-02-01,21.858,20.988,21.858,20.578,388824.41,601857
63,2008-02-04,21.278,22.958,23.018,21.278,714505.45,601857
64,2008-02-05,21.568,21.278,21.998,21.048,3157628.95,601857
65,2008-02-13,20.568,20.488,20.818,20.058,1154361.07,601857
66,2008-02-14,20.748,20.728,20.848,20.408,585079.41,601857
67,2008-02-15,20.668,20.438,20.668,20.028,639673.71,601857
68,2008-02-18,20.648,20.618,20.828,20.328,648131.06,601857
69,2008-02-19,20.748,21.308,21.358,20.468,856592.84,601857
70,2008-02-20,21.568,20.678,21.648,20.648,843205.51,601857
71,2008-02-21,20.568,20.588,20.858,20.178,449773.12,601857
72,2008-02-22,20.368,19.698,20.418,19.568,699281.9,601857
73,2008-02-25,19.698,18.478,19.818,18.458,708679.95,601857
74,2008-02-26,19.058,18.968,19.248,18.368,544042.57,601857
75,2008-02-27,18.958,19.148,19.408,18.768,372006.28,601857
76,2008-02-28,19.178,18.808,19.198,18.648,307976.55,601857
77,2008-02-29,18.748,19.138,19.328,18.668,325891.34,601857
78,2008-03-03,18.998,19.598,19.868,18.568,528684.25,601857
79,2008-03-04,19.668,18.998,20.008,18.888,478251.95,601857
80,2008-03-05,18.848,18.758,19.048,18.518,354467.6,601857
81,2008-03-06,18.848,19.368,19.848,18.568,552996.57,601857
82,2008-03-07,19.108,19.208,19.508,18.798,279620.0,601857
83,2008-03-10,18.968,18.568,18.978,18.448,445904.38,601857
84,2008-03-11,18.548,18.828,18.958,18.418,279418.84,601857
85,2008-03-12,19.368,18.628,19.568,18.568,405965.95,601857
86,2008-03-13,18.548,18.218,18.728,17.908,511736.82,601857
87,2008-03-14,18.248,18.898,19.268,18.178,688888.65,601857
88,2008-03-17,18.888,19.178,19.698,18.218,930933.91,601857
89,2008-03-18,19.048,19.048,19.708,18.568,1268063.96,601857
90,2008-03-19,19.668,19.148,19.718,18.578,912745.19,601857
91,2008-03-20,17.118,18.468,18.758,16.918,1029279.76,601857
92,2008-03-21,18.148,17.598,18.168,17.418,991724.83,601857
93,2008-03-24,17.568,16.398,17.568,16.368,1240894.0,601857
94,2008-03-25,15.918,15.578,15.918,15.308,876285.86,601857
95,2008-03-26,15.588,15.098,15.758,15.068,613249.92,601857
96,2008-03-27,14.568,13.558,14.578,13.508,1184222.83,601857
97,2008-03-28,13.358,14.438,14.508,13.268,863563.51,601857
98,2008-03-31,13.818,13.788,14.298,13.548,653265.09,601857
99,2008-04-01,13.768,13.398,13.918,13.298,523976.67,601857
100,2008-04-02,13.568,13.728,14.068,13.268,504289.4,601857
101,2008-04-03,13.728,14.118,14.248,13.388,488331.76,601857
102,2008-04-07,14.098,14.918,15.068,13.818,739611.15,601857
103,2008-04-08,14.928,14.768,15.088,14.598,525460.67,601857
104,2008-04-09,14.768,13.888,14.768,13.868,510926.34,601857
105,2008-04-10,13.678,13.918,13.978,13.548,302139.82,601857
106,2008-04-11,13.918,14.058,14.128,13.718,306452.79,601857
107,2008-04-14,13.768,13.478,13.858,13.438,369514.01,601857
108,2008-04-15,13.478,13.628,13.628,13.368,274762.67,601857
109,2008-04-16,13.728,13.558,13.848,13.548,178565.66,601857
110,2008-04-17,13.508,13.438,13.968,13.288,253233.96,601857
111,2008-04-18,13.448,12.588,13.468,12.568,534980.98,601857
112,2008-04-21,13.288,12.628,13.568,12.568,446801.86,601857
113,2008-04-22,12.638,12.578,12.648,11.918,367252.2,601857
114,2008-04-23,12.528,13.088,13.208,12.178,495532.89,601857
115,2008-04-24,14.358,14.718,14.738,13.578,1505764.52,601857
116,2008-04-25,14.648,14.158,14.708,14.138,985177.54,601857
117,2008-04-28,14.048,13.408,14.048,13.368,588803.18,601857
118,2008-04-29,13.318,13.628,13.828,13.158,397520.31,601857
119,2008-04-30,13.668,14.638,14.838,13.668,1327757.43,601857
120,2008-05-05,14.838,14.738,14.898,14.448,721127.88,601857
121,2008-05-06,14.698,14.918,15.538,14.468,1045900.14,601857
122,2008-05-07,14.968,14.508,15.418,14.468,760696.19,601857
123,2008-05-08,14.318,14.558,14.568,13.978,446667.13,601857
124,2008-05-09,14.568,14.478,14.948,14.238,421673.85,601857
125,2008-05-12,14.258,14.428,14.668,14.118,312570.92,601857
126,2008-05-13,13.898,13.958,14.248,13.618,497642.71,601857
127,2008-05-14,13.858,14.218,14.348,13.778,363797.75,601857
128,2008-05-16,14.248,14.178,14.498,13.868,288055.16,601857
129,2008-05-19,14.148,13.908,14.148,13.868,196556.03,601857
130,2008-05-20,13.848,13.318,13.908,13.208,437578.11,601857
131,2008-05-21,13.278,14.428,14.828,13.098,843109.81,601857
132,2008-05-22,13.958,14.038,14.618,13.818,621118.53,601857
133,2008-05-23,14.038,14.228,14.738,13.968,716519.71,601857
134,2008-05-26,14.058,13.728,14.188,13.668,334863.49,601857
135,2008-05-27,13.778,13.828,13.918,13.548,262559.79,601857
136,2008-05-28,13.878,14.198,14.568,13.638,449273.6,601857
137,2008-05-29,14.225,14.445,14.915,14.055,953385.87,601857
138,2008-05-30,14.705,14.645,15.025,14.535,691404.12,601857
139,2008-06-02,14.585,14.625,14.925,14.325,439692.49,601857
140,2008-06-03,14.635,14.435,14.695,14.305,310581.9,601857
141,2008-06-04,14.375,14.105,14.425,13.965,279624.02,601857
142,2008-06-05,14.065,14.215,14.375,13.935,244610.96,601857
143,2008-06-06,14.275,13.895,14.325,13.825,318842.92,601857
144,2008-06-10,13.375,12.855,13.605,12.525,593116.93,601857
145,2008-06-11,12.875,12.625,13.055,12.505,439101.77,601857
146,2008-06-12,12.655,12.095,12.775,11.725,514248.06,601857
147,2008-06-13,12.105,11.715,12.185,11.675,382203.77,601857
148,2008-06-16,11.825,12.105,12.225,11.715,368909.65,601857
149,2008-06-17,12.125,11.965,12.205,11.725,276297.06,601857
150,2008-06-18,11.875,12.815,12.865,11.825,527812.46,601857
151,2008-06-19,12.705,11.895,12.705,11.825,367027.06,601857
152,2008-06-20,13.215,12.585,13.215,12.215,1034342.98,601857
153,2008-06-23,12.325,12.085,12.425,11.985,344748.39,601857
154,2008-06-24,12.065,12.045,12.185,11.765,249902.24,601857
155,2008-06-25,12.025,12.485,12.535,11.955,311611.63,601857
156,2008-06-26,12.485,12.265,12.495,12.065,296236.58,601857
157,2008-06-27,11.825,11.725,11.975,11.625,445019.97,601857
158,2008-06-30,11.725,11.665,11.805,11.525,198236.66,601857
159,2008-07-01,11.705,11.195,11.785,11.125,260763.43,601857
160,2008-07-02,11.225,11.335,11.475,11.175,166574.24,601857
161,2008-07-03,11.125,11.435,11.725,10.765,350280.84,601857
162,2008-07-04,11.275,11.105,11.405,11.005,186773.06,601857
163,2008-07-07,11.115,11.545,11.665,11.115,283544.31,601857
164,2008-07-08,11.605,11.865,11.905,11.425,362703.11,601857
165,2008-07-09,11.945,12.355,12.425,11.935,507284.21,601857
166,2008-07-10,12.125,12.065,12.475,12.045,310099.93,601857
167,2008-07-11,11.955,11.875,12.125,11.725,197638.66,601857
168,2008-07-14,11.825,11.865,11.985,11.705,132623.41,601857
169,2008-07-15,11.895,11.545,11.925,11.425,203658.7,601857
170,2008-07-16,11.525,11.565,11.655,11.185,251643.54,601857
171,2008-07-17,11.725,11.445,11.925,11.425,167652.72,601857
172,2008-07-18,11.635,11.745,11.975,11.455,263199.55,601857
173,2008-07-21,11.795,12.105,12.125,11.675,390531.04,601857
174,2008-07-22,12.025,11.915,12.025,11.765,203968.4,601857
175,2008-07-23,12.175,11.935,12.175,11.885,179151.79,601857
176,2008-07-24,12.075,12.125,12.175,11.905,311331.07,601857
177,2008-07-25,12.005,11.795,12.025,11.705,228107.85,601857
178,2008-07-28,11.875,12.155,12.195,11.855,307360.77,601857
179,2008-07-29,11.975,11.945,12.025,11.845,146511.07,601857
180,2008-07-30,12.075,11.925,12.145,11.915,162533.56,601857
181,2008-08-01,11.525,11.755,11.945,11.425,198939.02,601857
182,2008-08-04,11.675,11.595,11.795,11.585,110425.56,601857
183,2008-08-05,11.635,11.405,11.725,11.375,136925.1,601857
184,2008-08-06,11.485,11.595,11.775,11.425,177839.0,601857
185,2008-08-07,11.595,11.675,11.775,11.495,139017.03,601857
186,2008-08-08,11.685,11.335,11.775,11.225,246577.68,601857
187,2008-08-11,11.325,10.525,11.385,10.405,216690.56,601857
188,2008-08-12,10.525,10.585,10.675,10.375,130651.67,601857
189,2008-08-13,10.585,10.475,10.585,9.905,147313.67,601857
190,2008-08-14,10.405,10.325,10.405,10.115,116543.24,601857
191,2008-08-15,10.325,10.595,10.765,10.225,120088.23,601857
192,2008-08-18,10.525,10.035,10.585,10.025,127950.03,601857
193,2008-08-19,10.035,10.125,10.225,9.935,102131.38,601857
194,2008-08-20,10.135,10.955,10.975,9.965,288503.13,601857
195,2008-08-21,10.725,10.425,10.805,10.415,145622.59,601857
196,2008-08-22,10.335,10.215,10.345,10.085,95175.97,601857
197,2008-08-25,10.225,10.335,10.565,10.145,95813.16,601857
198,2008-08-26,10.225,10.095,10.325,9.975,121098.54,601857
199,2008-08-27,10.085,9.785,10.195,9.705,150256.87,601857
200,2008-08-28,9.785,9.695,10.005,9.555,128678.47,601857
201,2008-08-29,9.745,9.835,9.925,9.645,130424.38,601857
202,2008-09-01,9.825,9.445,9.825,9.425,134514.22,601857
203,2008-09-02,9.475,9.235,9.525,9.175,116681.16,601857
204,2008-09-03,9.225,9.225,9.415,8.995,164559.37,601857
205,2008-09-04,9.255,9.185,9.285,9.125,65274.0,601857
206,2008-09-05,8.975,8.665,8.975,8.645,205934.24,601857
207,2008-09-08,8.725,8.085,8.785,8.055,220453.33,601857
208,2008-09-09,8.075,7.895,8.165,7.705,159518.44,601857
209,2008-09-10,7.825,7.805,8.005,7.595,204829.79,601857
210,2008-09-11,7.805,7.435,7.805,7.325,171122.92,601857
211,2008-09-12,7.415,7.435,7.525,7.335,147506.02,601857
212,2008-09-16,7.425,7.005,7.425,6.915,255541.73,601857
213,2008-09-17,7.035,7.115,7.355,7.025,273831.29,601857
214,2008-09-18,6.885,6.895,7.265,6.475,438602.31,601857
215,2008-09-19,7.816,7.896,7.896,7.416,283418.41,601857
216,2008-09-22,8.936,8.996,8.996,8.586,1701950.64,601857
217,2008-09-23,9.576,9.466,9.796,9.226,1566542.72,601857
218,2008-09-24,8.956,9.446,9.586,8.836,583469.69,601857
219,2008-09-25,9.426,9.866,10.096,9.356,1373305.23,601857
220,2008-09-26,9.756,9.696,9.876,9.566,487913.68,601857
221,2008-10-06,9.636,9.046,9.636,8.986,395877.29,601857
222,2008-10-07,8.756,9.026,9.076,8.386,357800.05,601857
223,2008-10-08,8.706,8.986,9.006,8.516,487632.67,601857
224,2008-10-09,9.036,8.996,9.156,8.736,343898.28,601857
225,2008-10-10,8.656,9.016,9.066,8.546,531071.57,601857
226,2008-10-13,8.846,8.956,8.986,8.416,421137.43,601857
227,2008-10-14,9.156,8.756,9.256,8.716,362262.5,601857
228,2008-10-15,8.646,8.826,8.856,8.336,523525.81,601857
229,2008-10-16,8.356,8.756,8.806,8.266,830109.75,601857
230,2008-10-17,8.736,8.986,9.006,8.656,507084.87,601857
231,2008-10-20,8.856,8.756,8.856,8.456,383524.6,601857
232,2008-10-22,8.536,8.076,8.546,8.066,337704.7,601857
233,2008-10-23,7.756,7.516,7.756,7.426,274104.84,601857
234,2008-10-24,7.606,7.486,7.746,7.456,200372.97,601857
235,2008-10-27,7.346,6.806,7.376,6.766,267431.73,601857
236,2008-10-28,6.656,7.016,7.176,6.566,258975.03,601857
237,2008-10-29,7.106,7.126,7.326,6.966,245449.07,601857
238,2008-10-30,7.216,7.476,7.666,7.126,337464.11,601857
239,2008-10-31,7.476,7.256,7.616,7.236,172090.53,601857
240,2008-11-03,7.226,7.146,7.346,7.006,152532.31,601857
241,2008-11-04,7.106,7.206,7.276,7.076,110536.23,601857
242,2008-11-05,7.236,7.486,7.556,7.236,218409.55,601857
243,2008-11-06,7.336,7.186,7.336,7.056,123475.4,601857
244,2008-11-07,7.056,7.366,7.486,6.966,160771.75,601857
245,2008-11-10,7.516,8.076,8.146,7.516,322717.38,601857
246,2008-11-11,8.156,7.846,8.156,7.836,232787.93,601857
247,2008-11-12,7.756,7.816,7.906,7.666,118698.5,601857
248,2008-11-13,7.756,8.126,8.146,7.586,339542.23,601857
249,2008-11-14,8.156,8.376,8.436,8.036,416130.92,601857
250,2008-11-17,8.376,8.466,8.476,8.206,330084.08,601857
251,2008-11-18,8.466,7.936,8.896,7.886,537670.06,601857
252,2008-11-19,7.856,8.766,8.846,7.856,643087.67,601857
253,2008-11-20,8.576,8.456,8.856,8.356,524592.02,601857
254,2008-11-21,8.336,8.396,8.596,8.066,318936.9,601857
255,2008-11-24,8.406,8.106,8.506,8.066,181282.64,601857
256,2008-11-25,8.266,8.006,8.356,7.916,132333.61,601857
257,2008-11-26,8.156,8.066,8.236,7.976,123603.23,601857
258,2008-11-27,8.636,8.236,8.816,8.216,291220.88,601857
259,2008-11-28,8.156,7.996,8.226,7.976,154681.16,601857
260,2008-12-01,7.986,8.036,8.116,7.906,143640.66,601857
261,2008-12-02,7.936,7.976,8.046,7.856,160775.44,601857
262,2008-12-03,7.996,8.256,8.256,7.976,353803.77,601857
263,2008-12-04,8.396,8.466,8.716,8.276,614512.41,601857
264,2008-12-05,8.366,8.426,8.476,8.216,350463.54,601857
265,2008-12-08,8.736,8.706,8.866,8.536,475614.71,601857
266,2008-12-09,8.796,8.466,8.806,8.456,433895.84,601857
267,2008-12-10,8.356,8.446,8.486,8.136,442312.61,601857
268,2008-12-11,8.446,8.276,8.576,8.236,329572.29,601857
269,2008-12-12,8.216,8.006,8.306,7.926,331564.18,601857
270,2008-12-15,8.026,7.966,8.126,7.856,239179.04,601857
271,2008-12-16,7.906,7.956,7.986,7.606,232128.85,601857
272,2008-12-17,8.006,7.856,8.026,7.856,238133.95,601857
