,date,open,close,high,low,volume,code
0,2007-10-09,51.88,53.18,54.38,51.88,4651282.8,601088
1,2007-10-10,54.39,60.11,60.11,53.87,867217.82,601088
2,2007-10-11,64.38,67.73,67.73,63.38,1607449.42,601088
3,2007-10-12,71.88,76.0,76.12,68.9,1693471.54,601088
4,2007-10-15,76.08,74.75,78.76,72.47,941490.98,601088
5,2007-10-16,74.98,74.37,75.87,70.88,691621.55,601088
6,2007-10-17,72.76,71.9,73.75,71.05,553330.19,601088
7,2007-10-18,70.88,66.14,71.38,65.48,784895.28,601088
8,2007-10-19,67.98,67.5,68.68,65.88,505572.14,601088
9,2007-10-22,65.28,63.13,66.28,62.46,474346.77,601088
10,2007-10-23,63.38,63.93,64.76,60.56,571339.9,601088
11,2007-10-24,64.18,64.51,67.23,62.38,582578.48,601088
12,2007-10-25,62.76,60.99,63.88,60.47,450494.31,601088
13,2007-10-26,60.38,61.42,62.65,60.18,302888.16,601088
14,2007-10-29,62.18,62.88,64.91,60.88,275113.73,601088
15,2007-10-30,63.38,66.83,67.57,61.98,372921.37,601088
16,2007-10-31,67.89,65.57,68.38,64.89,352370.12,601088
17,2007-11-01,65.68,64.39,67.26,64.35,255862.7,601088
18,2007-11-02,62.88,60.96,63.56,60.88,361992.56,601088
19,2007-11-05,60.88,58.17,60.96,57.56,354213.62,601088
20,2007-11-06,57.78,56.19,58.78,55.88,261216.04,601088
21,2007-11-07,57.38,57.92,58.62,56.6,183541.07,601088
22,2007-11-08,56.88,54.46,57.26,54.38,192689.32,601088
23,2007-11-09,54.38,53.39,54.38,52.58,218640.8,601088
24,2007-11-12,51.39,48.39,51.85,46.54,370885.85,601088
25,2007-11-13,49.38,47.86,50.78,46.89,240194.39,601088
26,2007-11-14,49.58,54.22,54.26,48.88,521736.51,601088
27,2007-11-15,53.15,51.27,53.65,51.19,348180.27,601088
28,2007-11-16,49.78,51.92,52.88,48.9,168068.42,601088
29,2007-11-19,51.97,50.56,52.38,49.89,106810.62,601088
30,2007-11-20,50.62,50.97,51.82,49.13,139951.95,601088
31,2007-11-21,50.98,51.37,53.83,50.98,187538.13,601088
