,date,open,close,high,low,volume,code
0,2002-10-09,1.339,1.231,1.399,1.225,13047383.21,600050
1,2002-10-10,1.207,1.207,1.243,1.183,2029271.01,600050
2,2002-10-11,1.219,1.273,1.285,1.207,1731359.13,600050
3,2002-10-14,1.285,1.315,1.321,1.273,1787610.83,600050
4,2002-10-15,1.315,1.297,1.315,1.285,908341.52,600050
5,2002-10-16,1.303,1.303,1.339,1.297,1119364.07,600050
6,2002-10-17,1.303,1.297,1.315,1.291,810042.44,600050
7,2002-10-18,1.297,1.315,1.327,1.291,600594.81,600050
8,2002-10-21,1.315,1.327,1.333,1.309,535778.0,600050
9,2002-10-22,1.333,1.339,1.351,1.327,926348.96,600050
10,2002-10-23,1.339,1.333,1.345,1.321,518376.02,600050
11,2002-10-24,1.339,1.333,1.339,1.321,434079.24,600050
12,2002-10-25,1.333,1.303,1.345,1.303,886744.95,600050
13,2002-10-28,1.297,1.273,1.309,1.267,968633.24,600050
14,2002-10-29,1.267,1.291,1.291,1.261,472539.58,600050
15,2002-10-30,1.291,1.285,1.291,1.279,429178.29,600050
16,2002-10-31,1.285,1.273,1.291,1.273,561531.39,600050
17,2002-11-01,1.273,1.285,1.303,1.267,465580.34,600050
18,2002-11-04,1.291,1.321,1.321,1.291,669815.53,600050
19,2002-11-05,1.321,1.351,1.363,1.321,1791649.85,600050
20,2002-11-06,1.345,1.345,1.351,1.327,781916.82,600050
21,2002-11-07,1.345,1.339,1.357,1.333,1047163.47,600050
22,2002-11-08,1.357,1.321,1.357,1.303,1914405.05,600050
23,2002-11-11,1.327,1.309,1.327,1.303,587287.97,600050
24,2002-11-12,1.321,1.321,1.351,1.315,1587330.28,600050
25,2002-11-13,1.321,1.315,1.321,1.285,885175.86,600050
26,2002-11-14,1.315,1.297,1.321,1.291,355432.72,600050
27,2002-11-15,1.291,1.303,1.321,1.291,611465.8,600050
28,2002-11-18,1.309,1.309,1.321,1.297,324547.87,600050
29,2002-11-19,1.309,1.309,1.309,1.297,312979.52,600050
30,2002-11-20,1.309,1.285,1.315,1.279,702823.43,600050
31,2002-11-21,1.279,1.255,1.285,1.249,660257.32,600050
32,2002-11-22,1.261,1.261,1.273,1.249,511619.27,600050
33,2002-11-25,1.261,1.255,1.273,1.249,290498.91,600050
34,2002-11-26,1.255,1.231,1.267,1.225,433764.99,600050
35,2002-11-27,1.225,1.255,1.261,1.219,493319.6,600050
36,2002-11-28,1.255,1.297,1.297,1.249,697044.88,600050
37,2002-11-29,1.297,1.291,1.315,1.279,1318830.15,600050
38,2002-12-02,1.285,1.261,1.291,1.255,381102.25,600050
39,2002-12-03,1.261,1.267,1.279,1.255,204693.69,600050
40,2002-12-04,1.273,1.267,1.285,1.261,261284.7,600050
41,2002-12-05,1.267,1.261,1.273,1.249,262409.91,600050
42,2002-12-06,1.261,1.267,1.267,1.249,95150.72,600050
43,2002-12-09,1.261,1.249,1.267,1.243,198720.43,600050
44,2002-12-10,1.249,1.237,1.261,1.237,260114.11,600050
45,2002-12-11,1.237,1.243,1.249,1.231,324328.7,600050
46,2002-12-12,1.243,1.243,1.255,1.237,210765.46,600050
47,2002-12-13,1.231,1.249,1.255,1.225,176556.9,600050
48,2002-12-16,1.249,1.243,1.249,1.231,212753.99,600050
49,2002-12-17,1.243,1.243,1.255,1.237,261876.07,600050
50,2002-12-18,1.243,1.231,1.249,1.231,289194.68,600050
51,2002-12-19,1.231,1.225,1.237,1.213,290718.0,600050
52,2002-12-20,1.225,1.243,1.243,1.219,225888.57,600050
53,2002-12-24,1.243,1.237,1.249,1.225,269353.47,600050
54,2002-12-25,1.237,1.219,1.237,1.213,408996.7,600050
55,2002-12-26,1.219,1.189,1.219,1.183,580371.08,600050
56,2002-12-27,1.183,1.183,1.189,1.171,373706.39,600050
57,2002-12-30,1.183,1.147,1.183,1.135,427802.45,600050
58,2002-12-31,1.141,1.123,1.153,1.117,293117.0,600050
59,2003-01-02,1.117,1.093,1.123,1.087,365853.66,600050
60,2003-01-03,1.093,1.105,1.105,1.087,176608.04,600050
61,2003-01-06,1.105,1.105,1.111,1.081,202620.89,600050
62,2003-01-07,1.099,1.105,1.117,1.093,188879.5,600050
63,2003-01-08,1.099,1.201,1.231,1.093,837016.29,600050
64,2003-01-09,1.189,1.201,1.237,1.159,1811096.47,600050
65,2003-01-10,1.201,1.177,1.225,1.177,843211.16,600050
66,2003-01-13,1.177,1.183,1.201,1.171,393878.54,600050
67,2003-01-14,1.183,1.351,1.351,1.177,1966091.53,600050
68,2003-01-15,1.537,1.537,1.537,1.477,9691833.43,600050
69,2003-01-16,1.525,1.555,1.591,1.489,4037420.24,600050
70,2003-01-17,1.555,1.471,1.573,1.471,3416483.99,600050
71,2003-01-20,1.471,1.489,1.501,1.447,1969186.36,600050
72,2003-01-21,1.489,1.405,1.489,1.405,1847624.04,600050
73,2003-01-22,1.399,1.411,1.423,1.393,847018.13,600050
74,2003-01-23,1.405,1.417,1.459,1.405,1129546.35,600050
75,2003-01-24,1.411,1.465,1.471,1.405,1552032.82,600050
76,2003-01-27,1.465,1.453,1.483,1.447,732673.47,600050
77,2003-01-28,1.453,1.459,1.465,1.435,539883.75,600050
78,2003-01-29,1.453,1.447,1.477,1.441,592778.51,600050
79,2003-02-10,1.435,1.381,1.435,1.375,1067563.98,600050
80,2003-02-11,1.369,1.405,1.405,1.369,371023.2,600050
81,2003-02-12,1.405,1.417,1.423,1.387,519844.14,600050
82,2003-02-13,1.423,1.393,1.435,1.393,622302.88,600050
83,2003-02-14,1.387,1.405,1.411,1.387,361967.61,600050
84,2003-02-17,1.405,1.369,1.405,1.363,587540.12,600050
85,2003-02-18,1.369,1.381,1.387,1.363,315688.85,600050
86,2003-02-19,1.381,1.399,1.405,1.369,516372.85,600050
87,2003-02-20,1.399,1.393,1.399,1.381,285067.61,600050
88,2003-02-21,1.387,1.363,1.393,1.357,596938.32,600050
89,2003-02-24,1.357,1.363,1.369,1.357,225544.31,600050
90,2003-02-25,1.363,1.399,1.405,1.357,650754.0,600050
91,2003-02-26,1.399,1.399,1.405,1.381,322585.89,600050
92,2003-02-27,1.399,1.393,1.411,1.387,409304.72,600050
93,2003-02-28,1.393,1.375,1.393,1.369,308796.84,600050
94,2003-03-03,1.375,1.375,1.381,1.357,509724.88,600050
95,2003-03-04,1.375,1.381,1.393,1.369,391014.48,600050
96,2003-03-05,1.381,1.369,1.381,1.357,338968.85,600050
97,2003-03-06,1.363,1.327,1.363,1.321,860736.54,600050
98,2003-03-07,1.321,1.303,1.333,1.297,801052.05,600050
99,2003-03-10,1.297,1.267,1.309,1.267,635125.45,600050
100,2003-03-11,1.261,1.273,1.273,1.261,308062.16,600050
101,2003-03-12,1.267,1.267,1.273,1.249,354459.85,600050
102,2003-03-13,1.267,1.249,1.273,1.249,276788.86,600050
103,2003-03-14,1.249,1.255,1.261,1.249,279473.96,600050
104,2003-03-17,1.255,1.237,1.255,1.213,539689.22,600050
105,2003-03-18,1.231,1.219,1.255,1.219,324879.64,600050
106,2003-03-19,1.213,1.243,1.249,1.207,406110.34,600050
107,2003-03-20,1.237,1.237,1.261,1.219,316360.63,600050
108,2003-03-21,1.237,1.255,1.255,1.231,229894.79,600050
109,2003-03-24,1.249,1.249,1.255,1.237,180384.87,600050
110,2003-03-25,1.249,1.213,1.249,1.207,353562.74,600050
111,2003-03-26,1.213,1.219,1.231,1.201,275541.04,600050
112,2003-03-27,1.219,1.279,1.321,1.201,1129408.14,600050
113,2003-03-28,1.279,1.267,1.285,1.255,604640.25,600050
114,2003-03-31,1.261,1.279,1.291,1.255,484200.93,600050
115,2003-04-01,1.285,1.315,1.321,1.273,1147861.02,600050
116,2003-04-02,1.309,1.327,1.363,1.297,1392819.58,600050
117,2003-04-03,1.327,1.297,1.339,1.297,484662.08,600050
118,2003-04-04,1.297,1.309,1.321,1.291,490062.81,600050
119,2003-04-07,1.309,1.321,1.333,1.309,991530.73,600050
120,2003-04-08,1.315,1.339,1.363,1.303,1851622.77,600050
121,2003-04-09,1.315,1.435,1.489,1.315,9367139.62,600050
122,2003-04-10,1.435,1.405,1.495,1.393,5508807.47,600050
123,2003-04-11,1.405,1.501,1.525,1.405,4792948.45,600050
124,2003-04-14,1.507,1.507,1.537,1.477,3665215.02,600050
125,2003-04-15,1.513,1.507,1.579,1.495,3898528.7,600050
126,2003-04-16,1.507,1.513,1.573,1.489,5293712.57,600050
127,2003-04-17,1.525,1.603,1.64,1.525,5387644.16,600050
128,2003-04-18,1.61,1.495,1.61,1.489,4174932.75,600050
129,2003-04-21,1.483,1.429,1.483,1.393,3052334.7,600050
130,2003-04-22,1.411,1.411,1.435,1.399,862711.85,600050
131,2003-04-23,1.411,1.369,1.423,1.357,1611406.22,600050
132,2003-04-24,1.351,1.333,1.375,1.309,2514138.86,600050
133,2003-04-25,1.333,1.339,1.363,1.321,846895.93,600050
134,2003-04-28,1.333,1.447,1.459,1.315,3003005.83,600050
135,2003-04-29,1.429,1.375,1.429,1.375,1363551.7,600050
136,2003-04-30,1.417,1.405,1.453,1.387,1246801.53,600050
137,2003-05-13,1.447,1.417,1.483,1.411,2749957.27,600050
138,2003-05-14,1.405,1.471,1.489,1.405,1911732.95,600050
139,2003-05-15,1.477,1.519,1.543,1.459,2091661.41,600050
140,2003-05-16,1.513,1.501,1.525,1.483,1041874.79,600050
141,2003-05-19,1.501,1.489,1.513,1.477,665117.62,600050
142,2003-05-20,1.489,1.453,1.489,1.441,842885.14,600050
143,2003-05-21,1.447,1.447,1.477,1.441,371477.33,600050
144,2003-05-22,1.447,1.453,1.465,1.423,444650.46,600050
145,2003-05-23,1.447,1.471,1.501,1.447,1027762.74,600050
146,2003-05-26,1.477,1.471,1.501,1.459,731143.09,600050
147,2003-05-27,1.471,1.453,1.483,1.447,505145.05,600050
148,2003-05-28,1.453,1.417,1.471,1.399,1269149.43,600050
149,2003-05-29,1.405,1.441,1.453,1.399,705784.81,600050
150,2003-05-30,1.447,1.471,1.495,1.447,1305116.74,600050
151,2003-06-02,1.471,1.465,1.483,1.447,333832.32,600050
152,2003-06-03,1.471,1.447,1.477,1.447,442456.74,600050
153,2003-06-04,1.447,1.501,1.519,1.423,1435354.53,600050
154,2003-06-05,1.501,1.459,1.501,1.459,728727.55,600050
155,2003-06-06,1.459,1.447,1.471,1.441,431387.36,600050
156,2003-06-09,1.441,1.453,1.489,1.435,489241.27,600050
157,2003-06-10,1.471,1.483,1.495,1.453,569369.26,600050
