,date,open,close,high,low,volume,code
0,2006-07-31,-3.737,-3.717,-3.667,-3.82,936172.54,600048
1,2006-08-01,-3.742,-3.697,-3.639,-3.78,258658.77,600048
2,2006-08-02,-3.711,-3.643,-3.61,-3.717,214499.2,600048
3,2006-08-03,-3.641,-3.653,-3.63,-3.692,116326.91,600048
4,2006-08-04,-3.66,-3.627,-3.596,-3.682,145763.44,600048
5,2006-08-07,-3.618,-3.557,-3.531,-3.638,143234.13,600048
6,2006-08-08,-3.554,-3.543,-3.515,-3.583,96798.7,600048
7,2006-08-09,-3.553,-3.603,-3.548,-3.622,93287.82,600048
8,2006-08-10,-3.611,-3.586,-3.584,-3.63,85558.72,600048
9,2006-08-11,-3.588,-3.486,-3.478,-3.6,121812.75,600048
10,2006-08-14,-3.472,-3.49,-3.447,-3.519,112827.17,600048
11,2006-08-15,-3.516,-3.447,-3.44,-3.541,115754.53,600048
12,2006-08-16,-3.445,-3.471,-3.434,-3.483,76422.25,600048
13,2006-08-17,-3.483,-3.49,-3.439,-3.495,64623.46,600048
14,2006-08-18,-3.49,-3.502,-3.471,-3.509,47657.77,600048
15,2006-08-21,-3.562,-3.51,-3.49,-3.562,56877.3,600048
16,2006-08-22,-3.512,-3.506,-3.474,-3.521,37761.18,600048
17,2006-08-23,-3.512,-3.521,-3.49,-3.54,47161.43,600048
18,2006-08-24,-3.521,-3.461,-3.457,-3.526,63778.57,600048
19,2006-08-25,-3.46,-3.477,-3.45,-3.482,37863.9,600048
20,2006-08-28,-3.471,-3.325,-3.325,-3.483,96113.96,600048
21,2006-08-29,-3.277,-3.304,-3.244,-3.331,109932.24,600048
22,2006-08-30,-3.319,-3.166,-3.136,-3.331,101220.71,600048
23,2006-08-31,-3.18,-3.16,-3.143,-3.194,68684.96,600048
24,2006-09-01,-3.164,-3.159,-3.035,-3.172,87259.88,600048
25,2006-09-04,-3.157,-3.131,-3.112,-3.191,69113.56,600048
26,2006-09-05,-3.142,-3.178,-3.074,-3.186,68019.13,600048
27,2006-09-06,-3.174,-3.204,-3.166,-3.256,69102.1,600048
28,2006-09-07,-3.206,-3.187,-3.175,-3.224,39869.85,600048
29,2006-09-08,-3.181,-3.181,-3.111,-3.192,51205.98,600048
30,2006-09-11,-3.167,-3.179,-3.149,-3.243,46306.61,600048
31,2006-09-12,-3.176,-3.168,-3.151,-3.202,36260.83,600048
32,2006-09-13,-3.162,-3.223,-3.153,-3.229,33250.57,600048
33,2006-09-14,-3.244,-3.204,-3.201,-3.263,48879.94,600048
34,2006-09-15,-3.213,-3.198,-3.18,-3.235,33656.52,600048
35,2006-09-18,-3.199,-3.181,-3.15,-3.201,31893.48,600048
36,2006-09-19,-3.182,-3.218,-3.182,-3.221,38133.22,600048
37,2006-09-20,-3.22,-3.126,-3.079,-3.22,86434.35,600048
38,2006-09-22,-3.109,-3.127,-3.091,-3.158,40300.55,600048
39,2006-09-25,-3.136,-3.184,-3.103,-3.199,40535.57,600048
40,2006-09-26,-3.192,-3.259,-3.183,-3.289,62579.32,600048
41,2006-09-27,-3.256,-3.261,-3.244,-3.29,21231.47,600048
42,2006-09-28,-3.263,-3.236,-3.196,-3.279,41365.54,600048
43,2006-09-29,-3.236,-3.237,-3.191,-3.249,31362.16,600048
44,2006-10-09,-3.229,-3.233,-3.213,-3.272,59691.75,600048
45,2006-10-10,-3.243,-3.333,-3.235,-3.356,111080.25,600048
46,2006-10-11,-3.35,-3.338,-3.327,-3.369,54067.33,600048
47,2006-10-12,-3.344,-3.393,-3.344,-3.401,54047.65,600048
48,2006-10-13,-3.401,-3.372,-3.358,-3.407,26059.32,600048
49,2006-10-16,-3.385,-3.384,-3.369,-3.42,28254.76,600048
50,2006-10-17,-3.391,-3.359,-3.322,-3.397,36716.18,600048
