,date,open,close,high,low,volume,code
0,2007-02-05,1.309,0.5,1.371,0.447,1696943.07,601166
1,2007-02-06,0.598,1.003,1.124,0.231,672767.7,601166
2,2007-02-07,1.056,1.359,1.68,1.006,800217.61,601166
3,2007-02-08,1.278,1.189,1.322,1.025,341531.41,601166
4,2007-02-09,1.149,1.065,1.241,0.938,215509.95,601166
5,2007-02-12,1.068,1.371,1.387,1.062,386172.48,601166
6,2007-02-13,1.38,1.334,1.556,1.247,226092.33,601166
7,2007-02-14,1.312,1.488,1.556,1.217,267732.14,601166
8,2007-02-15,1.603,1.56,1.665,1.439,274035.67,601166
9,2007-02-16,1.621,2.116,2.323,1.544,512597.64,601166
10,2007-02-26,1.958,1.924,2.045,1.807,270633.14,601166
11,2007-02-27,1.93,1.096,2.048,1.096,304594.2,601166
12,2007-02-28,1.087,1.303,1.356,1.047,198618.15,601166
13,2007-03-01,1.312,0.945,1.334,0.88,199381.9,601166
14,2007-03-02,0.908,1.019,1.124,0.895,86735.36,601166
15,2007-03-05,0.994,0.864,1.118,0.722,145467.91,601166
16,2007-03-06,0.877,1.183,1.356,0.83,229200.11,601166
17,2007-03-07,1.155,1.183,1.325,1.093,197150.33,601166
18,2007-03-08,1.186,1.244,1.291,1.096,114817.84,601166
19,2007-03-09,1.257,1.319,1.417,1.179,131571.71,601166
20,2007-03-12,1.371,1.229,1.402,1.179,91461.84,601166
21,2007-03-13,1.235,1.21,1.309,1.149,86283.3,601166
22,2007-03-14,1.062,0.982,1.077,0.917,105590.7,601166
23,2007-03-15,1.028,1.096,1.142,1.006,81399.1,601166
24,2007-03-16,1.111,0.942,1.179,0.901,122973.61,601166
25,2007-03-19,0.852,1.334,1.541,0.833,282033.65,601166
26,2007-03-20,1.34,1.198,1.353,1.155,130808.82,601166
27,2007-03-21,1.272,1.303,1.396,1.217,114001.63,601166
28,2007-03-22,1.371,1.315,1.417,1.241,182568.98,601166
29,2007-03-23,1.315,1.343,1.421,1.217,113461.07,601166
30,2007-03-26,1.356,1.467,1.51,1.272,148728.0,601166
31,2007-03-27,1.507,1.43,1.507,1.334,147682.88,601166
32,2007-03-28,1.618,1.671,1.773,1.309,350726.64,601166
33,2007-03-29,1.723,2.246,2.474,1.68,753206.71,601166
34,2007-03-30,2.134,2.051,2.19,1.958,232671.44,601166
35,2007-04-02,2.082,2.28,2.385,2.011,172534.72,601166
36,2007-04-03,2.298,2.264,2.437,2.184,156283.75,601166
37,2007-04-04,2.298,2.582,2.793,2.264,312679.16,601166
38,2007-04-05,2.576,2.663,2.762,2.456,153038.89,601166
39,2007-04-06,2.521,2.366,2.663,2.329,152936.32,601166
40,2007-04-09,2.354,2.864,2.963,2.267,213227.35,601166
41,2007-04-10,2.87,3.383,3.414,2.777,256808.54,601166
42,2007-04-11,3.38,3.401,3.843,3.231,184025.53,601166
43,2007-04-12,3.383,3.618,3.905,3.38,106457.4,601166
44,2007-04-13,3.627,3.54,3.905,3.534,117405.91,601166
45,2007-04-16,3.59,3.862,3.905,3.491,123579.02,601166
46,2007-04-17,3.89,3.621,3.951,3.015,127130.9,601166
47,2007-04-18,3.534,3.321,3.559,3.102,105920.43,601166
48,2007-04-19,3.303,2.891,3.503,2.647,199045.65,601166
49,2007-04-20,2.947,3.544,3.72,2.947,118174.68,601166
50,2007-04-23,3.723,3.652,3.812,3.476,121045.42,601166
51,2007-04-24,3.627,3.312,3.627,3.21,140185.92,601166
52,2007-04-25,3.272,3.547,3.877,3.179,183961.6,601166
53,2007-04-26,3.581,3.655,3.67,3.256,124998.8,601166
54,2007-04-27,3.652,3.404,3.68,3.256,74835.11,601166
55,2007-05-08,3.38,3.142,3.503,3.099,398218.92,601166
56,2007-05-09,3.188,3.445,3.531,3.126,344213.14,601166
57,2007-05-10,3.457,3.389,3.917,3.275,275390.44,601166
58,2007-05-11,3.287,3.04,3.287,2.737,453729.73,601166
59,2007-05-14,3.009,2.969,3.278,2.916,386225.68,601166
60,2007-05-15,3.068,2.623,3.102,2.579,319039.98,601166
61,2007-05-16,2.666,2.793,2.802,2.601,229769.68,601166
62,2007-05-17,2.861,2.901,2.932,2.731,221675.98,601166
