,date,open,close,high,low,volume,code
0,2010-07-15,0.776,0.736,0.776,0.726,40397251.8,601288
1,2010-07-16,0.736,0.726,0.736,0.716,13789551.17,601288
2,2010-07-19,0.716,0.746,0.746,0.716,11467383.29,601288
3,2010-07-20,0.736,0.746,0.746,0.726,8442260.57,601288
4,2010-07-21,0.736,0.746,0.746,0.726,6220943.17,601288
5,2010-07-22,0.736,0.766,0.786,0.726,10651225.71,601288
6,2010-07-23,0.766,0.846,0.876,0.766,17927829.46,601288
7,2010-07-26,0.866,0.836,0.876,0.806,7046938.76,601288
8,2010-07-27,0.826,0.816,0.836,0.806,3844839.85,601288
9,2010-07-28,0.816,0.876,0.886,0.816,7969171.38,601288
10,2010-07-29,0.876,0.866,0.916,0.846,8945883.95,601288
11,2010-07-30,0.856,0.826,0.856,0.806,5106245.57,601288
12,2010-08-02,0.816,0.836,0.846,0.806,5215746.32,601288
13,2010-08-03,0.836,0.766,0.846,0.766,5667042.0,601288
14,2010-08-04,0.766,0.766,0.786,0.736,4138634.63,601288
15,2010-08-05,0.766,0.756,0.766,0.746,3355002.2,601288
16,2010-08-06,0.756,0.756,0.766,0.736,3280149.09,601288
17,2010-08-09,0.756,0.756,0.766,0.736,4598875.0,601288
18,2010-08-10,0.746,0.726,0.756,0.716,5066835.48,601288
19,2010-08-11,0.726,0.726,0.736,0.716,4681193.63,601288
20,2010-08-12,0.716,0.716,0.726,0.716,5115667.31,601288
21,2010-08-13,0.716,0.726,0.726,0.716,6615541.25,601288
22,2010-08-16,0.716,0.746,0.756,0.716,3865491.65,601288
23,2010-08-17,0.736,0.726,0.736,0.716,3327280.91,601288
24,2010-08-18,0.726,0.726,0.746,0.716,3959870.72,601288
25,2010-08-19,0.726,0.726,0.736,0.716,4142537.26,601288
26,2010-08-20,0.716,0.716,0.726,0.716,4295121.33,601288
27,2010-08-23,0.716,0.716,0.726,0.716,1466815.17,601288
28,2010-08-24,0.716,0.726,0.736,0.716,2563052.49,601288
29,2010-08-25,0.716,0.716,0.726,0.716,3366945.14,601288
30,2010-08-26,0.716,0.726,0.726,0.716,1727320.0,601288
31,2010-08-27,0.726,0.726,0.726,0.716,1534878.0,601288
32,2010-08-30,0.726,0.736,0.746,0.716,3661373.0,601288
33,2010-08-31,0.736,0.726,0.736,0.716,2288977.0,601288
34,2010-09-01,0.716,0.716,0.736,0.716,3136429.0,601288
35,2010-09-02,0.726,0.726,0.726,0.716,1676088.0,601288
36,2010-09-03,0.726,0.726,0.736,0.716,2825240.0,601288
37,2010-09-06,0.726,0.736,0.736,0.716,2439620.0,601288
38,2010-09-07,0.736,0.726,0.736,0.716,1712861.0,601288
39,2010-09-08,0.716,0.736,0.736,0.716,2253965.0,601288
40,2010-09-09,0.726,0.726,0.736,0.716,2232502.0,601288
41,2010-09-10,0.716,0.726,0.736,0.716,2849695.0,601288
42,2010-09-13,0.726,0.736,0.736,0.716,2973850.0,601288
43,2010-09-14,0.726,0.726,0.736,0.716,2182471.0,601288
44,2010-09-15,0.726,0.716,0.726,0.716,1797044.0,601288
45,2010-09-16,0.716,0.666,0.726,0.646,5433750.0,601288
46,2010-09-17,0.656,0.636,0.666,0.606,2606874.0,601288
47,2010-09-20,0.636,0.636,0.656,0.616,1653958.0,601288
48,2010-09-21,0.636,0.626,0.646,0.626,752218.0,601288
49,2010-09-27,0.636,0.626,0.636,0.606,961037.0,601288
50,2010-09-28,0.616,0.606,0.626,0.606,888310.0,601288
51,2010-09-29,0.606,0.566,0.616,0.556,1394755.0,601288
52,2010-09-30,0.566,0.646,0.676,0.566,2524757.0,601288
53,2010-10-08,0.676,0.706,0.726,0.656,3442118.0,601288
54,2010-10-11,0.706,0.736,0.766,0.686,5725404.0,601288
55,2010-10-12,0.716,0.716,0.726,0.696,2194685.0,601288
56,2010-10-13,0.706,0.746,0.756,0.686,5141264.0,601288
57,2010-10-14,0.766,0.826,0.856,0.766,13279412.0,601288
58,2010-10-15,0.846,0.986,0.986,0.846,16637922.0,601288
59,2010-10-18,1.016,0.986,1.136,0.976,11178601.0,601288
60,2010-10-19,0.936,0.976,0.996,0.876,4996673.0,601288
61,2010-10-20,0.986,0.976,1.056,0.936,6381942.0,601288
62,2010-10-21,0.966,0.876,0.966,0.836,6273212.0,601288
63,2010-10-22,0.866,0.846,0.876,0.806,4060103.0,601288
64,2010-10-25,0.846,0.866,0.876,0.796,4699433.0,601288
65,2010-10-26,0.866,0.796,0.876,0.776,4858251.0,601288
66,2010-10-27,0.786,0.796,0.846,0.766,4591104.0,601288
67,2010-10-28,0.816,0.836,0.846,0.786,3165194.0,601288
68,2010-10-29,0.826,0.796,0.836,0.776,2512908.0,601288
69,2010-11-01,0.786,0.816,0.816,0.776,3553336.0,601288
70,2010-11-02,0.806,0.806,0.826,0.756,3613033.0,601288
71,2010-11-03,0.816,0.856,0.876,0.776,6291963.0,601288
72,2010-11-04,0.856,0.876,0.906,0.846,4349136.0,601288
73,2010-11-05,0.906,0.926,0.936,0.886,5199553.0,601288
74,2010-11-08,0.926,0.926,0.946,0.896,3869731.0,601288
75,2010-11-09,0.926,0.866,0.926,0.826,4494430.0,601288
76,2010-11-10,0.836,0.806,0.836,0.786,4778430.0,601288
77,2010-11-11,0.796,0.836,0.866,0.786,3725950.0,601288
78,2010-11-12,0.806,0.756,0.826,0.716,5373640.0,601288
