,date,open,close,high,low,volume,code
0,2010-02-26,17.162,17.212,18.092,17.152,3109136.36,601688
1,2010-03-01,16.752,17.302,17.512,16.682,955962.04,601688
2,2010-03-02,17.362,16.952,17.422,16.882,595225.82,601688
3,2010-03-03,16.892,17.582,17.822,16.772,834690.99,601688
4,2010-03-04,17.442,16.972,17.582,16.872,513910.6,601688
5,2010-03-05,17.142,18.402,19.052,17.062,1731767.66,601688
6,2010-03-08,18.472,18.582,18.682,18.182,630055.45,601688
7,2010-03-09,18.452,18.532,18.942,18.152,618948.47,601688
8,2010-03-10,18.562,18.452,19.042,18.232,543640.69,601688
9,2010-03-11,18.462,19.072,19.462,18.122,921747.41,601688
10,2010-03-12,18.982,18.652,19.202,18.562,599722.02,601688
11,2010-03-15,18.502,18.562,18.752,18.172,347198.42,601688
12,2010-03-16,18.322,18.472,18.632,18.152,430345.58,601688
13,2010-03-17,18.492,18.802,18.822,18.212,514252.25,601688
14,2010-03-18,18.742,18.452,18.832,18.302,413881.7,601688
15,2010-03-19,18.452,18.462,18.582,18.232,287322.02,601688
16,2010-03-22,18.522,18.022,18.522,18.002,511842.86,601688
17,2010-03-23,18.002,17.872,18.192,17.792,243088.09,601688
18,2010-03-24,17.902,17.942,18.092,17.842,188093.21,601688
19,2010-03-25,17.922,17.512,17.992,17.452,262967.0,601688
20,2010-03-26,17.472,17.832,18.032,17.472,215197.86,601688
21,2010-03-29,17.842,18.232,18.372,17.812,361781.59,601688
22,2010-03-30,18.212,18.022,18.212,17.832,263134.92,601688
23,2010-03-31,18.122,17.772,18.152,17.652,234765.54,601688
24,2010-04-01,17.752,18.052,18.102,17.662,275382.02,601688
25,2010-04-02,18.112,17.952,18.132,17.852,200846.18,601688
26,2010-04-06,18.002,17.992,18.202,17.852,203143.94,601688
27,2010-04-07,17.952,17.732,17.952,17.632,196404.22,601688
28,2010-04-08,17.692,17.512,17.872,17.502,229158.81,601688
29,2010-04-09,17.552,17.652,17.722,17.512,161549.09,601688
30,2010-04-12,17.662,17.352,17.702,17.252,219429.22,601688
31,2010-04-13,17.352,17.862,17.972,17.302,326116.88,601688
32,2010-04-14,17.752,17.612,17.832,17.492,150943.91,601688
33,2010-04-15,17.652,17.722,17.962,17.562,241546.52,601688
34,2010-04-16,17.702,17.302,17.722,17.232,195565.07,601688
35,2010-04-19,17.102,16.172,17.102,16.162,317258.3,601688
36,2010-04-20,16.232,15.912,16.372,15.672,204659.45,601688
37,2010-04-21,15.922,16.092,16.132,15.712,196403.76,601688
38,2010-04-22,15.952,15.482,15.962,15.402,275130.12,601688
39,2010-04-23,15.502,15.512,15.642,15.402,160649.02,601688
40,2010-04-26,15.602,15.172,15.702,15.142,175293.18,601688
41,2010-04-27,15.152,14.522,15.152,14.302,190971.01,601688
42,2010-04-28,14.332,14.482,14.612,14.102,135650.3,601688
43,2010-04-29,14.502,14.162,14.662,14.152,124246.8,601688
44,2010-04-30,14.202,14.612,14.622,14.052,191078.01,601688
45,2010-05-04,14.252,13.952,14.482,13.792,179941.08,601688
46,2010-05-05,13.742,14.122,14.172,13.372,222343.61,601688
47,2010-05-06,13.902,12.932,13.972,12.862,212279.3,601688
48,2010-05-10,12.812,12.932,13.122,12.352,215242.51,601688
49,2010-05-11,13.332,12.292,13.332,12.232,192086.42,601688
50,2010-05-12,12.152,12.522,12.632,11.952,207367.76,601688
51,2010-05-13,12.392,12.692,12.722,12.312,194828.65,601688
52,2010-05-14,12.522,12.312,12.522,12.202,163318.77,601688
53,2010-05-17,12.102,11.062,12.102,11.052,237652.2,601688
