,date,open,close,high,low,volume,code
0,2015-06-26,20.34,25.07,25.07,20.34,20680.0,601211
1,2015-06-29,27.91,27.91,27.91,25.87,3148229.0,601211
2,2015-06-30,27.37,31.03,31.03,25.87,5211003.0,601211
3,2015-07-01,32.69,31.51,33.99,30.72,5293590.0,601211
4,2015-07-02,32.49,28.11,32.57,28.04,3553934.0,601211
5,2015-07-03,26.7,26.29,29.99,25.0,3310843.0,601211
6,2015-07-06,29.25,28.64,29.25,26.49,4294130.0,601211
7,2015-07-07,26.69,25.45,27.59,25.45,2815863.0,601211
8,2015-07-08,22.57,22.57,22.57,22.57,423570.0,601211
9,2015-07-09,19.98,25.16,25.16,19.98,3889723.0,601211
10,2015-07-10,25.19,28.01,28.01,25.16,3679482.0,601211
11,2015-07-13,28.19,29.51,30.67,27.07,4489244.0,601211
12,2015-07-14,28.04,27.07,28.94,26.64,3427756.0,601211
13,2015-07-15,26.25,24.03,27.07,24.03,2456028.0,601211
14,2015-07-16,23.24,24.33,25.44,22.39,1680207.0,601211
15,2015-07-17,24.34,26.05,26.57,24.02,1940514.0,601211
16,2015-07-20,25.69,25.06,25.95,24.69,1694538.0,601211
17,2015-07-21,24.58,25.4,26.27,24.2,1750595.0,601211
18,2015-07-22,25.47,25.33,26.19,25.18,1471207.0,601211
19,2015-07-23,25.37,26.28,26.67,25.2,2149727.0,601211
20,2015-07-24,26.47,25.1,26.55,24.86,1853256.0,601211
21,2015-07-27,24.19,22.26,24.66,22.26,1703243.0,601211
22,2015-07-28,20.93,24.41,24.82,20.17,3160813.0,601211
23,2015-07-29,24.19,24.38,24.46,22.89,1287073.0,601211
24,2015-07-30,23.79,23.35,24.8,23.19,1278255.0,601211
25,2015-07-31,22.87,23.07,23.82,22.49,854186.0,601211
26,2015-08-03,22.64,22.91,23.14,21.87,788053.0,601211
27,2015-08-04,22.91,23.81,23.96,22.6,1072860.0,601211
28,2015-08-05,23.49,22.91,23.69,22.87,731822.0,601211
29,2015-08-06,22.47,22.46,23.24,22.27,506076.0,601211
30,2015-08-07,22.45,22.78,23.18,22.45,732215.0,601211
31,2015-08-10,22.9,24.23,24.77,22.57,1953645.0,601211
32,2015-08-11,23.88,23.68,24.33,23.59,1251656.0,601211
33,2015-08-12,23.47,23.56,24.42,23.34,999973.0,601211
34,2015-08-13,23.56,23.74,23.99,23.07,800471.0,601211
35,2015-08-14,23.92,23.77,24.15,23.6,941699.0,601211
36,2015-08-17,23.67,23.12,23.75,22.71,872548.0,601211
37,2015-08-18,23.27,21.25,24.19,20.79,1454926.0,601211
38,2015-08-19,20.78,21.76,21.79,20.38,987391.0,601211
39,2015-08-20,21.49,20.77,21.59,20.69,641178.0,601211
40,2015-08-21,20.41,19.85,20.73,19.69,773309.0,601211
41,2015-08-24,18.7,17.53,19.18,17.53,1064874.0,601211
42,2015-08-25,15.94,15.45,16.86,15.45,1323664.0,601211
43,2015-08-26,15.97,15.64,16.94,14.89,1311746.0,601211
44,2015-08-27,16.2,16.93,16.98,15.49,1129913.0,601211
45,2015-08-28,16.99,17.83,17.96,16.59,1386219.0,601211
46,2015-08-31,17.69,16.68,17.69,16.39,1038701.0,601211
47,2015-09-01,16.59,16.36,17.58,15.45,875717.0,601211
48,2015-09-02,15.57,15.4,16.77,15.19,792359.0,601211
49,2015-09-07,15.71,15.63,16.41,15.49,723747.0,601211
50,2015-09-08,15.59,16.67,16.77,15.45,725148.0,601211
51,2015-09-09,16.68,17.2,17.66,16.51,1316100.0,601211
52,2015-09-10,16.82,16.51,16.96,16.4,668064.0,601211
53,2015-09-11,16.48,16.35,16.75,16.17,455604.0,601211
54,2015-09-14,16.46,14.94,16.47,14.69,824263.0,601211
55,2015-09-15,14.69,14.24,15.15,14.19,574179.0,601211
56,2015-09-16,14.3,15.67,15.82,14.14,778979.0,601211
57,2015-09-17,15.34,15.12,15.99,15.04,867853.0,601211
58,2015-09-18,15.34,15.22,15.45,14.96,377158.0,601211
59,2015-09-21,14.79,15.58,15.65,14.69,478965.0,601211
60,2015-09-22,15.89,16.71,16.94,15.73,1382276.0,601211
61,2015-09-23,16.23,15.83,16.5,15.74,805601.0,601211
62,2015-09-24,15.95,15.74,16.05,15.57,605867.0,601211
63,2015-09-25,15.57,15.09,15.78,14.96,467312.0,601211
64,2015-09-28,15.12,15.45,15.48,14.8,319677.0,601211
65,2015-09-29,15.06,15.2,15.74,14.82,383401.0,601211
66,2015-09-30,15.24,15.29,15.68,15.17,346370.0,601211
67,2015-10-08,16.29,15.91,16.31,15.86,661363.0,601211
68,2015-10-09,15.91,16.37,16.65,15.87,706702.0,601211
69,2015-10-12,16.49,17.28,17.65,16.27,1010420.0,601211
70,2015-10-13,17.0,16.98,17.17,16.71,560741.0,601211
71,2015-10-14,16.84,16.71,17.28,16.7,608970.0,601211
72,2015-10-15,16.64,17.31,17.33,16.6,688278.0,601211
73,2015-10-16,17.57,17.73,17.93,17.27,1032582.0,601211
74,2015-10-19,17.79,18.31,18.94,17.79,1338888.0,601211
75,2015-10-20,18.27,18.4,18.45,17.74,710696.0,601211
76,2015-10-21,18.48,16.99,18.59,16.76,925661.0,601211
77,2015-10-22,16.99,17.37,17.4,16.72,508966.0,601211
78,2015-10-23,17.63,18.07,18.14,17.29,639118.0,601211
79,2015-10-26,18.69,18.44,18.99,18.2,967251.0,601211
80,2015-10-27,17.84,18.37,18.47,17.49,532821.0,601211
81,2015-10-28,18.09,17.65,18.47,17.61,435811.0,601211
82,2015-10-29,17.64,17.6,17.89,17.38,313022.0,601211
83,2015-10-30,17.71,18.09,18.67,17.51,611477.0,601211
84,2015-11-02,17.69,17.58,18.22,17.54,440980.0,601211
85,2015-11-03,17.58,17.61,17.86,17.45,290414.0,601211
86,2015-11-04,17.73,19.69,19.69,17.66,1438685.0,601211
87,2015-11-05,20.3,20.98,21.98,20.29,3247350.0,601211
88,2015-11-06,20.59,22.6,23.06,20.3,2352662.0,601211
89,2015-11-09,22.69,22.0,23.56,21.79,2228331.0,601211
90,2015-11-10,21.64,22.21,23.3,21.5,1787135.0,601211
91,2015-11-11,21.8,22.21,22.74,21.3,1253916.0,601211
92,2015-11-12,22.37,21.5,22.37,21.33,938653.0,601211
93,2015-11-13,21.05,21.51,22.03,20.97,972826.0,601211
94,2015-11-16,20.69,21.06,21.1,20.49,808140.0,601211
95,2015-11-17,21.49,21.54,23.17,21.4,1590680.0,601211
96,2015-11-18,21.64,20.85,22.24,20.68,940970.0,601211
97,2015-11-19,20.94,21.17,21.21,20.58,608250.0,601211
98,2015-11-20,21.33,21.38,21.99,21.13,749970.0,601211
99,2015-11-23,21.13,20.74,21.69,20.65,821960.0,601211
100,2015-11-24,20.41,20.74,21.14,19.94,827135.0,601211
101,2015-11-25,20.48,20.78,20.81,20.32,590383.0,601211
102,2015-11-26,20.89,20.82,21.48,20.68,663181.0,601211
103,2015-11-27,20.39,18.9,20.56,18.67,1062737.0,601211
104,2015-11-30,19.1,18.82,19.24,18.01,682038.0,601211
105,2015-12-01,18.83,19.05,19.29,18.56,461138.0,601211
106,2015-12-02,19.12,20.17,20.28,18.79,746021.0,601211
107,2015-12-03,19.91,20.14,20.63,19.74,596645.0,601211
108,2015-12-04,19.9,19.64,20.05,19.5,412900.0,601211
109,2015-12-07,19.93,20.03,20.29,19.71,420538.0,601211
110,2015-12-08,19.79,19.51,20.14,19.49,353068.0,601211
111,2015-12-09,19.4,19.75,20.03,19.33,322815.0,601211
112,2015-12-10,19.83,19.99,20.94,19.83,715991.0,601211
113,2015-12-11,19.79,21.13,21.57,19.57,1292003.0,601211
114,2015-12-14,20.81,23.02,23.29,20.81,1436510.0,601211
115,2015-12-15,22.79,21.81,22.79,21.59,1090627.0,601211
116,2015-12-16,22.04,21.93,22.39,21.6,608477.0,601211
117,2015-12-17,22.13,22.31,23.01,21.93,888446.0,601211
118,2015-12-18,22.13,22.1,22.36,21.74,612608.0,601211
119,2015-12-21,21.89,22.2,22.77,21.85,668828.0,601211
120,2015-12-22,22.21,22.32,22.49,22.07,560226.0,601211
121,2015-12-23,22.34,22.42,23.43,22.19,1307993.0,601211
122,2015-12-24,22.04,21.36,22.09,21.09,720626.0,601211
123,2015-12-25,21.37,21.43,21.56,21.22,293102.0,601211
124,2015-12-28,21.58,20.55,21.75,20.49,524181.0,601211
125,2015-12-29,20.51,20.79,20.94,20.51,331190.0,601211
126,2015-12-30,20.89,20.88,20.95,20.58,325624.0,601211
127,2015-12-31,20.82,20.69,21.07,20.63,283278.0,601211
128,2016-01-04,20.55,18.68,20.74,18.58,343329.0,601211
129,2016-01-05,18.09,18.57,18.99,17.8,538712.0,601211
130,2016-01-06,18.67,19.08,19.23,18.47,363633.0,601211
131,2016-01-07,18.67,17.11,18.67,16.94,94785.0,601211
132,2016-01-08,17.39,17.83,18.44,16.82,612328.0,601211
133,2016-01-11,17.24,16.39,17.57,16.24,492065.0,601211
134,2016-01-12,16.69,16.63,17.13,16.39,369809.0,601211
135,2016-01-13,16.89,16.46,17.03,16.39,349519.0,601211
136,2016-01-14,15.9,16.95,17.05,15.8,345906.0,601211
137,2016-01-15,16.81,16.1,16.89,15.99,348440.0,601211
138,2016-01-18,15.69,16.11,16.44,15.6,224122.0,601211
139,2016-01-19,16.14,16.65,16.79,15.84,382112.0,601211
140,2016-01-20,16.64,16.43,16.75,16.24,292061.0,601211
141,2016-01-21,16.12,15.68,16.64,15.64,288008.0,601211
142,2016-01-22,15.94,15.83,16.04,15.39,250335.0,601211
143,2016-01-25,15.92,15.91,16.13,15.8,177203.0,601211
144,2016-01-26,15.71,14.0,15.78,14.0,466167.0,601211
145,2016-01-27,14.09,13.63,14.24,13.04,676077.0,601211
146,2016-01-28,13.45,13.33,14.06,13.27,443866.0,601211
147,2016-01-29,13.39,14.17,14.47,13.39,593353.0,601211
148,2016-02-01,13.95,13.85,14.17,13.59,273381.0,601211
149,2016-02-02,13.85,14.27,14.44,13.85,330571.0,601211
150,2016-02-03,14.02,14.17,14.24,13.92,203568.0,601211
151,2016-02-04,14.26,14.48,14.64,14.24,270517.0,601211
152,2016-02-05,14.19,13.95,14.27,13.59,377701.0,601211
153,2016-02-15,13.37,13.72,13.82,13.24,271888.0,601211
154,2016-02-16,13.8,14.38,14.45,13.8,408183.0,601211
155,2016-02-17,14.3,14.41,14.45,14.16,440654.0,601211
156,2016-02-18,14.5,14.36,14.85,14.34,390407.0,601211
157,2016-02-19,14.3,14.33,14.44,14.18,235325.0,601211
158,2016-02-22,14.54,15.09,15.26,14.52,608012.0,601211
159,2016-02-23,14.99,14.78,15.11,14.49,344265.0,601211
160,2016-02-24,14.7,14.91,14.92,14.47,256835.0,601211
161,2016-02-25,14.93,13.54,14.93,13.29,414232.0,601211
162,2016-02-26,13.78,13.69,13.88,13.3,263969.0,601211
163,2016-02-29,13.57,13.13,13.58,12.76,407678.0,601211
164,2016-03-01,13.21,13.7,14.29,13.09,401717.0,601211
165,2016-03-02,13.83,14.52,14.69,13.61,572713.0,601211
166,2016-03-03,14.56,14.42,14.64,14.29,428554.0,601211
167,2016-03-04,14.48,14.6,14.67,14.09,562113.0,601211
168,2016-03-07,14.86,14.81,15.09,14.66,397178.0,601211
169,2016-03-08,14.73,14.79,14.83,14.04,377997.0,601211
170,2016-03-09,14.44,14.56,14.59,14.17,312373.0,601211
171,2016-03-10,14.44,14.06,14.58,13.99,210804.0,601211
172,2016-03-11,13.93,14.23,14.33,13.79,312525.0,601211
173,2016-03-14,14.39,14.63,15.04,14.3,472740.0,601211
174,2016-03-15,14.55,14.47,14.64,14.26,277434.0,601211
175,2016-03-16,14.44,14.53,14.72,14.38,389488.0,601211
176,2016-03-17,14.59,14.99,15.22,14.53,537586.0,601211
177,2016-03-18,15.08,15.53,15.74,14.98,695811.0,601211
178,2016-03-21,16.14,17.4,17.4,16.07,1594448.0,601211
179,2016-03-22,16.89,16.63,17.18,16.52,803865.0,601211
180,2016-03-23,16.49,16.77,16.94,16.19,533305.0,601211
181,2016-03-24,16.44,15.9,16.45,15.88,482882.0,601211
182,2016-03-25,15.82,16.15,16.22,15.81,300555.0,601211
183,2016-03-28,16.14,15.84,16.4,15.82,288240.0,601211
184,2016-03-29,15.92,15.64,16.05,15.49,287981.0,601211
185,2016-03-30,15.89,16.23,16.27,15.89,358140.0,601211
186,2016-03-31,16.31,16.5,16.92,16.19,486404.0,601211
187,2016-04-01,16.38,16.37,16.63,16.0,276768.0,601211
188,2016-04-05,16.24,16.59,16.81,16.24,370689.0,601211
189,2016-04-06,16.44,16.44,16.64,16.3,260600.0,601211
190,2016-04-07,16.54,15.98,16.61,15.96,259942.0,601211
191,2016-04-08,15.79,15.67,15.91,15.51,245585.0,601211
192,2016-04-11,16.32,16.31,16.69,16.25,482939.0,601211
193,2016-04-12,16.24,16.18,16.39,15.99,224590.0,601211
194,2016-04-13,16.33,16.73,17.21,16.32,772959.0,601211
195,2016-04-14,16.86,16.79,16.9,16.6,235101.0,601211
196,2016-04-15,16.84,16.64,16.84,16.55,193117.0,601211
197,2016-04-18,16.47,16.1,16.48,16.05,236422.0,601211
198,2016-04-19,16.3,16.18,16.33,16.04,151307.0,601211
199,2016-04-20,16.22,15.85,16.26,15.29,418421.0,601211
200,2016-04-21,15.67,15.57,15.86,15.54,182611.0,601211
201,2016-04-22,15.45,15.7,15.77,15.38,141687.0,601211
202,2016-04-25,15.71,15.49,15.71,15.25,139725.0,601211
203,2016-04-26,15.54,15.66,15.73,15.38,134993.0,601211
204,2016-04-27,15.55,15.36,15.72,15.3,175951.0,601211
205,2016-04-28,15.45,15.1,15.47,15.0,222807.0,601211
206,2016-04-29,15.04,15.07,15.21,14.97,146016.0,601211
207,2016-05-03,15.11,15.42,15.57,15.01,343177.0,601211
208,2016-05-04,15.31,15.3,15.41,15.21,210853.0,601211
209,2016-05-05,15.29,15.3,15.35,15.21,153426.0,601211
210,2016-05-06,15.37,14.78,15.43,14.77,311583.0,601211
211,2016-05-09,14.62,14.2,14.62,14.13,258682.0,601211
212,2016-05-10,14.17,14.06,14.29,13.97,196026.0,601211
213,2016-05-11,14.23,14.08,14.24,14.01,151348.0,601211
214,2016-05-12,13.99,14.08,14.14,13.81,189597.0,601211
215,2016-05-13,14.07,13.96,14.24,13.87,133521.0,601211
216,2016-05-16,13.84,14.09,14.1,13.82,111139.0,601211
217,2016-05-17,14.14,14.19,14.35,14.01,151652.0,601211
218,2016-05-18,14.13,14.12,14.16,13.89,206362.0,601211
219,2016-05-19,14.03,14.03,14.18,13.96,121042.0,601211
220,2016-05-20,13.9,14.16,14.16,13.87,128927.0,601211
221,2016-05-23,14.16,14.2,14.35,14.12,160297.0,601211
222,2016-05-24,14.19,14.0,14.19,13.92,129318.0,601211
223,2016-05-25,14.08,14.01,14.24,13.99,120674.0,601211
224,2016-05-26,14.04,14.08,14.12,13.86,128715.0,601211
225,2016-05-27,14.01,14.02,14.15,13.96,99223.0,601211
226,2016-05-30,13.98,14.12,14.17,13.89,114444.0,601211
227,2016-05-31,14.09,15.18,15.24,14.09,616128.0,601211
228,2016-06-01,15.19,15.05,15.25,14.93,409383.0,601211
229,2016-06-02,15.05,15.06,15.12,14.89,190118.0,601211
230,2016-06-03,15.07,15.11,15.24,14.94,250302.0,601211
231,2016-06-06,15.11,15.04,15.15,14.98,143982.0,601211
232,2016-06-07,15.1,15.13,15.21,15.01,195240.0,601211
233,2016-06-08,15.21,15.04,15.21,14.95,175985.0,601211
234,2016-06-13,14.93,14.2,14.93,14.16,248530.0,601211
235,2016-06-14,14.07,14.57,14.61,14.07,149571.0,601211
236,2016-06-15,14.18,14.73,14.97,14.13,237471.0,601211
237,2016-06-16,14.63,14.37,14.68,14.31,195084.0,601211
238,2016-06-17,14.27,14.61,14.73,14.27,230650.0,601211
239,2016-06-20,14.6,14.64,14.69,14.37,146154.0,601211
240,2016-06-21,14.65,14.72,15.43,14.65,329152.0,601211
241,2016-06-22,14.59,14.95,14.98,14.52,204702.0,601211
242,2016-06-23,14.91,14.79,14.97,14.6,174599.0,601211
243,2016-06-24,14.79,14.51,15.04,14.2,256511.0,601211
244,2016-06-27,14.4,14.56,14.58,14.36,687246.0,601211
245,2016-06-28,14.44,14.61,14.81,14.27,692847.0,601211
246,2016-06-29,14.66,14.67,14.88,14.62,571516.0,601211
247,2016-06-30,14.73,15.1,15.15,14.67,796796.0,601211
248,2016-07-01,15.12,14.99,15.21,14.92,408530.0,601211
249,2016-07-04,14.87,15.44,15.68,14.83,742072.0,601211
250,2016-07-05,15.46,15.4,15.51,15.21,385508.0,601211
251,2016-07-06,15.33,15.43,15.55,15.21,331701.0,601211
252,2016-07-07,15.4,15.37,15.49,15.18,339522.0,601211
253,2016-07-08,15.33,15.38,15.5,15.27,285179.0,601211
254,2016-07-11,15.41,15.38,15.71,15.35,398481.0,601211
255,2016-07-12,15.36,15.77,15.78,15.33,636941.0,601211
256,2016-07-13,15.82,15.87,16.16,15.73,614541.0,601211
257,2016-07-14,15.75,15.77,15.89,15.63,279401.0,601211
258,2016-07-15,15.79,15.64,15.86,15.55,283491.0,601211
259,2016-07-18,15.54,15.47,15.71,15.42,286684.0,601211
260,2016-07-19,15.5,15.57,15.6,15.36,264686.0,601211
261,2016-07-20,15.51,15.5,15.66,15.48,194714.0,601211
262,2016-07-21,15.48,15.59,15.72,15.48,291831.0,601211
263,2016-07-22,15.56,15.39,15.59,15.36,234682.0,601211
264,2016-07-25,15.36,15.44,15.52,15.33,167112.0,601211
265,2016-07-26,15.43,15.63,15.65,15.36,243151.0,601211
266,2016-07-27,15.61,15.13,15.63,14.77,601930.0,601211
267,2016-07-28,15.02,15.08,15.19,14.85,315016.0,601211
268,2016-07-29,15.08,15.0,15.12,14.93,149481.0,601211
269,2016-08-01,14.99,14.8,15.05,14.67,183998.0,601211
270,2016-08-02,14.82,14.91,14.94,14.78,116040.0,601211
271,2016-08-03,14.9,14.9,14.93,14.82,115670.0,601211
272,2016-08-04,14.87,14.89,14.92,14.79,143419.0,601211
273,2016-08-05,14.87,14.95,15.09,14.83,228433.0,601211
274,2016-08-08,14.94,15.07,15.07,14.83,197050.0,601211
275,2016-08-09,15.03,15.19,15.23,15.02,198992.0,601211
276,2016-08-10,15.19,15.09,15.26,15.08,180427.0,601211
277,2016-08-11,15.14,15.14,15.4,15.09,341153.0,601211
278,2016-08-12,15.13,15.72,15.76,15.13,570495.0,601211
279,2016-08-15,15.8,16.45,17.19,15.76,1443351.0,601211
280,2016-08-16,16.36,16.16,16.64,16.12,594231.0,601211
281,2016-08-17,16.26,16.07,16.39,15.92,464872.0,601211
282,2016-08-18,15.99,15.91,16.17,15.81,428810.0,601211
283,2016-08-19,15.91,16.37,16.42,15.84,562331.0,601211
284,2016-08-22,16.32,15.89,16.46,15.87,445737.0,601211
285,2016-08-23,15.81,15.72,16.05,15.61,333859.0,601211
286,2016-08-24,15.76,15.72,15.86,15.61,215060.0,601211
287,2016-08-25,15.64,15.8,15.85,15.58,306928.0,601211
288,2016-08-26,15.83,15.72,15.91,15.68,187347.0,601211
289,2016-08-29,15.65,15.71,15.77,15.63,172820.0,601211
290,2016-08-30,15.77,15.77,15.89,15.69,236759.0,601211
291,2016-08-31,15.77,15.9,16.0,15.69,243079.0,601211
292,2016-09-01,15.82,15.65,15.92,15.62,242728.0,601211
