,date,open,close,high,low,volume,code
0,2000-01-04,-1.992,-1.892,-1.878,-2.023,7931.1,600196
1,2000-01-05,-1.889,-1.874,-1.831,-1.939,7988.0,600196
2,2000-01-06,-1.59,-1.715,-1.59,-1.844,10464.97,600196
3,2000-01-07,-1.672,-1.555,-1.554,-1.734,28946.34,600196
4,2000-01-10,-1.537,-1.494,-1.388,-1.57,23149.43,600196
5,2000-01-11,-1.52,-1.704,-1.507,-1.734,9177.05,600196
6,2000-01-12,-1.727,-1.803,-1.689,-1.825,7219.48,600196
7,2000-01-13,-1.825,-1.841,-1.781,-1.856,3784.8,600196
8,2000-01-14,-1.818,-1.841,-1.798,-1.889,3081.75,600196
9,2000-01-17,-1.848,-1.81,-1.795,-1.886,2608.55,600196
10,2000-01-18,-1.795,-1.853,-1.793,-1.857,2186.38,600196
11,2000-01-19,-1.848,-1.854,-1.795,-1.886,1978.74,600196
12,2000-01-20,-1.856,-1.727,-1.692,-1.856,5562.45,600196
13,2000-01-21,-1.701,-1.707,-1.62,-1.727,8552.0,600196
14,2000-01-24,-1.719,-1.522,-1.499,-1.737,14219.22,600196
15,2000-01-25,-1.505,-1.637,-1.423,-1.645,10534.08,600196
16,2000-01-26,-1.628,-1.62,-1.552,-1.674,4656.75,600196
17,2000-01-27,-1.37,-1.505,-1.355,-1.537,15555.48,600196
18,2000-01-28,-1.4,-1.449,-1.385,-1.504,17530.46,600196
19,2000-02-14,-1.362,-1.123,-1.123,-1.388,35959.51,600196
20,2000-02-15,-1.066,-0.945,-0.764,-1.127,102385.15,600196
21,2000-02-16,-0.945,-0.872,-0.572,-1.044,31684.62,600196
22,2000-02-17,-0.763,-1.226,-0.588,-1.256,63806.81,600196
23,2000-02-18,-1.315,-1.089,-0.991,-1.552,43639.89,600196
24,2000-02-21,-1.089,-1.173,-0.96,-1.271,25824.42,600196
25,2000-02-22,-1.161,-0.819,-0.819,-1.161,109454.49,600196
26,2000-02-23,-0.916,-1.082,-0.916,-1.142,51614.74,600196
27,2000-02-24,-1.066,-0.719,-0.719,-1.082,103628.31,600196
28,2000-02-25,-0.657,-0.467,-0.399,-0.714,126767.09,600196
29,2000-02-28,-0.383,-0.194,-0.159,-0.458,112806.08,600196
30,2000-02-29,-0.141,-0.491,-0.027,-0.581,100229.16,600196
31,2000-03-01,-0.52,-0.672,-0.49,-0.763,45661.7,600196
32,2000-03-02,-0.717,-0.569,-0.49,-0.763,32018.93,600196
33,2000-03-03,-0.538,-0.599,-0.52,-0.657,21998.92,600196
34,2000-03-06,-0.596,-0.93,-0.55,-0.93,38595.04,600196
35,2000-03-07,-0.989,-0.869,-0.763,-0.991,15913.72,600196
36,2000-03-08,-0.869,-0.604,-0.601,-0.907,25486.15,600196
37,2000-03-09,-0.611,-0.611,-0.513,-0.686,19568.61,600196
38,2000-03-10,-0.611,-0.581,-0.49,-0.658,21931.75,600196
39,2000-03-13,-0.584,-0.459,-0.356,-0.626,22987.05,600196
40,2000-03-14,-0.535,-0.588,-0.534,-0.733,21616.18,600196
41,2000-03-15,-0.642,-0.626,-0.478,-0.649,9197.75,600196
42,2000-03-16,-0.69,-0.849,-0.689,-0.937,15606.64,600196
43,2000-03-17,-0.849,-0.657,-0.611,-0.849,15232.1,600196
44,2000-03-20,-0.733,-0.475,-0.475,-0.763,14196.33,600196
45,2000-03-21,-0.487,-0.343,-0.201,-0.534,47532.68,600196
46,2000-03-22,-0.444,-0.452,-0.277,-0.462,18606.67,600196
47,2000-03-24,-0.248,-0.493,-0.248,-0.538,17596.81,600196
48,2000-03-27,-0.478,-0.459,-0.353,-0.511,9547.1,600196
49,2000-03-28,-0.459,-0.564,-0.459,-0.593,11978.55,600196
50,2000-03-29,-0.543,-0.567,-0.52,-0.613,9247.08,600196
51,2000-03-30,-0.528,-0.497,-0.49,-0.566,9941.97,600196
52,2000-03-31,-0.467,-0.593,-0.433,-0.637,14913.05,600196
53,2000-04-03,-0.598,-0.538,-0.524,-0.649,8098.64,600196
54,2000-04-04,-0.575,-0.611,-0.542,-0.638,7621.29,600196
55,2000-04-05,-0.629,-0.622,-0.575,-0.737,6549.8,600196
56,2000-04-06,-0.622,-0.573,-0.547,-0.682,8828.25,600196
57,2000-04-07,-0.557,-0.593,-0.526,-0.629,4249.84,600196
58,2000-04-10,-0.589,-0.589,-0.542,-0.628,5200.61,600196
59,2000-04-11,-0.589,-0.542,-0.538,-0.664,7909.91,600196
60,2000-04-12,-0.58,-0.673,-0.577,-0.684,8647.85,600196
61,2000-04-13,-0.688,-0.675,-0.635,-0.7,7340.33,600196
62,2000-04-14,-0.666,-0.684,-0.633,-0.688,4739.0,600196
63,2000-04-17,-0.711,-0.866,-0.711,-0.903,11639.7,600196
64,2000-04-18,-0.793,-0.828,-0.753,-0.886,4224.56,600196
65,2000-04-19,-0.819,-0.773,-0.629,-0.819,7953.83,600196
66,2000-04-20,-0.728,-0.693,-0.671,-0.742,4699.21,600196
67,2000-04-21,-0.702,-0.699,-0.611,-0.711,9193.85,600196
68,2000-04-24,-0.684,-0.793,-0.648,-0.811,3721.53,600196
69,2000-04-25,-0.74,-0.799,-0.724,-0.839,2646.0,600196
70,2000-04-26,-0.793,-0.83,-0.784,-0.848,4357.62,600196
71,2000-04-27,-0.83,-0.811,-0.73,-0.83,3890.68,600196
72,2000-04-28,-0.777,-0.644,-0.638,-0.793,8859.89,600196
