,date,open,close,high,low,volume,code
0,2003-08-28,-0.433,-0.407,-0.394,-0.44,364050.75,600547
1,2003-08-29,-0.414,-0.412,-0.406,-0.426,129690.91,600547
2,2003-09-01,-0.408,-0.358,-0.358,-0.41,181385.34,600547
3,2003-09-02,-0.347,-0.334,-0.302,-0.352,288478.47,600547
4,2003-09-03,-0.337,-0.331,-0.326,-0.344,119390.49,600547
5,2003-09-04,-0.331,-0.339,-0.32,-0.341,104043.95,600547
6,2003-09-05,-0.338,-0.353,-0.326,-0.356,100681.51,600547
7,2003-09-08,-0.356,-0.349,-0.339,-0.356,43939.86,600547
8,2003-09-09,-0.349,-0.36,-0.346,-0.37,54758.32,600547
9,2003-09-10,-0.358,-0.335,-0.324,-0.358,89397.79,600547
10,2003-09-11,-0.337,-0.336,-0.329,-0.342,28477.48,600547
11,2003-09-12,-0.335,-0.335,-0.334,-0.35,32054.7,600547
12,2003-09-15,-0.34,-0.345,-0.334,-0.354,30923.17,600547
13,2003-09-16,-0.345,-0.334,-0.333,-0.349,32252.53,600547
14,2003-09-17,-0.334,-0.356,-0.333,-0.36,41155.64,600547
15,2003-09-18,-0.359,-0.356,-0.351,-0.367,23154.5,600547
16,2003-09-19,-0.362,-0.37,-0.355,-0.377,40262.64,600547
17,2003-09-22,-0.364,-0.359,-0.351,-0.369,20894.79,600547
18,2003-09-23,-0.356,-0.345,-0.344,-0.358,21976.5,600547
19,2003-09-24,-0.346,-0.346,-0.343,-0.351,12754.72,600547
20,2003-09-25,-0.348,-0.357,-0.348,-0.359,12206.91,600547
21,2003-09-26,-0.352,-0.32,-0.297,-0.356,136961.96,600547
22,2003-09-29,-0.321,-0.332,-0.313,-0.334,58612.69,600547
23,2003-09-30,-0.326,-0.343,-0.322,-0.381,69257.02,600547
24,2003-10-08,-0.352,-0.339,-0.329,-0.362,26362.13,600547
25,2003-10-09,-0.342,-0.344,-0.335,-0.35,13381.67,600547
26,2003-10-10,-0.349,-0.323,-0.308,-0.356,49539.16,600547
27,2003-10-13,-0.316,-0.322,-0.297,-0.327,43812.59,600547
28,2003-10-14,-0.322,-0.32,-0.313,-0.329,22512.88,600547
29,2003-10-15,-0.322,-0.31,-0.289,-0.324,62059.81,600547
30,2003-10-16,-0.311,-0.299,-0.288,-0.311,56098.18,600547
31,2003-10-17,-0.299,-0.313,-0.295,-0.316,38091.16,600547
32,2003-10-20,-0.313,-0.304,-0.303,-0.321,18413.96,600547
33,2003-10-21,-0.304,-0.299,-0.298,-0.314,17137.34,600547
34,2003-10-22,-0.295,-0.262,-0.24,-0.296,96038.86,600547
35,2003-10-23,-0.263,-0.262,-0.253,-0.27,38623.46,600547
36,2003-10-24,-0.261,-0.281,-0.245,-0.287,55688.65,600547
37,2003-10-27,-0.281,-0.284,-0.271,-0.299,43385.41,600547
38,2003-10-28,-0.288,-0.273,-0.272,-0.297,27141.66,600547
