,date,open,close,high,low,volume,code
0,2000-01-04,-4.437,-4.396,-4.394,-4.455,3908.66,600809
1,2000-01-05,-4.399,-4.361,-4.356,-4.431,8219.02,600809
2,2000-01-06,-4.378,-4.284,-4.284,-4.391,11503.73,600809
3,2000-01-07,-4.275,-4.243,-4.219,-4.275,21411.03,600809
4,2000-01-10,-4.203,-4.088,-4.085,-4.206,40011.93,600809
5,2000-01-11,-4.082,-4.187,-4.071,-4.216,33273.29,600809
6,2000-01-12,-4.19,-4.222,-4.144,-4.243,18244.42,600809
7,2000-01-13,-4.222,-4.243,-4.19,-4.27,8593.09,600809
8,2000-01-14,-4.243,-4.219,-4.19,-4.243,11393.66,600809
9,2000-01-17,-4.216,-4.112,-4.112,-4.222,13519.43,600809
10,2000-01-18,-4.125,-4.141,-4.112,-4.187,14442.39,600809
11,2000-01-19,-4.136,-4.055,-3.977,-4.136,75703.15,600809
12,2000-01-20,-4.109,-4.085,-4.069,-4.149,23193.93,600809
13,2000-01-21,-4.096,-4.147,-4.096,-4.176,26575.37,600809
14,2000-01-24,-4.163,-4.23,-4.163,-4.267,17914.44,600809
15,2000-01-25,-4.243,-4.216,-4.176,-4.249,9854.97,600809
16,2000-01-26,-4.216,-4.222,-4.179,-4.254,8056.91,600809
17,2000-01-27,-4.224,-4.257,-4.224,-4.27,17661.13,600809
18,2000-01-28,-4.265,-4.243,-4.243,-4.337,24781.06,600809
19,2000-02-14,-4.219,-4.096,-4.093,-4.235,26788.36,600809
20,2000-02-15,-4.096,-4.168,-4.034,-4.19,38510.83,600809
21,2000-02-16,-4.19,-4.224,-4.19,-4.254,24174.26,600809
22,2000-02-17,-4.23,-4.173,-4.141,-4.273,36483.33,600809
23,2000-02-18,-4.176,-4.251,-4.163,-4.281,18320.61,600809
24,2000-02-21,-4.238,-4.195,-4.192,-4.273,18961.78,600809
25,2000-02-22,-4.195,-4.224,-4.133,-4.235,24823.95,600809
26,2000-02-23,-4.254,-4.284,-4.195,-4.284,15969.0,600809
27,2000-02-24,-4.27,-4.27,-4.254,-4.308,12711.19,600809
28,2000-02-25,-4.27,-4.292,-4.27,-4.308,11697.52,600809
29,2000-02-28,-4.302,-4.262,-4.254,-4.316,14669.91,600809
30,2000-02-29,-4.259,-4.208,-4.163,-4.297,23233.74,600809
31,2000-03-01,-4.203,-4.214,-4.179,-4.238,18090.27,600809
32,2000-03-02,-4.208,-4.101,-4.066,-4.241,53494.0,600809
33,2000-03-03,-4.088,-4.09,-4.055,-4.16,52315.63,600809
34,2000-03-06,-4.063,-4.214,-4.061,-4.224,23681.96,600809
35,2000-03-07,-4.227,-4.208,-4.203,-4.27,16136.57,600809
36,2000-03-08,-4.19,-4.195,-4.171,-4.222,10958.4,600809
37,2000-03-09,-4.19,-4.23,-4.19,-4.238,10506.19,600809
38,2000-03-10,-4.23,-4.182,-4.176,-4.254,14982.41,600809
39,2000-03-13,-4.19,-4.093,-4.082,-4.19,41758.3,600809
40,2000-03-14,-4.12,-4.182,-4.12,-4.23,23347.12,600809
41,2000-03-15,-4.182,-4.093,-4.074,-4.184,33527.5,600809
42,2000-03-16,-4.096,-4.246,-4.096,-4.254,20437.13,600809
43,2000-03-17,-4.243,-4.216,-4.19,-4.243,12581.42,600809
44,2000-03-20,-4.216,-4.147,-4.114,-4.241,19932.94,600809
45,2000-03-21,-4.139,-4.071,-3.98,-4.163,67583.15,600809
