,date,open,close,high,low,volume,code
0,2018-06-08,15.443,18.753,18.753,15.443,16726.0,601138
1,2018-06-11,20.733,20.733,20.733,20.733,19322.0,601138
2,2018-06-12,22.913,22.913,22.913,22.913,144923.0,601138
3,2018-06-13,23.473,24.643,25.283,22.483,6332171.0,601138
4,2018-06-14,23.433,22.213,23.783,22.073,3477821.0,601138
5,2018-06-15,21.523,21.503,22.053,20.943,2138700.0,601138
6,2018-06-19,20.753,19.243,20.763,19.243,2099677.0,601138
7,2018-06-20,18.723,18.783,19.183,17.933,1982719.0,601138
8,2018-06-21,18.523,17.093,18.703,16.973,1978495.0,601138
9,2018-06-22,16.623,17.643,18.103,16.453,1755750.0,601138
10,2018-06-25,17.543,17.133,17.683,17.053,1154430.0,601138
11,2018-06-26,16.663,17.453,17.583,16.473,1137258.0,601138
12,2018-06-27,17.423,17.193,17.783,17.103,970391.0,601138
13,2018-06-28,17.143,16.813,17.563,16.683,863990.0,601138
14,2018-06-29,16.873,17.363,17.533,16.523,1278003.0,601138
15,2018-07-02,17.123,16.513,17.273,16.023,1218066.0,601138
16,2018-07-03,16.463,16.823,16.893,16.023,897424.0,601138
17,2018-07-04,16.623,16.093,16.793,16.043,807241.0,601138
18,2018-07-05,15.923,15.883,16.423,15.633,911992.0,601138
19,2018-07-06,15.833,16.153,16.603,15.723,1056905.0,601138
20,2018-07-09,16.153,16.393,16.423,16.013,800840.0,601138
21,2018-07-10,16.433,16.273,16.463,16.123,656168.0,601138
22,2018-07-11,15.873,15.573,16.023,15.463,792349.0,601138
23,2018-07-12,15.573,16.883,17.203,15.573,1794765.0,601138
24,2018-07-13,16.623,16.543,16.713,16.403,994408.0,601138
25,2018-07-16,16.543,16.763,17.113,16.483,910022.0,601138
26,2018-07-17,16.763,16.613,16.773,16.363,611768.0,601138
27,2018-07-18,16.613,16.133,16.683,16.103,621400.0,601138
28,2018-07-19,16.103,15.853,16.303,15.793,526952.0,601138
29,2018-07-20,15.833,16.223,16.403,15.653,712704.0,601138
30,2018-07-23,16.033,16.173,16.223,15.963,483685.0,601138
31,2018-07-24,16.153,16.983,17.023,16.123,1250544.0,601138
32,2018-07-25,16.923,16.633,16.933,16.513,859807.0,601138
33,2018-07-26,16.583,16.683,16.973,16.553,665397.0,601138
34,2018-07-27,16.603,16.213,16.603,16.203,545161.0,601138
35,2018-07-30,16.123,16.063,16.303,15.973,367710.0,601138
36,2018-07-31,16.113,16.093,16.193,15.973,291622.0,601138
37,2018-08-01,16.173,15.903,16.333,15.883,452006.0,601138
38,2018-08-02,15.823,15.163,15.853,14.943,689105.0,601138
39,2018-08-03,15.193,14.733,15.263,14.723,518180.0,601138
40,2018-08-06,14.693,14.063,14.773,14.033,491493.0,601138
41,2018-08-07,14.123,14.473,14.493,13.963,452786.0,601138
42,2018-08-08,14.333,13.933,14.393,13.923,466053.0,601138
43,2018-08-09,13.913,14.343,14.503,13.723,618224.0,601138
