,date,open,close,high,low,volume,code
0,2006-10-27,-0.005,-0.12,0.033,-0.139,25825395.62,601398
1,2006-10-30,-0.129,-0.11,-0.082,-0.149,3519210.02,601398
2,2006-10-31,-0.12,-0.101,-0.072,-0.12,2301261.87,601398
3,2006-11-01,-0.101,-0.101,-0.091,-0.12,1328924.01,601398
4,2006-11-02,-0.101,-0.12,-0.101,-0.149,1751554.27,601398
5,2006-11-03,-0.129,-0.043,-0.034,-0.129,4000161.3,601398
6,2006-11-06,-0.072,-0.024,-0.024,-0.082,2099938.01,601398
7,2006-11-07,-0.024,-0.005,0.024,-0.034,2967924.52,601398
8,2006-11-08,-0.005,-0.043,-0.005,-0.053,1518226.99,601398
9,2006-11-09,-0.043,-0.005,-0.005,-0.053,1779482.04,601398
10,2006-11-10,-0.005,0.052,0.11,-0.005,7596902.18,601398
11,2006-11-13,0.043,0.11,0.177,0.033,4633751.5,601398
12,2006-11-14,0.167,0.186,0.206,0.119,4319117.5,601398
13,2006-11-15,0.196,0.234,0.234,0.186,3446056.63,601398
14,2006-11-16,0.282,0.378,0.502,0.253,6877125.8,601398
15,2006-11-17,0.368,0.378,0.426,0.32,3148416.98,601398
16,2006-11-20,0.378,0.493,0.493,0.378,3180494.15,601398
17,2006-11-21,0.483,0.502,0.531,0.435,2330601.14,601398
18,2006-11-22,0.483,0.474,0.521,0.387,2834570.74,601398
19,2006-11-23,0.493,0.541,0.579,0.493,3029435.5,601398
20,2006-11-24,0.493,0.493,0.512,0.435,1892273.37,601398
21,2006-11-27,0.464,0.387,0.474,0.34,3004676.37,601398
22,2006-11-28,0.359,0.33,0.387,0.292,2424363.22,601398
23,2006-11-29,0.253,0.368,0.378,0.234,2443111.48,601398
24,2006-11-30,0.378,0.387,0.407,0.349,2318290.92,601398
25,2006-12-01,0.407,0.34,0.407,0.32,2742034.42,601398
26,2006-12-04,0.34,0.483,0.541,0.301,4106939.28,601398
27,2006-12-05,0.483,0.454,0.55,0.435,2662255.82,601398
28,2006-12-06,0.454,0.416,0.483,0.34,2634847.25,601398
29,2006-12-07,0.416,0.426,0.521,0.387,3368739.97,601398
30,2006-12-08,0.407,0.445,0.541,0.387,3868688.07,601398
31,2006-12-11,0.435,0.646,0.655,0.426,4585764.45,601398
32,2006-12-12,0.665,0.866,0.885,0.646,5430920.5,601398
33,2006-12-13,0.885,0.847,0.943,0.77,2990580.98,601398
34,2006-12-14,0.847,0.828,0.856,0.761,1848425.89,601398
35,2006-12-15,0.847,0.876,0.895,0.818,1733074.88,601398
36,2006-12-18,0.876,1.105,1.115,0.847,2806653.3,601398
37,2006-12-19,1.124,1.268,1.354,1.115,3342214.47,601398
38,2006-12-20,1.23,1.23,1.287,1.153,2071827.38,601398
39,2006-12-21,1.23,1.191,1.316,1.172,1951241.48,601398
40,2006-12-22,1.172,1.277,1.316,1.143,1936034.38,601398
41,2006-12-25,1.335,1.727,1.727,1.335,4413751.54,601398
42,2006-12-26,1.727,2.014,2.187,1.689,5796030.67,601398
43,2006-12-27,1.976,2.177,2.196,1.785,4026595.74,601398
44,2006-12-28,2.168,2.34,2.522,2.101,5162103.84,601398
45,2006-12-29,2.388,2.675,2.828,2.311,6742917.02,601398
46,2007-01-04,2.77,2.531,3.239,2.369,9678349.54,601398
47,2007-01-05,2.359,1.957,2.359,1.957,8087495.94,601398
48,2007-01-08,1.871,2.043,2.053,1.794,6449850.62,601398
49,2007-01-09,2.043,2.273,2.282,1.928,6444563.71,601398
50,2007-01-10,2.474,2.187,2.474,2.101,7824100.9,601398
51,2007-01-11,2.158,2.014,2.158,1.938,5548478.4,601398
52,2007-01-12,1.947,1.842,2.034,1.794,4240717.63,601398
53,2007-01-15,1.833,2.072,2.081,1.804,4007151.66,601398
54,2007-01-16,2.11,2.024,2.168,1.88,4291826.73,601398
55,2007-01-17,2.034,1.947,2.148,1.919,4273977.6,601398
56,2007-01-18,1.909,1.766,1.967,1.632,4778832.39,601398
57,2007-01-19,1.766,1.823,1.842,1.718,3090556.19,601398
58,2007-01-22,1.852,1.986,2.005,1.852,3791549.99,601398
59,2007-01-23,2.043,2.129,2.148,1.871,5012218.01,601398
60,2007-01-24,2.148,2.034,2.168,2.014,3541765.44,601398
61,2007-01-25,1.957,1.794,1.957,1.766,3349561.23,601398
62,2007-01-26,1.67,1.775,1.88,1.431,4186546.53,601398
63,2007-01-29,1.699,1.833,1.89,1.632,6701286.58,601398
64,2007-01-30,1.861,1.689,1.9,1.67,4234921.3,601398
65,2007-01-31,1.689,1.536,1.794,1.517,5078151.13,601398
66,2007-02-01,1.507,1.526,1.593,1.45,2493560.89,601398
67,2007-02-02,1.555,1.354,1.584,1.335,3604044.02,601398
68,2007-02-05,1.335,1.23,1.383,1.22,2404202.4,601398
69,2007-02-06,1.249,1.421,1.431,1.105,4938339.88,601398
70,2007-02-07,1.44,1.421,1.488,1.373,4690955.91,601398
71,2007-02-08,1.431,1.373,1.44,1.325,2318859.06,601398
72,2007-02-09,1.364,1.325,1.373,1.277,1924239.12,601398
73,2007-02-12,1.325,1.459,1.459,1.316,2105997.52,601398
74,2007-02-13,1.469,1.44,1.507,1.411,2394741.09,601398
75,2007-02-14,1.431,1.565,1.603,1.392,2990947.8,601398
76,2007-02-15,1.593,1.689,1.708,1.593,3373291.83,601398
77,2007-02-16,1.727,1.66,1.746,1.632,2852135.15,601398
78,2007-02-26,1.622,1.622,1.651,1.517,3724955.17,601398
79,2007-02-27,1.622,1.23,1.622,1.182,4249136.47,601398
80,2007-02-28,1.23,1.431,1.459,1.201,2952811.67,601398
81,2007-03-01,1.335,1.287,1.392,1.239,2761893.08,601398
82,2007-03-02,1.287,1.335,1.373,1.249,1789875.94,601398
83,2007-03-05,1.325,1.23,1.364,1.182,2488235.53,601398
84,2007-03-06,1.22,1.411,1.488,1.191,3317179.63,601398
85,2007-03-07,1.421,1.44,1.488,1.411,2650193.1,601398
86,2007-03-08,1.44,1.45,1.469,1.383,1689152.16,601398
87,2007-03-09,1.469,1.574,1.612,1.45,4297765.06,601398
88,2007-03-12,1.622,1.632,1.679,1.584,3230122.94,601398
89,2007-03-13,1.622,1.565,1.632,1.517,2733937.95,601398
90,2007-03-14,1.507,1.45,1.507,1.431,2337387.11,601398
91,2007-03-15,1.44,1.478,1.545,1.44,1725625.51,601398
92,2007-03-16,1.498,1.478,1.593,1.431,3099425.31,601398
93,2007-03-19,1.411,1.699,1.785,1.383,6034774.85,601398
94,2007-03-20,1.708,1.679,1.737,1.632,2417450.04,601398
95,2007-03-22,1.737,1.708,1.766,1.66,3660762.49,601398
96,2007-03-23,1.708,1.67,1.708,1.565,2532500.14,601398
97,2007-03-26,1.66,1.708,1.727,1.622,2819095.66,601398
98,2007-03-27,1.699,1.679,1.708,1.641,2472630.52,601398
99,2007-03-28,1.67,1.813,1.833,1.632,6621739.16,601398
100,2007-03-29,1.833,2.091,2.311,1.813,10161630.15,601398
101,2007-03-30,2.043,1.995,2.101,1.957,3802988.63,601398
102,2007-04-02,2.014,2.091,2.158,2.014,3229335.72,601398
103,2007-04-03,2.11,2.12,2.129,2.034,2989321.12,601398
104,2007-04-04,2.129,2.034,2.148,2.005,3166557.71,601398
105,2007-04-05,2.005,2.053,2.072,1.909,4278002.24,601398
106,2007-04-06,1.967,1.957,2.024,1.928,3118556.62,601398
107,2007-04-09,1.957,1.986,2.024,1.88,4329053.93,601398
108,2007-04-10,1.986,2.081,2.081,1.928,5737435.62,601398
109,2007-04-11,2.081,2.091,2.139,2.024,4513365.3,601398
110,2007-04-12,2.101,2.062,2.139,2.043,3909734.86,601398
111,2007-04-13,2.072,1.957,2.081,1.957,3982015.68,601398
112,2007-04-16,1.947,2.024,2.053,1.909,4062880.37,601398
113,2007-04-17,2.034,1.986,2.081,1.89,4272401.51,601398
114,2007-04-18,1.967,1.938,1.967,1.871,4874363.51,601398
115,2007-04-19,1.947,1.737,2.014,1.632,5493410.91,601398
116,2007-04-20,1.737,1.833,1.861,1.737,3506625.68,601398
117,2007-04-23,1.833,1.938,1.957,1.775,5595771.37,601398
118,2007-04-24,1.957,1.9,1.986,1.861,4599861.61,601398
119,2007-04-25,1.89,2.034,2.11,1.833,7261009.36,601398
120,2007-04-26,2.12,2.034,2.158,1.986,5157025.19,601398
121,2007-04-27,2.053,1.919,2.072,1.909,4293712.08,601398
122,2007-04-30,1.89,1.928,1.995,1.871,3820644.07,601398
123,2007-05-08,2.024,1.986,2.043,1.938,4847616.43,601398
124,2007-05-09,2.005,2.273,2.426,1.967,12136373.82,601398
125,2007-05-10,2.311,2.263,2.359,2.206,7168196.83,601398
126,2007-05-11,2.215,2.206,2.235,2.11,4834028.17,601398
127,2007-05-14,2.148,2.244,2.282,2.12,4495553.36,601398
128,2007-05-15,2.254,2.014,2.282,1.995,5229617.79,601398
129,2007-05-16,2.014,2.043,2.081,1.947,3293722.36,601398
130,2007-05-17,2.053,2.062,2.091,2.005,3816488.3,601398
131,2007-05-18,2.053,1.995,2.053,1.967,3389410.81,601398
132,2007-05-21,1.833,1.957,1.976,1.823,3883721.62,601398
133,2007-05-22,1.957,1.986,2.024,1.919,4020297.18,601398
134,2007-05-23,2.005,2.024,2.034,1.938,4208576.35,601398
135,2007-05-24,2.043,2.062,2.177,2.005,5757021.12,601398
136,2007-05-25,2.034,1.995,2.053,1.967,4004418.52,601398
137,2007-05-28,2.014,2.034,2.081,1.986,4474285.14,601398
138,2007-05-29,2.053,2.091,2.139,2.014,5157335.1,601398
139,2007-05-30,1.871,1.833,2.034,1.737,6879288.64,601398
140,2007-05-31,1.852,1.986,2.129,1.689,6842997.12,601398
141,2007-06-01,1.995,1.938,2.139,1.919,5561448.4,601398
142,2007-06-04,1.919,1.517,1.928,1.478,5337386.83,601398
143,2007-06-05,1.498,1.603,1.67,1.258,4089713.84,601398
144,2007-06-06,1.612,1.565,1.622,1.517,2577721.62,601398
145,2007-06-07,1.555,1.593,1.593,1.526,2866899.28,601398
146,2007-06-08,1.593,1.545,1.593,1.517,2577478.22,601398
147,2007-06-11,1.545,1.584,1.603,1.517,2370237.42,601398
148,2007-06-13,1.632,1.794,1.833,1.622,5267983.01,601398
149,2007-06-14,1.775,1.651,1.775,1.641,2439795.01,601398
150,2007-06-15,1.632,1.67,1.737,1.584,2121147.3,601398
151,2007-06-18,1.718,1.756,1.813,1.699,3370630.93,601398
152,2007-06-19,1.718,1.756,1.89,1.689,2698349.22,601398
153,2007-06-20,1.737,1.632,1.775,1.622,2392099.67,601398
154,2007-06-21,1.637,1.685,1.723,1.542,1965015.98,601398
155,2007-06-22,1.676,1.58,1.733,1.542,2357733.72,601398
156,2007-06-25,1.599,1.503,1.676,1.484,2092305.4,601398
157,2007-06-26,1.446,1.532,1.561,1.427,1631634.72,601398
158,2007-06-27,1.542,1.637,1.666,1.484,2513130.62,601398
159,2007-06-28,1.656,1.57,1.79,1.551,3016733.37,601398
160,2007-06-29,1.494,1.551,1.656,1.455,2253231.73,601398
161,2007-07-02,1.561,1.599,1.618,1.494,1417414.54,601398
162,2007-07-03,1.618,1.733,1.752,1.618,3599283.23,601398
163,2007-07-04,1.743,1.676,1.829,1.656,2228792.41,601398
164,2007-07-05,1.647,1.522,1.695,1.513,1566262.61,601398
165,2007-07-06,1.522,1.695,1.704,1.513,1747738.27,601398
166,2007-07-09,1.714,1.8,1.848,1.676,4010410.75,601398
167,2007-07-10,1.857,1.886,2.011,1.857,4515881.15,601398
168,2007-07-11,1.934,1.924,2.011,1.877,1766891.59,601398
169,2007-07-12,1.934,1.915,1.972,1.857,1208324.29,601398
170,2007-07-13,1.915,1.896,1.953,1.857,848881.93,601398
171,2007-07-16,1.934,1.8,1.963,1.79,984893.75,601398
172,2007-07-17,1.8,1.924,1.944,1.714,1599315.78,601398
173,2007-07-18,1.877,1.934,2.011,1.838,2638833.54,601398
174,2007-07-19,1.934,1.953,2.049,1.924,1749956.34,601398
175,2007-07-20,1.972,2.116,2.164,1.963,4149444.46,601398
176,2007-07-23,2.231,2.259,2.413,2.231,5728878.65,601398
