,date,open,close,high,low,volume,code
0,2000-10-18,-0.601,-0.587,-0.575,-0.608,271930.03,600276
1,2000-10-19,-0.589,-0.596,-0.579,-0.599,77476.36,600276
2,2000-10-20,-0.6,-0.586,-0.584,-0.611,51195.27,600276
3,2000-10-23,-0.584,-0.584,-0.581,-0.592,21437.31,600276
4,2000-10-24,-0.583,-0.577,-0.573,-0.589,26559.46,600276
5,2000-10-25,-0.582,-0.584,-0.566,-0.584,35964.03,600276
6,2000-10-26,-0.583,-0.587,-0.581,-0.589,14866.58,600276
7,2000-10-27,-0.586,-0.575,-0.569,-0.586,20411.36,600276
8,2000-10-30,-0.574,-0.581,-0.574,-0.586,11399.13,600276
9,2000-10-31,-0.582,-0.588,-0.579,-0.589,13105.03,600276
10,2000-11-01,-0.588,-0.582,-0.581,-0.591,15492.65,600276
11,2000-11-02,-0.581,-0.576,-0.575,-0.586,13385.3,600276
12,2000-11-03,-0.581,-0.58,-0.575,-0.583,7576.01,600276
13,2000-11-06,-0.58,-0.571,-0.568,-0.584,11712.34,600276
14,2000-11-07,-0.567,-0.564,-0.559,-0.572,15635.4,600276
15,2000-11-08,-0.562,-0.557,-0.556,-0.565,17297.66,600276
16,2000-11-09,-0.559,-0.562,-0.555,-0.565,13277.98,600276
17,2000-11-10,-0.56,-0.557,-0.557,-0.564,12985.66,600276
18,2000-11-13,-0.557,-0.562,-0.554,-0.562,12930.68,600276
19,2000-11-14,-0.565,-0.547,-0.547,-0.568,15404.43,600276
20,2000-11-15,-0.547,-0.546,-0.528,-0.551,20980.74,600276
21,2000-11-16,-0.54,-0.547,-0.539,-0.548,10315.1,600276
22,2000-11-17,-0.545,-0.55,-0.543,-0.551,8021.2,600276
23,2000-11-20,-0.552,-0.549,-0.547,-0.556,4493.67,600276
24,2000-11-21,-0.549,-0.553,-0.547,-0.557,5095.1,600276
25,2000-11-22,-0.553,-0.548,-0.544,-0.556,9247.2,600276
26,2000-11-23,-0.548,-0.548,-0.541,-0.552,4361.12,600276
27,2000-11-24,-0.548,-0.555,-0.542,-0.567,12888.01,600276
28,2000-11-27,-0.558,-0.563,-0.556,-0.566,7579.49,600276
29,2000-11-28,-0.563,-0.561,-0.557,-0.565,3169.13,600276
30,2000-11-29,-0.558,-0.571,-0.555,-0.572,5365.3,600276
31,2000-11-30,-0.567,-0.566,-0.565,-0.574,2603.7,600276
32,2000-12-01,-0.567,-0.565,-0.561,-0.571,1369.33,600276
33,2000-12-04,-0.56,-0.563,-0.56,-0.569,1606.5,600276
34,2000-12-05,-0.564,-0.564,-0.559,-0.565,1822.13,600276
35,2000-12-06,-0.564,-0.566,-0.562,-0.568,2451.0,600276
36,2000-12-07,-0.566,-0.567,-0.564,-0.569,2253.0,600276
37,2000-12-08,-0.567,-0.566,-0.561,-0.567,2540.5,600276
38,2000-12-11,-0.567,-0.579,-0.567,-0.579,5569.17,600276
39,2000-12-12,-0.579,-0.572,-0.569,-0.579,1719.74,600276
40,2000-12-13,-0.569,-0.572,-0.569,-0.576,1228.45,600276
41,2000-12-14,-0.574,-0.57,-0.566,-0.574,2057.0,600276
42,2000-12-15,-0.57,-0.569,-0.569,-0.572,1097.53,600276
43,2000-12-18,-0.569,-0.566,-0.562,-0.572,5020.74,600276
44,2000-12-19,-0.562,-0.566,-0.562,-0.57,1928.0,600276
45,2000-12-20,-0.568,-0.56,-0.558,-0.568,3682.64,600276
46,2000-12-21,-0.56,-0.557,-0.552,-0.56,2577.1,600276
47,2000-12-22,-0.559,-0.56,-0.556,-0.567,5564.3,600276
48,2000-12-25,-0.56,-0.566,-0.56,-0.567,5857.2,600276
49,2000-12-26,-0.566,-0.557,-0.553,-0.568,3995.47,600276
50,2000-12-27,-0.557,-0.559,-0.555,-0.563,3787.03,600276
51,2000-12-28,-0.581,-0.551,-0.551,-0.581,6798.3,600276
52,2000-12-29,-0.552,-0.546,-0.544,-0.558,7461.18,600276
53,2001-01-02,-0.545,-0.531,-0.528,-0.548,10014.45,600276
54,2001-01-03,-0.528,-0.534,-0.524,-0.538,7587.12,600276
55,2001-01-04,-0.532,-0.533,-0.527,-0.538,4256.8,600276
56,2001-01-05,-0.533,-0.523,-0.523,-0.533,4402.52,600276
57,2001-01-08,-0.523,-0.538,-0.52,-0.539,5539.5,600276
58,2001-01-09,-0.538,-0.547,-0.533,-0.554,13779.51,600276
59,2001-01-10,-0.548,-0.54,-0.528,-0.551,5539.35,600276
60,2001-01-11,-0.541,-0.55,-0.531,-0.552,5723.78,600276
61,2001-01-12,-0.552,-0.543,-0.537,-0.557,8421.39,600276
62,2001-01-15,-0.545,-0.558,-0.545,-0.56,2680.66,600276
63,2001-01-16,-0.565,-0.562,-0.557,-0.567,2184.92,600276
64,2001-01-17,-0.562,-0.571,-0.56,-0.574,3413.0,600276
65,2001-01-18,-0.571,-0.564,-0.555,-0.572,3935.8,600276
66,2001-01-19,-0.557,-0.553,-0.552,-0.563,3474.8,600276
67,2001-02-05,-0.552,-0.573,-0.548,-0.574,3113.1,600276
68,2001-02-06,-0.576,-0.574,-0.571,-0.582,3593.7,600276
69,2001-02-07,-0.576,-0.575,-0.572,-0.576,958.5,600276
70,2001-02-08,-0.572,-0.592,-0.572,-0.598,3168.45,600276
71,2001-02-09,-0.592,-0.583,-0.572,-0.599,9858.54,600276
72,2001-02-12,-0.583,-0.587,-0.583,-0.598,3277.1,600276
73,2001-02-13,-0.586,-0.586,-0.585,-0.591,2191.2,600276
74,2001-02-14,-0.589,-0.586,-0.583,-0.589,721.55,600276
75,2001-02-15,-0.586,-0.598,-0.586,-0.604,5430.0,600276
76,2001-02-16,-0.599,-0.603,-0.599,-0.61,3083.04,600276
77,2001-02-19,-0.601,-0.598,-0.595,-0.603,1820.0,600276
78,2001-02-20,-0.597,-0.603,-0.592,-0.609,3992.0,600276
79,2001-02-21,-0.603,-0.615,-0.602,-0.616,2436.6,600276
80,2001-02-22,-0.616,-0.608,-0.6,-0.617,7852.0,600276
81,2001-02-23,-0.604,-0.607,-0.603,-0.613,2352.0,600276
82,2001-02-26,-0.601,-0.595,-0.595,-0.603,2489.1,600276
83,2001-02-27,-0.594,-0.591,-0.59,-0.597,2339.0,600276
84,2001-02-28,-0.591,-0.579,-0.577,-0.591,10909.09,600276
85,2001-03-01,-0.57,-0.565,-0.56,-0.573,17852.51,600276
86,2001-03-02,-0.56,-0.56,-0.558,-0.565,9076.85,600276
87,2001-03-05,-0.556,-0.563,-0.556,-0.563,6283.97,600276
88,2001-03-06,-0.562,-0.551,-0.55,-0.565,4404.0,600276
89,2001-03-07,-0.552,-0.555,-0.548,-0.557,4094.61,600276
90,2001-03-08,-0.552,-0.553,-0.552,-0.557,2538.87,600276
91,2001-03-09,-0.553,-0.557,-0.552,-0.558,3327.0,600276
92,2001-03-12,-0.556,-0.542,-0.538,-0.56,7114.34,600276
93,2001-03-13,-0.543,-0.55,-0.543,-0.554,4470.35,600276
94,2001-03-14,-0.55,-0.543,-0.541,-0.553,4105.4,600276
95,2001-03-15,-0.541,-0.54,-0.533,-0.543,8962.4,600276
96,2001-03-16,-0.539,-0.548,-0.537,-0.548,3955.0,600276
97,2001-03-19,-0.548,-0.545,-0.543,-0.548,3622.09,600276
98,2001-03-20,-0.543,-0.538,-0.536,-0.544,4853.62,600276
99,2001-03-21,-0.538,-0.528,-0.527,-0.54,6122.2,600276
100,2001-03-22,-0.528,-0.525,-0.523,-0.533,5189.7,600276
101,2001-03-23,-0.524,-0.535,-0.523,-0.538,6531.83,600276
102,2001-03-26,-0.538,-0.513,-0.513,-0.539,11392.21,600276
103,2001-03-27,-0.512,-0.509,-0.506,-0.519,6837.85,600276
104,2001-03-28,-0.509,-0.489,-0.487,-0.516,11604.4,600276
105,2001-03-29,-0.488,-0.486,-0.465,-0.489,22465.95,600276
106,2001-03-30,-0.489,-0.47,-0.468,-0.495,12204.95,600276
107,2001-04-02,-0.467,-0.463,-0.452,-0.468,13759.42,600276
108,2001-04-03,-0.462,-0.464,-0.462,-0.473,6123.3,600276
109,2001-04-04,-0.467,-0.487,-0.463,-0.49,10797.95,600276
110,2001-04-05,-0.491,-0.47,-0.47,-0.492,9260.55,600276
111,2001-04-06,-0.47,-0.481,-0.466,-0.483,6002.91,600276
112,2001-04-09,-0.481,-0.458,-0.458,-0.482,7184.55,600276
113,2001-04-10,-0.457,-0.458,-0.453,-0.463,3648.76,600276
114,2001-04-11,-0.457,-0.463,-0.453,-0.469,4008.8,600276
115,2001-04-12,-0.459,-0.468,-0.459,-0.47,6338.26,600276
116,2001-04-13,-0.467,-0.456,-0.45,-0.472,8464.97,600276
117,2001-04-16,-0.452,-0.428,-0.424,-0.452,17908.8,600276
118,2001-04-17,-0.419,-0.431,-0.414,-0.44,12258.19,600276
119,2001-04-19,-0.438,-0.423,-0.423,-0.442,6951.78,600276
120,2001-04-20,-0.424,-0.451,-0.424,-0.454,8892.89,600276
121,2001-04-23,-0.451,-0.448,-0.438,-0.465,11159.75,600276
122,2001-04-24,-0.448,-0.438,-0.436,-0.454,5798.86,600276
123,2001-04-25,-0.44,-0.468,-0.44,-0.468,8101.2,600276
124,2001-04-26,-0.47,-0.465,-0.458,-0.473,5371.41,600276
125,2001-04-27,-0.46,-0.46,-0.457,-0.465,4623.76,600276
126,2001-04-30,-0.46,-0.439,-0.428,-0.46,10537.25,600276
127,2001-05-08,-0.436,-0.433,-0.427,-0.445,4131.79,600276
128,2001-05-09,-0.431,-0.445,-0.431,-0.447,4141.9,600276
129,2001-05-10,-0.445,-0.439,-0.43,-0.451,7018.0,600276
130,2001-05-11,-0.436,-0.449,-0.434,-0.453,4659.22,600276
131,2001-05-14,-0.449,-0.448,-0.445,-0.457,6784.63,600276
132,2001-05-15,-0.447,-0.426,-0.426,-0.447,14036.25,600276
133,2001-05-16,-0.426,-0.403,-0.398,-0.426,23548.65,600276
134,2001-05-17,-0.401,-0.405,-0.392,-0.411,18522.52,600276
135,2001-05-18,-0.404,-0.406,-0.401,-0.418,11467.84,600276
136,2001-05-21,-0.405,-0.404,-0.389,-0.407,14627.36,600276
137,2001-05-22,-0.402,-0.418,-0.402,-0.422,8948.63,600276
138,2001-05-23,-0.418,-0.43,-0.416,-0.441,8597.17,600276
139,2001-05-24,-0.431,-0.436,-0.426,-0.441,9810.88,600276
140,2001-05-25,-0.431,-0.439,-0.431,-0.458,6333.28,600276
141,2001-05-28,-0.442,-0.427,-0.421,-0.453,8484.27,600276
142,2001-05-29,-0.428,-0.422,-0.408,-0.428,9127.32,600276
143,2001-05-30,-0.42,-0.413,-0.407,-0.42,8648.05,600276
144,2001-05-31,-0.409,-0.423,-0.409,-0.43,8244.74,600276
145,2001-06-01,-0.423,-0.436,-0.42,-0.442,7556.4,600276
146,2001-06-04,-0.436,-0.436,-0.435,-0.444,5548.06,600276
147,2001-06-05,-0.435,-0.436,-0.431,-0.441,6622.09,600276
148,2001-06-06,-0.435,-0.446,-0.435,-0.45,7086.7,600276
149,2001-06-07,-0.445,-0.427,-0.42,-0.446,7008.22,600276
150,2001-06-08,-0.427,-0.434,-0.426,-0.442,3572.73,600276
151,2001-06-11,-0.438,-0.449,-0.438,-0.452,8119.75,600276
152,2001-06-12,-0.449,-0.454,-0.449,-0.458,12360.25,600276
153,2001-06-13,-0.453,-0.448,-0.442,-0.458,5807.84,600276
154,2001-06-14,-0.446,-0.457,-0.442,-0.458,4226.88,600276
155,2001-06-15,-0.457,-0.451,-0.445,-0.476,10717.74,600276
156,2001-06-18,-0.452,-0.46,-0.443,-0.472,6672.4,600276
157,2001-06-19,-0.472,-0.468,-0.46,-0.474,3088.16,600276
158,2001-06-20,-0.468,-0.491,-0.468,-0.493,7853.22,600276
