,date,open,close,high,low,volume,code
0,2003-12-16,-0.543,-0.545,-0.524,-0.546,72041.81,600570
1,2003-12-17,-0.559,-0.583,-0.559,-0.584,34778.66,600570
2,2003-12-18,-0.593,-0.592,-0.583,-0.594,13181.73,600570
3,2003-12-19,-0.594,-0.611,-0.59,-0.622,21080.17,600570
4,2003-12-22,-0.619,-0.608,-0.605,-0.624,12134.52,600570
5,2003-12-23,-0.611,-0.614,-0.607,-0.619,6914.33,600570
6,2003-12-24,-0.616,-0.618,-0.61,-0.623,7574.44,600570
7,2003-12-25,-0.61,-0.61,-0.607,-0.62,6227.82,600570
8,2003-12-26,-0.609,-0.603,-0.585,-0.612,13129.89,600570
9,2003-12-29,-0.602,-0.607,-0.595,-0.61,5465.22,600570
10,2003-12-30,-0.608,-0.612,-0.607,-0.617,4434.89,600570
11,2003-12-31,-0.613,-0.603,-0.589,-0.614,9737.04,600570
12,2004-01-02,-0.607,-0.603,-0.591,-0.607,5035.6,600570
13,2004-01-05,-0.603,-0.592,-0.585,-0.604,7603.44,600570
14,2004-01-06,-0.589,-0.586,-0.584,-0.601,9248.49,600570
15,2004-01-07,-0.588,-0.59,-0.581,-0.595,9666.02,600570
16,2004-01-08,-0.589,-0.561,-0.553,-0.59,19984.83,600570
17,2004-01-09,-0.561,-0.58,-0.555,-0.581,12326.99,600570
18,2004-01-12,-0.579,-0.573,-0.572,-0.589,5770.62,600570
19,2004-01-13,-0.573,-0.583,-0.567,-0.586,7136.22,600570
20,2004-01-14,-0.584,-0.584,-0.574,-0.592,4815.55,600570
21,2004-01-15,-0.575,-0.576,-0.564,-0.577,8330.94,600570
22,2004-01-16,-0.576,-0.568,-0.566,-0.581,7362.09,600570
23,2004-01-30,-0.548,-0.573,-0.541,-0.574,10695.53,600570
24,2004-02-02,-0.569,-0.571,-0.556,-0.582,5801.26,600570
25,2004-02-03,-0.571,-0.531,-0.523,-0.571,31963.68,600570
26,2004-02-04,-0.533,-0.538,-0.532,-0.548,13615.98,600570
27,2004-02-05,-0.536,-0.522,-0.504,-0.541,14403.8,600570
28,2004-02-06,-0.522,-0.529,-0.52,-0.529,6929.41,600570
29,2004-02-09,-0.528,-0.522,-0.518,-0.53,6167.34,600570
30,2004-02-10,-0.522,-0.535,-0.519,-0.54,6342.75,600570
31,2004-02-11,-0.538,-0.532,-0.524,-0.541,4696.38,600570
32,2004-02-12,-0.532,-0.534,-0.524,-0.535,4155.0,600570
33,2004-02-13,-0.531,-0.523,-0.511,-0.533,9470.68,600570
34,2004-02-16,-0.518,-0.497,-0.488,-0.518,12235.07,600570
35,2004-02-17,-0.493,-0.496,-0.481,-0.503,14204.52,600570
36,2004-02-18,-0.498,-0.503,-0.494,-0.51,6864.87,600570
37,2004-02-19,-0.503,-0.493,-0.488,-0.505,7164.37,600570
38,2004-02-20,-0.493,-0.495,-0.489,-0.505,6459.32,600570
39,2004-02-23,-0.44,-0.478,-0.44,-0.48,26336.31,600570
40,2004-02-24,-0.481,-0.484,-0.478,-0.492,8555.21,600570
41,2004-02-25,-0.484,-0.492,-0.46,-0.494,9590.68,600570
42,2004-02-26,-0.493,-0.519,-0.485,-0.534,10729.88,600570
43,2004-02-27,-0.506,-0.504,-0.499,-0.515,5304.32,600570
44,2004-03-01,-0.508,-0.513,-0.504,-0.526,5027.88,600570
45,2004-03-02,-0.513,-0.515,-0.51,-0.522,4977.91,600570
46,2004-03-03,-0.515,-0.526,-0.513,-0.526,4504.22,600570
47,2004-03-04,-0.526,-0.515,-0.508,-0.529,4084.41,600570
48,2004-03-05,-0.513,-0.521,-0.511,-0.524,3759.71,600570
49,2004-03-08,-0.521,-0.522,-0.499,-0.523,5553.37,600570
50,2004-03-09,-0.523,-0.511,-0.47,-0.524,7399.89,600570
51,2004-03-10,-0.511,-0.503,-0.502,-0.513,3725.25,600570
52,2004-03-11,-0.503,-0.502,-0.494,-0.505,3364.81,600570
53,2004-03-12,-0.503,-0.513,-0.497,-0.514,3564.11,600570
54,2004-03-15,-0.516,-0.511,-0.508,-0.523,5312.7,600570
55,2004-03-16,-0.51,-0.518,-0.508,-0.523,4707.5,600570
56,2004-03-17,-0.521,-0.519,-0.516,-0.523,2634.28,600570
57,2004-03-18,-0.519,-0.533,-0.518,-0.533,5285.5,600570
58,2004-03-19,-0.534,-0.531,-0.53,-0.538,4511.66,600570
59,2004-03-22,-0.531,-0.528,-0.524,-0.534,2041.78,600570
60,2004-03-23,-0.528,-0.532,-0.528,-0.534,1658.87,600570
61,2004-03-24,-0.532,-0.534,-0.526,-0.534,1661.13,600570
62,2004-03-25,-0.536,-0.531,-0.529,-0.536,1736.52,600570
63,2004-03-26,-0.526,-0.519,-0.51,-0.528,5429.3,600570
64,2004-03-29,-0.517,-0.518,-0.504,-0.518,4464.61,600570
65,2004-03-30,-0.518,-0.496,-0.493,-0.518,9705.1,600570
66,2004-03-31,-0.495,-0.499,-0.493,-0.505,5558.48,600570
67,2004-04-01,-0.497,-0.498,-0.489,-0.5,5003.29,600570
68,2004-04-02,-0.496,-0.481,-0.481,-0.496,7383.26,600570
