,date,open,close,high,low,volume,code
0,2002-04-09,-7.171,-7.132,-7.075,-7.171,4141088.31,600036
1,2002-04-10,-7.132,-7.148,-7.122,-7.202,679454.75,600036
2,2002-04-11,-7.148,-7.168,-7.127,-7.176,227882.55,600036
3,2002-04-12,-7.173,-7.155,-7.137,-7.178,212564.63,600036
4,2002-04-15,-7.155,-7.202,-7.148,-7.212,185311.04,600036
5,2002-04-16,-7.212,-7.261,-7.202,-7.266,249254.91,600036
6,2002-04-17,-7.263,-7.245,-7.235,-7.279,114593.39,600036
7,2002-04-18,-7.251,-7.271,-7.251,-7.276,85332.79,600036
8,2002-04-19,-7.276,-7.266,-7.263,-7.305,157222.49,600036
9,2002-04-22,-7.276,-7.3,-7.276,-7.305,65938.27,600036
10,2002-04-23,-7.302,-7.302,-7.279,-7.325,73765.44,600036
11,2002-04-24,-7.302,-7.361,-7.302,-7.379,172413.56,600036
12,2002-04-25,-7.366,-7.351,-7.341,-7.369,99602.72,600036
13,2002-04-26,-7.348,-7.343,-7.33,-7.354,81692.13,600036
14,2002-04-29,-7.343,-7.341,-7.333,-7.377,90360.87,600036
15,2002-04-30,-7.33,-7.297,-7.263,-7.354,182625.05,600036
16,2002-05-08,-7.302,-7.328,-7.294,-7.333,42283.58,600036
17,2002-05-09,-7.33,-7.318,-7.282,-7.333,44703.94,600036
18,2002-05-10,-7.325,-7.351,-7.32,-7.354,46384.8,600036
19,2002-05-13,-7.354,-7.4,-7.354,-7.41,127254.97,600036
20,2002-05-14,-7.405,-7.436,-7.395,-7.441,82399.48,600036
21,2002-05-15,-7.441,-7.485,-7.418,-7.488,97083.85,600036
22,2002-05-16,-7.488,-7.521,-7.488,-7.542,195171.41,600036
23,2002-05-17,-7.513,-7.495,-7.482,-7.547,100101.12,600036
24,2002-05-20,-7.526,-7.565,-7.513,-7.578,112970.72,600036
25,2002-05-21,-7.513,-7.513,-7.495,-7.552,126083.52,600036
26,2002-05-22,-7.511,-7.575,-7.508,-7.583,73383.58,600036
27,2002-05-23,-7.573,-7.565,-7.526,-7.575,71889.25,600036
28,2002-05-24,-7.565,-7.593,-7.549,-7.621,105260.0,600036
29,2002-05-27,-7.588,-7.583,-7.573,-7.616,54394.44,600036
30,2002-05-28,-7.583,-7.58,-7.562,-7.585,56076.77,600036
31,2002-05-29,-7.58,-7.645,-7.575,-7.657,74801.5,600036
32,2002-05-30,-7.647,-7.624,-7.616,-7.683,131798.29,600036
33,2002-05-31,-7.629,-7.637,-7.596,-7.647,46691.99,600036
34,2002-06-04,-7.655,-7.596,-7.56,-7.678,213157.6,600036
35,2002-06-05,-7.503,-7.627,-7.503,-7.632,91494.76,600036
36,2002-06-06,-7.627,-7.56,-7.539,-7.642,125309.92,600036
37,2002-06-07,-7.557,-7.565,-7.544,-7.585,117606.56,600036
38,2002-06-10,-7.565,-7.562,-7.544,-7.578,49101.42,600036
39,2002-06-11,-7.562,-7.575,-7.557,-7.58,28481.53,600036
40,2002-06-12,-7.56,-7.593,-7.56,-7.611,30367.53,600036
41,2002-06-13,-7.593,-7.621,-7.593,-7.624,28614.62,600036
42,2002-06-14,-7.624,-7.642,-7.624,-7.645,29395.0,600036
43,2002-06-17,-7.65,-7.647,-7.647,-7.668,30367.71,600036
44,2002-06-18,-7.647,-7.609,-7.598,-7.65,53175.74,600036
45,2002-06-19,-7.609,-7.642,-7.606,-7.65,27745.19,600036
