,date,open,close,high,low,volume,code
0,2000-12-19,-1.805,-1.886,-1.748,-1.89,1563524.56,600016
1,2000-12-20,-1.891,-1.912,-1.891,-1.923,290467.13,600016
2,2000-12-21,-1.908,-1.913,-1.891,-1.918,113629.56,600016
3,2000-12-22,-1.912,-1.937,-1.908,-1.94,130264.88,600016
4,2000-12-25,-1.94,-1.963,-1.939,-1.974,101131.2,600016
5,2000-12-26,-1.963,-1.956,-1.946,-1.964,65390.33,600016
6,2000-12-27,-1.955,-1.968,-1.953,-1.971,68140.34,600016
7,2000-12-28,-1.969,-1.97,-1.964,-1.973,69214.79,600016
8,2000-12-29,-1.969,-1.962,-1.953,-1.971,39852.26,600016
9,2001-01-02,-1.96,-1.952,-1.943,-1.969,54400.19,600016
10,2001-01-03,-1.949,-1.957,-1.948,-1.962,43223.53,600016
11,2001-01-04,-1.955,-1.965,-1.952,-1.969,52051.97,600016
12,2001-01-05,-1.967,-1.979,-1.966,-1.987,93185.94,600016
13,2001-01-08,-1.981,-1.997,-1.98,-2.002,64524.15,600016
14,2001-01-09,-1.998,-1.973,-1.97,-2.002,53364.77,600016
15,2001-01-10,-1.971,-1.973,-1.965,-1.986,39011.53,600016
16,2001-01-11,-1.973,-1.953,-1.935,-1.974,130539.88,600016
17,2001-01-12,-1.952,-1.944,-1.94,-1.963,61131.46,600016
18,2001-01-15,-1.944,-1.988,-1.943,-1.997,74781.91,600016
19,2001-01-16,-1.988,-1.973,-1.969,-1.993,48247.76,600016
20,2001-01-17,-1.971,-1.964,-1.947,-1.974,34329.19,600016
21,2001-01-18,-1.963,-1.951,-1.943,-1.969,48837.96,600016
22,2001-01-19,-1.949,-1.943,-1.94,-1.963,61836.05,600016
23,2001-02-05,-1.939,-1.974,-1.938,-1.975,31211.52,600016
24,2001-02-06,-1.974,-1.973,-1.973,-1.996,29021.13,600016
25,2001-02-07,-1.973,-1.983,-1.971,-1.986,12937.18,600016
26,2001-02-08,-1.983,-2.0,-1.98,-2.001,30911.2,600016
27,2001-02-09,-1.999,-1.983,-1.975,-2.001,22112.49,600016
28,2001-02-12,-1.983,-1.973,-1.964,-1.992,25582.16,600016
29,2001-02-13,-1.971,-1.979,-1.969,-1.983,11469.4,600016
30,2001-02-14,-1.979,-1.982,-1.974,-1.986,11984.7,600016
31,2001-02-15,-1.986,-1.991,-1.98,-1.994,12502.99,600016
32,2001-02-16,-1.992,-2.001,-1.991,-2.011,33955.13,600016
33,2001-02-19,-2.003,-1.988,-1.986,-2.003,9759.07,600016
34,2001-02-20,-1.98,-1.996,-1.977,-1.998,17381.78,600016
35,2001-02-21,-1.996,-2.014,-1.993,-2.019,31962.93,600016
36,2001-02-22,-2.019,-2.022,-2.009,-2.025,16949.6,600016
37,2001-02-23,-2.022,-1.998,-1.997,-2.022,15168.96,600016
38,2001-02-26,-1.997,-1.995,-1.986,-2.003,17714.53,600016
39,2001-02-27,-1.994,-2.001,-1.992,-2.004,12256.05,600016
40,2001-02-28,-2.001,-2.008,-1.999,-2.009,13466.8,600016
41,2001-03-01,-2.008,-2.003,-1.991,-2.009,10301.62,600016
42,2001-03-02,-1.997,-1.969,-1.948,-2.004,128507.31,600016
43,2001-03-05,-1.968,-1.973,-1.955,-1.974,42455.09,600016
44,2001-03-06,-1.973,-1.962,-1.955,-1.982,36464.35,600016
45,2001-03-07,-1.963,-1.956,-1.943,-1.971,62748.68,600016
46,2001-03-08,-1.957,-1.934,-1.919,-1.958,156690.86,600016
47,2001-03-09,-1.927,-1.94,-1.926,-1.951,51550.89,600016
48,2001-03-12,-1.94,-1.953,-1.936,-1.957,23292.77,600016
49,2001-03-13,-1.957,-1.963,-1.948,-1.969,30615.89,600016
50,2001-03-14,-1.964,-1.944,-1.932,-1.968,47520.62,600016
51,2001-03-15,-1.952,-1.954,-1.943,-1.957,26819.71,600016
52,2001-03-16,-1.954,-1.957,-1.94,-1.963,25774.38,600016
53,2001-03-19,-1.957,-1.955,-1.952,-1.966,23081.33,600016
54,2001-03-20,-1.954,-1.951,-1.946,-1.961,16746.75,600016
55,2001-03-21,-1.951,-1.931,-1.919,-1.952,92079.14,600016
56,2001-03-22,-1.926,-1.926,-1.919,-1.932,79895.01,600016
57,2001-03-23,-1.926,-1.952,-1.923,-1.953,50482.82,600016
58,2001-03-26,-1.953,-1.94,-1.929,-1.954,38471.81,600016
59,2001-03-27,-1.935,-1.935,-1.926,-1.946,23060.24,600016
60,2001-03-28,-1.935,-1.934,-1.929,-1.942,41053.9,600016
61,2001-03-29,-1.93,-1.914,-1.899,-1.93,126068.61,600016
62,2001-03-30,-1.912,-1.909,-1.902,-1.913,58214.4,600016
63,2001-04-02,-1.88,-1.879,-1.864,-1.891,151478.78,600016
64,2001-04-03,-1.879,-1.872,-1.871,-1.887,68766.91,600016
65,2001-04-04,-1.871,-1.884,-1.853,-1.889,137850.04,600016
66,2001-04-05,-1.885,-1.865,-1.864,-1.889,51243.36,600016
67,2001-04-06,-1.862,-1.869,-1.857,-1.873,38885.45,600016
68,2001-04-09,-1.87,-1.869,-1.864,-1.875,29704.8,600016
69,2001-04-10,-1.866,-1.853,-1.849,-1.866,61544.46,600016
70,2001-04-11,-1.851,-1.848,-1.842,-1.857,72837.87,600016
71,2001-04-12,-1.845,-1.858,-1.844,-1.859,51702.41,600016
72,2001-04-13,-1.858,-1.857,-1.847,-1.873,60189.68,600016
73,2001-04-16,-1.857,-1.86,-1.853,-1.863,54831.83,600016
74,2001-04-17,-1.86,-1.868,-1.86,-1.871,40056.02,600016
75,2001-04-18,-1.868,-1.868,-1.862,-1.874,40147.59,600016
76,2001-04-19,-1.869,-1.878,-1.867,-1.89,53511.11,600016
77,2001-04-20,-1.879,-1.886,-1.862,-1.887,48586.2,600016
78,2001-04-23,-1.895,-1.89,-1.887,-1.903,41794.95,600016
79,2001-04-24,-1.89,-1.885,-1.881,-1.891,21162.5,600016
80,2001-04-25,-1.885,-1.909,-1.879,-1.919,65724.26,600016
81,2001-04-26,-1.911,-1.903,-1.895,-1.916,27915.71,600016
82,2001-04-27,-1.903,-1.892,-1.885,-1.907,30719.29,600016
83,2001-04-30,-1.892,-1.883,-1.879,-1.892,31707.43,600016
84,2001-05-08,-1.883,-1.879,-1.877,-1.885,21155.83,600016
85,2001-05-09,-1.875,-1.869,-1.861,-1.878,32621.35,600016
86,2001-05-10,-1.87,-1.87,-1.863,-1.873,24267.69,600016
87,2001-05-11,-1.869,-1.873,-1.866,-1.879,20856.12,600016
88,2001-05-14,-1.861,-1.849,-1.836,-1.864,118132.47,600016
89,2001-05-15,-1.844,-1.852,-1.839,-1.856,50448.27,600016
90,2001-05-16,-1.85,-1.831,-1.823,-1.85,108332.88,600016
91,2001-05-17,-1.829,-1.833,-1.825,-1.841,60286.83,600016
92,2001-05-18,-1.833,-1.833,-1.83,-1.84,42595.71,600016
93,2001-05-21,-1.826,-1.808,-1.804,-1.826,122500.95,600016
94,2001-05-23,-1.833,-1.814,-1.809,-1.84,45959.77,600016
95,2001-05-24,-1.81,-1.799,-1.787,-1.812,65776.07,600016
96,2001-05-25,-1.795,-1.81,-1.791,-1.822,42993.15,600016
97,2001-05-28,-1.803,-1.815,-1.794,-1.821,37900.25,600016
98,2001-05-29,-1.813,-1.813,-1.805,-1.819,39729.62,600016
99,2001-05-30,-1.81,-1.8,-1.799,-1.813,73092.43,600016
100,2001-05-31,-1.785,-1.778,-1.774,-1.796,105657.42,600016
101,2001-06-01,-1.778,-1.738,-1.727,-1.778,162265.3,600016
102,2001-06-04,-1.73,-1.744,-1.7,-1.748,160451.38,600016
103,2001-06-05,-1.742,-1.748,-1.731,-1.754,79322.86,600016
104,2001-06-06,-1.748,-1.756,-1.745,-1.767,69228.96,600016
105,2001-06-07,-1.756,-1.75,-1.742,-1.767,47808.16,600016
106,2001-06-08,-1.748,-1.756,-1.748,-1.762,29848.52,600016
107,2001-06-11,-1.756,-1.776,-1.752,-1.778,50978.8,600016
108,2001-06-12,-1.776,-1.768,-1.762,-1.781,35508.97,600016
109,2001-06-13,-1.767,-1.77,-1.763,-1.776,32366.0,600016
110,2001-06-14,-1.77,-1.782,-1.763,-1.787,48671.49,600016
111,2001-06-15,-1.785,-1.79,-1.78,-1.796,46944.15,600016
112,2001-06-18,-1.791,-1.828,-1.791,-1.835,62921.31,600016
113,2001-06-19,-1.831,-1.829,-1.825,-1.839,26546.55,600016
114,2001-06-20,-1.829,-1.826,-1.813,-1.829,19695.15,600016
115,2001-06-21,-1.823,-1.825,-1.822,-1.831,23667.9,600016
116,2001-06-22,-1.822,-1.81,-1.809,-1.823,33153.62,600016
117,2001-06-25,-1.807,-1.806,-1.8,-1.817,24874.82,600016
118,2001-06-26,-1.806,-1.814,-1.8,-1.822,26179.67,600016
119,2001-06-27,-1.814,-1.822,-1.81,-1.822,18743.44,600016
120,2001-06-28,-1.822,-1.826,-1.818,-1.83,23703.91,600016
121,2001-06-29,-1.827,-1.828,-1.818,-1.828,14431.29,600016
122,2001-07-02,-1.827,-1.835,-1.823,-1.838,18988.0,600016
123,2001-07-03,-1.835,-1.83,-1.826,-1.84,15110.85,600016
124,2001-07-04,-1.828,-1.828,-1.815,-1.83,15780.1,600016
125,2001-07-05,-1.792,-1.807,-1.781,-1.817,76164.94,600016
126,2001-07-06,-1.807,-1.829,-1.797,-1.829,26704.32,600016
127,2001-07-09,-1.829,-1.836,-1.824,-1.839,16824.5,600016
128,2001-07-10,-1.836,-1.828,-1.822,-1.836,14383.7,600016
129,2001-07-11,-1.828,-1.836,-1.828,-1.84,14014.04,600016
130,2001-07-12,-1.84,-1.842,-1.832,-1.849,22789.52,600016
131,2001-07-13,-1.838,-1.851,-1.836,-1.862,18483.3,600016
132,2001-07-16,-1.844,-1.861,-1.836,-1.864,19381.3,600016
