,date,open,close,high,low,volume,code
0,2014-02-11,4.205,4.868,5.865,4.205,93919.0,603288
1,2014-02-12,5.546,5.763,5.763,5.185,250567.0,603288
2,2014-02-13,5.217,5.611,6.107,5.123,172230.0,603288
3,2014-02-14,5.622,5.835,6.026,5.622,99464.0,603288
4,2014-02-17,5.865,5.678,5.917,5.477,98462.0,603288
5,2014-02-18,5.724,5.995,6.404,5.568,135241.0,603288
6,2014-02-19,5.825,5.597,5.959,5.527,83231.0,603288
7,2014-02-20,5.581,5.63,5.875,5.511,58542.0,603288
8,2014-02-21,5.649,5.467,5.754,5.334,53674.0,603288
9,2014-02-24,5.359,5.709,5.73,5.34,51307.0,603288
10,2014-02-25,5.716,5.73,6.399,5.622,104405.0,603288
11,2014-02-26,5.734,5.351,5.86,5.015,64255.0,603288
12,2014-02-27,5.338,5.044,5.423,5.015,44456.0,603288
13,2014-02-28,5.028,5.386,5.458,4.681,46951.0,603288
14,2014-03-03,5.336,5.472,5.561,5.279,28208.0,603288
15,2014-03-04,5.473,5.266,5.529,5.171,37677.0,603288
16,2014-03-05,5.26,5.307,5.342,5.051,27603.0,603288
17,2014-03-06,5.255,5.353,5.43,5.032,25974.0,603288
18,2014-03-07,5.324,5.055,5.324,5.05,20904.0,603288
19,2014-03-10,4.943,5.07,5.283,4.812,28211.0,603288
20,2014-03-11,5.078,5.26,5.352,4.967,32958.0,603288
21,2014-03-12,5.174,5.344,5.619,5.163,27067.0,603288
22,2014-03-13,5.347,5.33,5.554,5.282,23291.0,603288
23,2014-03-14,5.284,5.199,5.373,5.15,11170.0,603288
24,2014-03-17,5.15,5.322,5.392,5.141,14012.0,603288
25,2014-03-18,5.284,5.298,5.419,5.259,10885.0,603288
26,2014-03-19,5.413,5.286,5.546,5.201,20687.0,603288
27,2014-03-20,5.235,4.884,5.245,4.877,28325.0,603288
28,2014-03-21,4.88,5.042,5.052,4.814,13249.0,603288
29,2014-03-24,5.055,4.831,5.081,4.8,20429.0,603288
30,2014-03-25,5.15,5.07,5.244,4.951,26520.0,603288
31,2014-03-26,5.062,5.067,5.163,5.023,15710.0,603288
32,2014-03-27,5.116,4.932,5.116,4.931,14294.0,603288
33,2014-03-28,4.945,4.865,5.029,4.855,16518.0,603288
34,2014-03-31,4.881,4.83,5.008,4.812,21075.0,603288
35,2014-04-01,4.812,5.029,5.031,4.812,11199.0,603288
36,2014-04-02,5.015,5.193,5.295,4.961,21024.0,603288
37,2014-04-03,5.164,5.112,5.352,5.106,10872.0,603288
38,2014-04-04,5.117,5.168,5.233,5.081,6497.0,603288
39,2014-04-08,5.16,5.523,5.531,5.117,24227.0,603288
40,2014-04-09,5.541,5.514,5.558,5.365,15066.0,603288
41,2014-04-10,5.472,5.471,5.565,5.46,14048.0,603288
42,2014-04-11,5.386,5.693,5.824,5.386,27940.0,603288
43,2014-04-14,5.684,5.639,5.891,5.595,11313.0,603288
44,2014-04-15,5.7,5.446,5.703,5.399,14758.0,603288
45,2014-04-16,5.446,5.6,5.607,5.383,8355.0,603288
46,2014-04-17,5.601,5.516,5.73,5.514,6645.0,603288
47,2014-04-18,5.487,5.434,5.649,5.369,6546.0,603288
48,2014-04-21,5.394,5.365,5.539,5.338,11899.0,603288
49,2014-04-22,5.386,5.121,5.418,5.015,15158.0,603288
50,2014-04-23,5.121,5.141,5.237,5.082,10428.48,603288
51,2014-04-24,5.083,5.182,5.225,5.083,5076.0,603288
52,2014-04-25,5.216,5.021,5.252,5.017,8258.0,603288
53,2014-04-28,4.946,4.892,5.013,4.88,11361.0,603288
54,2014-04-29,4.88,4.88,4.951,4.819,9262.0,603288
55,2014-04-30,5.066,5.282,5.367,5.066,19161.0,603288
56,2014-05-05,5.27,5.458,5.565,5.27,18066.0,603288
57,2014-05-06,5.399,5.525,5.641,5.399,15378.0,603288
58,2014-05-07,5.485,5.46,5.649,5.379,9806.0,603288
59,2014-05-08,5.399,5.46,5.565,5.352,7459.0,603288
60,2014-05-09,5.495,5.375,5.507,5.311,6618.0,603288
61,2014-05-12,5.458,5.496,5.552,5.375,8955.0,603288
62,2014-05-13,5.554,5.696,5.782,5.489,19927.0,603288
63,2014-05-14,5.669,5.68,5.769,5.638,8064.0,603288
64,2014-05-15,5.631,5.886,6.092,5.623,30602.0,603288
65,2014-05-16,5.851,5.643,6.067,5.557,21936.0,603288
66,2014-05-19,5.689,5.417,5.819,5.365,21724.0,603288
67,2014-05-20,5.403,5.535,5.851,5.403,28783.0,603288
68,2014-05-21,5.419,5.303,5.438,5.096,52114.0,603288
69,2014-05-22,5.276,5.365,5.541,5.214,22200.0,603288
70,2014-05-23,5.392,5.463,5.541,5.311,14001.0,603288
71,2014-05-26,5.473,5.546,5.638,5.382,23074.0,603288
72,2014-05-27,5.5,5.371,5.546,5.352,22047.0,603288
73,2014-05-28,5.395,5.473,5.5,5.257,18821.0,603288
74,2014-05-29,5.473,5.503,5.635,5.43,20990.0,603288
75,2014-05-30,5.484,5.363,5.533,5.338,21695.0,603288
76,2014-06-03,5.363,5.355,5.454,5.284,12638.0,603288
77,2014-06-04,5.341,5.293,5.409,5.23,14170.0,603288
78,2014-06-05,5.271,5.284,5.349,5.204,12226.0,603288
79,2014-06-06,5.309,5.363,5.365,5.274,13964.0,603288
80,2014-06-09,5.363,5.252,5.395,5.198,13287.0,603288
81,2014-06-10,5.255,5.311,5.325,5.195,9320.0,603288
82,2014-06-11,5.311,5.376,5.392,5.239,16095.0,603288
83,2014-06-12,5.392,5.282,5.395,5.271,10115.0,603288
84,2014-06-13,5.257,5.317,5.365,5.244,16949.0,603288
85,2014-06-16,5.357,5.409,5.414,5.233,19359.0,603288
86,2014-06-17,5.365,5.29,5.446,5.284,18829.0,603288
87,2014-06-18,5.209,4.829,5.252,4.785,58460.0,603288
88,2014-06-19,4.823,4.667,4.823,4.529,43677.0,603288
89,2014-06-20,4.61,4.712,4.734,4.61,10122.0,603288
90,2014-06-23,4.721,4.904,5.055,4.721,23354.0,603288
91,2014-06-24,4.866,4.877,4.928,4.745,13259.0,603288
92,2014-06-25,4.874,4.961,5.055,4.815,12554.0,603288
