,date,open,close,high,low,volume,code
0,2000-01-04,-1.815,-1.754,-1.729,-1.846,17212.98,600690
1,2000-01-05,-1.752,-1.787,-1.721,-1.793,17666.32,600690
2,2000-01-06,-1.792,-1.61,-1.61,-1.803,41423.68,600690
3,2000-01-07,-1.447,-1.416,-1.416,-1.46,187438.92,600690
4,2000-01-10,-1.202,-1.268,-1.202,-1.321,318600.92,600690
5,2000-01-11,-1.268,-1.417,-1.268,-1.436,112992.01,600690
6,2000-01-12,-1.426,-1.468,-1.365,-1.498,122861.84,600690
7,2000-01-13,-1.468,-1.573,-1.447,-1.589,64622.77,600690
8,2000-01-14,-1.57,-1.621,-1.539,-1.628,41322.02,600690
9,2000-01-17,-1.62,-1.57,-1.546,-1.649,30928.55,600690
10,2000-01-18,-1.563,-1.652,-1.555,-1.659,32472.77,600690
11,2000-01-19,-1.657,-1.616,-1.564,-1.657,21008.32,600690
12,2000-01-20,-1.616,-1.542,-1.5,-1.634,36841.78,600690
13,2000-01-21,-1.537,-1.536,-1.437,-1.568,56931.46,600690
14,2000-01-24,-1.54,-1.531,-1.479,-1.576,33351.56,600690
15,2000-01-25,-1.518,-1.552,-1.491,-1.571,24954.05,600690
16,2000-01-26,-1.552,-1.586,-1.526,-1.6,18284.32,600690
17,2000-01-27,-1.591,-1.531,-1.489,-1.593,28582.41,600690
18,2000-01-28,-1.529,-1.451,-1.368,-1.558,78949.26,600690
19,2000-02-14,-1.342,-1.241,-1.241,-1.386,99954.24,600690
20,2000-02-15,-1.184,-1.279,-1.034,-1.342,175558.98,600690
21,2000-02-16,-1.31,-1.342,-1.213,-1.389,88589.35,600690
22,2000-02-17,-1.313,-1.517,-1.237,-1.542,104194.33,600690
23,2000-02-18,-1.544,-1.469,-1.448,-1.552,39311.19,600690
24,2000-02-21,-1.466,-1.342,-1.262,-1.521,100238.06,600690
25,2000-02-22,-1.342,-1.465,-1.316,-1.5,48473.46,600690
26,2000-02-23,-1.479,-1.486,-1.448,-1.5,26822.47,600690
27,2000-02-24,-1.481,-1.44,-1.389,-1.481,21744.37,600690
28,2000-02-25,-1.428,-1.464,-1.421,-1.481,20900.0,600690
29,2000-02-28,-1.464,-1.374,-1.321,-1.5,51095.19,600690
30,2000-02-29,-1.352,-1.156,-1.156,-1.452,334041.81,600690
31,2000-03-01,-1.028,-1.226,-0.942,-1.237,370837.44,600690
32,2000-03-02,-1.239,-1.237,-1.165,-1.321,109935.6,600690
33,2000-03-03,-1.184,-1.005,-1.005,-1.2,262935.45,600690
34,2000-03-06,-0.816,-1.025,-0.805,-1.026,428439.65,600690
35,2000-03-07,-1.047,-0.773,-0.773,-1.077,334093.14,600690
36,2000-03-08,-0.771,-0.835,-0.711,-0.884,180605.26,600690
37,2000-03-09,-0.563,-0.847,-0.563,-0.873,161527.07,600690
38,2000-03-10,-0.837,-0.975,-0.805,-0.984,132292.64,600690
39,2000-03-13,-0.976,-0.963,-0.902,-1.023,59790.57,600690
40,2000-03-14,-1.1,-1.125,-1.016,-1.222,138613.53,600690
41,2000-03-15,-1.132,-1.228,-1.132,-1.236,65694.41,600690
42,2000-03-16,-1.238,-1.397,-1.238,-1.446,78656.52,600690
43,2000-03-17,-1.426,-1.268,-1.237,-1.436,77842.48,600690
44,2000-03-20,-1.294,-1.258,-1.213,-1.342,56615.12,600690
45,2000-03-21,-1.258,-1.289,-1.247,-1.313,39381.9,600690
46,2000-03-22,-1.289,-1.249,-1.174,-1.289,44205.34,600690
47,2000-03-23,-1.236,-1.251,-1.216,-1.3,39487.0,600690
48,2000-03-24,-1.239,-1.253,-1.154,-1.267,54311.56,600690
49,2000-03-27,-1.254,-1.237,-1.226,-1.28,36043.05,600690
50,2000-03-28,-1.237,-1.243,-1.205,-1.279,33298.49,600690
51,2000-03-29,-1.238,-1.202,-1.142,-1.246,43895.54,600690
52,2000-03-30,-1.144,-1.132,-1.079,-1.195,47104.59,600690
53,2000-03-31,-1.132,-1.186,-1.11,-1.205,32797.81,600690
54,2000-04-03,-1.197,-1.253,-1.189,-1.258,27261.27,600690
55,2000-04-04,-1.258,-1.285,-1.253,-1.302,25615.31,600690
