,date,open,close,high,low,volume,code
0,2000-01-07,-2.672,-2.672,-2.672,-2.672,2234.0,600837
1,2000-01-14,-2.686,-2.686,-2.686,-2.686,800.0,600837
2,2000-01-21,-2.701,-2.701,-2.701,-2.701,1203.0,600837
3,2000-01-28,-2.717,-2.717,-2.717,-2.717,1217.0,600837
4,2000-02-18,-2.733,-2.733,-2.733,-2.733,2277.0,600837
5,2000-02-25,-2.749,-2.749,-2.749,-2.749,3345.0,600837
6,2000-03-03,-2.734,-2.734,-2.734,-2.734,1664.4,600837
7,2000-03-10,-2.719,-2.719,-2.719,-2.719,1446.0,600837
8,2000-03-17,-2.703,-2.703,-2.703,-2.703,1455.4,600837
9,2000-03-24,-2.687,-2.687,-2.687,-2.687,4471.63,600837
10,2000-03-31,-2.69,-2.69,-2.69,-2.69,5411.0,600837
11,2000-04-07,-2.708,-2.708,-2.708,-2.708,4071.0,600837
12,2000-04-14,-2.724,-2.724,-2.724,-2.724,11417.0,600837
13,2000-04-21,-2.715,-2.715,-2.715,-2.715,15984.0,600837
14,2000-04-28,-2.698,-2.698,-2.698,-2.698,7333.0,600837
15,2000-05-12,-2.715,-2.715,-2.715,-2.715,2063.0,600837
16,2000-05-19,-2.731,-2.731,-2.731,-2.731,2277.0,600837
17,2000-05-26,-2.747,-2.747,-2.747,-2.747,5759.0,600837
18,2000-06-02,-2.761,-2.761,-2.761,-2.761,8082.0,600837
19,2000-06-09,-2.761,-2.761,-2.761,-2.761,6636.8,600837
20,2000-06-16,-2.747,-2.747,-2.747,-2.747,4038.71,600837
21,2000-06-23,-2.782,-2.782,-2.782,-2.782,3939.0,600837
22,2000-06-30,-2.782,-2.782,-2.782,-2.782,5765.0,600837
23,2000-07-07,-2.77,-2.77,-2.77,-2.77,2346.69,600837
24,2000-07-14,-2.757,-2.757,-2.757,-2.757,2193.41,600837
25,2000-07-21,-2.743,-2.743,-2.743,-2.743,2585.0,600837
26,2000-07-28,-2.728,-2.728,-2.728,-2.728,2256.6,600837
27,2000-08-04,-2.712,-2.712,-2.712,-2.712,2965.3,600837
28,2000-08-11,-2.701,-2.701,-2.701,-2.701,3167.0,600837
29,2000-08-18,-2.694,-2.694,-2.694,-2.694,4218.43,600837
30,2000-08-25,-2.687,-2.687,-2.687,-2.687,5672.0,600837
31,2000-09-01,-2.69,-2.69,-2.69,-2.69,3612.0,600837
32,2000-09-08,-2.701,-2.701,-2.701,-2.701,3633.0,600837
33,2000-09-15,-2.701,-2.701,-2.701,-2.701,4063.0,600837
34,2000-09-22,-2.701,-2.701,-2.701,-2.701,2672.0,600837
35,2000-09-29,-2.684,-2.684,-2.684,-2.684,2986.0,600837
36,2000-10-13,-2.667,-2.667,-2.667,-2.667,2167.6,600837
