,date,open,close,high,low,volume,code
0,2001-05-18,0.036,0.407,0.592,-0.014,213989.7,600588
1,2001-05-21,0.311,0.266,0.357,0.256,53643.61,600588
2,2001-05-22,0.256,0.271,0.311,0.254,15656.43,600588
3,2001-05-23,0.283,0.337,0.337,0.272,19717.21,600588
4,2001-05-24,0.349,0.22,0.353,0.214,21190.35,600588
5,2001-05-25,0.209,0.156,0.24,0.153,22030.64,600588
6,2001-05-28,0.153,0.156,0.184,0.14,8075.68,600588
7,2001-05-29,0.152,0.11,0.17,0.105,11335.5,600588
8,2001-05-30,0.11,0.164,0.169,0.094,7616.4,600588
9,2001-05-31,0.165,0.121,0.168,0.108,6006.12,600588
10,2001-06-01,0.121,0.166,0.167,0.108,4383.12,600588
11,2001-06-04,0.156,0.149,0.165,0.136,2341.0,600588
12,2001-06-05,0.151,0.147,0.187,0.142,2807.79,600588
13,2001-06-06,0.147,0.124,0.152,0.114,4808.24,600588
14,2001-06-07,0.119,0.099,0.135,0.094,4940.57,600588
15,2001-06-08,0.098,0.11,0.122,0.094,2380.18,600588
16,2001-06-11,0.113,0.074,0.113,0.068,6190.81,600588
17,2001-06-12,0.073,0.06,0.082,0.057,5007.46,600588
18,2001-06-13,0.061,0.14,0.14,0.061,8229.85,600588
19,2001-06-14,0.128,0.086,0.139,0.084,7442.24,600588
20,2001-06-15,0.079,0.138,0.186,0.071,13991.89,600588
21,2001-06-18,0.151,0.133,0.152,0.111,3353.53,600588
22,2001-06-19,0.133,0.143,0.175,0.129,4544.35,600588
23,2001-06-20,0.145,0.105,0.159,0.094,2415.86,600588
24,2001-06-21,0.103,0.12,0.135,0.099,3475.79,600588
25,2001-06-22,0.119,0.11,0.14,0.103,2645.18,600588
26,2001-06-25,0.109,0.105,0.116,0.101,2721.37,600588
27,2001-06-26,0.104,0.108,0.133,0.101,2324.61,600588
28,2001-06-27,0.108,0.105,0.126,0.102,1959.1,600588
29,2001-06-28,0.102,0.08,0.105,0.07,4447.3,600588
30,2001-06-29,0.082,0.081,0.091,0.072,2477.72,600588
31,2001-07-02,0.072,0.075,0.096,0.07,1188.94,600588
32,2001-07-03,0.076,0.082,0.086,0.07,1113.98,600588
33,2001-07-04,0.08,0.103,0.117,0.077,3528.71,600588
34,2001-07-05,0.101,0.127,0.156,0.097,12886.48,600588
35,2001-07-06,0.131,0.114,0.139,0.105,1485.04,600588
36,2001-07-09,0.112,0.089,0.128,0.079,1812.46,600588
37,2001-07-10,0.084,0.091,0.105,0.082,1295.34,600588
38,2001-07-11,0.094,0.101,0.11,0.079,1535.48,600588
39,2001-07-12,0.1,0.083,0.1,0.08,763.58,600588
40,2001-07-13,0.094,0.091,0.108,0.082,1334.72,600588
41,2001-07-16,0.102,0.069,0.112,0.061,2231.04,600588
42,2001-07-17,0.066,0.018,0.081,0.008,4790.29,600588
43,2001-07-18,0.015,0.028,0.029,0.012,2085.35,600588
44,2001-07-19,0.028,0.019,0.031,0.011,799.0,600588
