,date,open,close,high,low,volume,code
0,2008-04-25,5.303,7.93,13.317,5.057,9715341.7,601899
1,2008-04-28,7.003,7.003,7.003,7.003,91928.0,601899
2,2008-04-29,6.17,6.17,6.17,6.17,77943.0,601899
3,2008-04-30,5.523,5.657,6.117,5.417,5927655.01,601899
4,2008-05-05,5.85,6.357,6.357,5.657,3700137.39,601899
5,2008-05-06,6.343,6.283,6.75,6.223,3910839.55,601899
6,2008-05-07,6.143,5.997,6.243,5.823,1966006.86,601899
7,2008-05-08,5.917,6.177,6.223,5.717,1544381.17,601899
8,2008-05-09,6.183,5.81,6.183,5.523,1540822.04,601899
9,2008-05-12,5.55,5.797,6.017,5.337,1290839.72,601899
10,2008-05-13,5.457,5.55,5.75,5.457,1066784.74,601899
11,2008-05-14,5.463,5.73,5.883,5.463,1168704.57,601899
12,2008-05-15,5.717,5.577,5.89,5.557,886262.89,601899
13,2008-05-16,5.583,5.55,5.683,5.463,583375.28,601899
14,2008-05-19,5.683,5.63,5.763,5.55,541396.87,601899
15,2008-05-20,5.65,5.243,5.75,5.23,641488.36,601899
16,2008-05-21,5.183,5.19,5.33,4.863,833868.03,601899
17,2008-05-22,5.25,5.357,5.377,5.117,716855.5,601899
18,2008-05-23,5.243,5.037,5.29,4.93,527046.24,601899
19,2008-05-26,5.01,4.703,5.01,4.683,490580.69,601899
20,2008-05-27,4.657,4.777,4.87,4.657,377202.57,601899
21,2008-05-28,4.717,4.763,4.83,4.597,630645.46,601899
22,2008-05-29,4.717,4.497,4.75,4.477,567923.82,601899
23,2008-05-30,4.417,4.423,4.443,4.263,613153.46,601899
24,2008-06-02,4.423,5.003,5.003,4.363,985664.56,601899
25,2008-06-03,5.07,4.943,5.31,4.863,1784183.68,601899
26,2008-06-04,4.783,4.737,4.963,4.65,545298.11,601899
27,2008-06-05,4.67,4.823,4.983,4.617,524220.13,601899
28,2008-06-06,4.777,4.77,4.903,4.717,283153.79,601899
29,2008-06-10,4.557,4.163,4.597,4.157,547062.52,601899
30,2008-06-11,4.083,4.017,4.137,3.917,384043.24,601899
31,2008-06-12,4.023,4.183,4.197,3.89,508835.59,601899
32,2008-06-13,4.117,3.87,4.15,3.85,314257.34,601899
33,2008-06-16,3.877,3.697,3.97,3.63,299419.28,601899
34,2008-06-17,3.69,3.83,4.137,3.603,557979.82,601899
35,2008-06-18,3.73,4.11,4.183,3.657,715917.27,601899
36,2008-06-19,4.017,3.563,4.043,3.563,566948.26,601899
37,2008-06-23,3.623,3.75,3.95,3.577,530563.76,601899
38,2008-06-24,3.617,3.823,3.883,3.577,415386.44,601899
39,2008-06-25,3.77,4.05,4.183,3.75,628184.61,601899
40,2008-06-26,4.01,4.123,4.29,3.957,669035.37,601899
41,2008-06-27,3.943,3.977,4.45,3.917,865515.4,601899
42,2008-06-30,4.017,3.85,4.083,3.717,356947.9,601899
43,2008-07-01,3.883,3.743,3.95,3.69,218409.14,601899
44,2008-07-02,3.817,3.903,4.01,3.75,362624.53,601899
45,2008-07-03,3.917,4.157,4.25,3.85,750974.67,601899
46,2008-07-04,4.023,3.977,4.11,3.897,471820.69,601899
47,2008-07-07,3.963,4.17,4.217,3.883,589621.79,601899
48,2008-07-08,4.183,4.21,4.303,4.103,580646.88,601899
49,2008-07-09,4.21,4.623,4.757,4.117,1201814.25,601899
50,2008-07-10,4.45,4.397,4.703,4.39,892523.75,601899
51,2008-07-11,4.483,4.523,4.65,4.39,602906.02,601899
52,2008-07-14,4.603,4.703,4.77,4.597,652602.27,601899
53,2008-07-15,4.79,4.43,4.843,4.397,615982.54,601899
54,2008-07-16,4.257,4.143,4.37,3.963,463163.03,601899
55,2008-07-17,4.183,4.037,4.243,4.003,303685.03,601899
56,2008-07-18,4.103,4.183,4.21,3.97,294476.77,601899
57,2008-07-21,4.163,4.257,4.297,3.95,533459.23,601899
58,2008-07-22,4.23,4.27,4.437,4.163,412393.49,601899
59,2008-07-23,4.19,4.13,4.257,4.07,423433.75,601899
60,2008-07-24,4.043,4.143,4.197,4.01,418640.75,601899
61,2008-07-25,4.03,3.963,4.077,3.75,2095282.8,601899
62,2008-07-28,3.943,3.943,3.997,3.897,770853.06,601899
63,2008-07-29,3.957,3.87,4.003,3.817,662353.42,601899
64,2008-07-30,3.897,3.837,3.923,3.777,586700.94,601899
65,2008-07-31,3.85,3.723,3.857,3.697,410704.55,601899
66,2008-08-01,3.69,3.71,3.797,3.617,531660.8,601899
67,2008-08-04,3.677,3.51,3.677,3.503,418381.59,601899
68,2008-08-05,3.477,3.177,3.51,3.103,652294.83,601899
69,2008-08-06,3.117,3.057,3.197,2.957,509443.29,601899
70,2008-08-07,3.057,3.023,3.063,2.89,391485.6,601899
71,2008-08-08,3.01,2.723,3.01,2.71,423167.21,601899
72,2008-08-11,2.697,2.33,2.697,2.323,539864.27,601899
73,2008-08-12,2.21,2.243,2.357,2.163,353092.51,601899
74,2008-08-13,2.21,2.363,2.397,2.117,556085.95,601899
