,date,open,close,high,low,volume,code
0,2000-01-04,1.444,1.487,1.502,1.406,2325.06,600893
1,2000-01-05,1.492,1.487,1.53,1.454,4901.63,600893
2,2000-01-06,1.459,1.568,1.573,1.454,4637.2,600893
3,2000-01-07,1.549,1.673,1.682,1.549,11379.67,600893
4,2000-01-10,1.692,1.682,1.725,1.597,12627.31,600893
5,2000-01-11,1.692,1.53,1.711,1.506,10454.3,600893
6,2000-01-12,1.53,1.473,1.549,1.449,7941.39,600893
7,2000-01-13,1.502,1.463,1.511,1.463,3469.53,600893
8,2000-01-14,1.473,1.497,1.525,1.454,3890.79,600893
9,2000-01-17,1.482,1.468,1.482,1.444,3437.11,600893
10,2000-01-18,1.463,1.416,1.478,1.406,6537.6,600893
11,2000-01-19,1.416,1.44,1.492,1.397,3641.44,600893
12,2000-01-20,1.44,1.487,1.487,1.406,8295.8,600893
13,2000-01-21,1.516,1.449,1.525,1.43,8624.99,600893
14,2000-01-24,1.43,1.406,1.444,1.363,10349.81,600893
15,2000-01-25,1.411,1.435,1.449,1.387,5980.08,600893
16,2000-01-26,1.44,1.421,1.463,1.406,4426.37,600893
17,2000-01-27,1.421,1.392,1.449,1.382,11654.96,600893
18,2000-01-28,1.382,1.435,1.435,1.311,15766.89,600893
19,2000-02-14,1.482,1.706,1.721,1.444,18293.83,600893
20,2000-02-15,1.73,1.544,1.74,1.53,23291.79,600893
21,2000-02-16,1.54,1.525,1.54,1.444,18166.74,600893
22,2000-02-17,1.535,1.587,1.692,1.525,37637.31,600893
23,2000-02-18,1.587,1.497,1.597,1.454,10691.33,600893
24,2000-02-21,1.502,1.611,1.621,1.454,21817.2,600893
25,2000-02-22,1.635,1.502,1.64,1.502,12526.36,600893
26,2000-02-23,1.492,1.521,1.573,1.487,9841.94,600893
27,2000-02-24,1.521,1.502,1.525,1.468,7490.83,600893
28,2000-02-25,1.482,1.473,1.502,1.454,8474.28,600893
29,2000-02-28,1.473,1.544,1.563,1.454,12382.08,600893
30,2000-02-29,1.549,1.621,1.668,1.516,24217.02,600893
31,2000-03-01,1.64,1.644,1.678,1.559,26978.88,600893
32,2000-03-02,1.644,1.649,1.706,1.597,19062.5,600893
33,2000-03-03,1.692,1.716,1.825,1.682,48625.37,600893
34,2000-03-06,1.744,1.663,1.854,1.649,42003.27,600893
35,2000-03-07,1.644,1.635,1.692,1.592,12692.22,600893
36,2000-03-08,1.654,1.687,1.74,1.644,13566.85,600893
37,2000-03-09,1.663,1.635,1.706,1.606,12992.88,600893
38,2000-03-10,1.635,1.582,1.635,1.578,11882.12,600893
39,2000-03-13,1.582,1.621,1.635,1.578,8988.75,600893
40,2000-03-14,1.597,1.592,1.621,1.535,11576.96,600893
41,2000-03-15,1.597,1.692,1.74,1.597,17272.47,600893
42,2000-03-16,1.692,1.544,1.697,1.54,9552.41,600893
43,2000-03-17,1.544,1.592,1.625,1.53,8445.45,600893
44,2000-03-20,1.602,1.692,1.716,1.573,18033.37,600893
45,2000-03-21,1.702,1.763,1.811,1.682,28924.65,600893
46,2000-03-22,1.763,1.716,1.763,1.644,14390.11,600893
47,2000-03-23,1.716,1.925,1.992,1.659,73018.45,600893
48,2000-03-24,1.93,1.797,1.93,1.797,56187.51,600893
49,2000-03-27,1.811,1.959,2.006,1.811,63355.79,600893
50,2000-03-28,1.978,2.035,2.063,1.925,59641.05,600893
51,2000-03-29,2.049,1.897,2.063,1.825,40418.19,600893
52,2000-03-30,1.887,1.959,1.968,1.882,31418.25,600893
53,2000-03-31,1.959,1.868,1.959,1.84,25155.35,600893
54,2000-04-03,1.882,1.887,1.959,1.882,21741.28,600893
55,2000-04-04,1.882,1.763,1.882,1.749,21516.35,600893
56,2000-04-05,1.749,1.816,1.825,1.744,12000.06,600893
57,2000-04-06,1.816,1.863,1.868,1.816,14457.36,600893
58,2000-04-07,1.882,1.93,1.944,1.882,22724.91,600893
59,2000-04-10,1.954,1.987,2.049,1.954,44525.75,600893
60,2000-04-11,1.982,1.921,1.992,1.916,23639.49,600893
61,2000-04-12,1.906,1.887,1.94,1.84,15538.27,600893
62,2000-04-13,1.887,1.982,2.025,1.887,36370.85,600893
63,2000-04-14,1.835,1.878,1.954,1.835,27695.52,600893
64,2000-04-17,1.878,2.097,2.149,1.849,55979.31,600893
65,2000-04-18,2.073,2.13,2.23,1.982,86775.73,600893
66,2000-04-19,2.121,2.106,2.225,2.082,58016.46,600893
67,2000-04-20,2.111,2.24,2.287,2.087,73316.28,600893
68,2000-04-21,2.24,2.182,2.335,2.154,50072.41,600893
69,2000-04-24,2.187,2.102,2.24,2.063,33156.99,600893
70,2000-04-25,2.111,2.149,2.273,2.082,28683.34,600893
71,2000-04-26,2.149,2.106,2.24,2.087,15315.31,600893
72,2000-04-27,2.121,1.982,2.144,1.968,23395.01,600893
73,2000-04-28,1.982,2.002,2.03,1.93,19277.24,600893
74,2000-05-08,2.006,2.035,2.049,1.978,12673.37,600893
75,2000-05-09,2.049,1.921,2.063,1.906,11063.49,600893
76,2000-05-10,1.902,1.763,1.902,1.759,14403.0,600893
77,2000-05-11,1.763,1.763,1.835,1.744,10704.16,600893
78,2000-05-12,1.773,1.682,1.811,1.668,12402.99,600893
79,2000-05-15,1.668,1.702,1.74,1.668,6326.47,600893
80,2000-05-16,1.73,1.735,1.763,1.716,4451.59,600893
81,2000-05-17,1.74,1.725,1.802,1.702,5494.25,600893
82,2000-05-18,1.763,1.782,1.787,1.706,6815.8,600893
83,2000-05-19,1.787,1.849,1.863,1.778,14552.75,600893
84,2000-05-22,1.854,1.916,1.935,1.849,15291.49,600893
85,2000-05-23,1.93,1.897,1.94,1.859,12806.45,600893
86,2000-05-24,1.93,1.935,1.973,1.906,13036.09,600893
87,2000-05-25,1.94,2.035,2.063,1.935,27128.82,600893
88,2000-05-26,2.073,1.992,2.111,1.992,23358.77,600893
89,2000-05-29,2.016,2.059,2.116,2.011,22217.78,600893
90,2000-05-30,2.063,1.954,2.097,1.93,17123.55,600893
91,2000-05-31,1.954,1.973,2.011,1.93,11855.23,600893
92,2000-06-01,1.978,2.063,2.073,1.973,15662.59,600893
93,2000-06-02,2.082,2.24,2.302,2.054,81461.84,600893
94,2000-06-05,2.273,2.202,2.406,2.144,72515.84,600893
95,2000-06-06,2.206,2.249,2.282,2.144,30277.48,600893
96,2000-06-07,2.263,2.492,2.525,2.216,115043.33,600893
97,2000-06-08,2.492,2.578,2.635,2.397,76311.02,600893
98,2000-06-09,2.578,2.354,2.602,2.34,52086.55,600893
99,2000-06-12,2.359,2.721,2.74,2.359,105862.63,600893
100,2000-06-13,2.873,2.735,2.882,2.597,109689.44,600893
101,2000-06-14,2.773,2.635,2.787,2.611,66689.81,600893
102,2000-06-16,2.502,2.411,2.63,2.335,44117.22,600893
103,2000-06-19,2.378,2.378,2.478,2.34,30221.91,600893
104,2000-06-20,2.378,2.387,2.459,2.344,21147.72,600893
105,2000-06-21,2.387,2.421,2.43,2.349,15567.98,600893
106,2000-06-22,2.421,2.463,2.573,2.406,23815.05,600893
107,2000-06-23,2.487,2.544,2.587,2.482,22482.02,600893
108,2000-06-26,2.221,2.159,2.397,2.14,88481.41,600893
109,2000-06-27,2.073,2.202,2.23,2.035,47731.4,600893
110,2000-06-28,2.216,2.13,2.235,2.097,27186.39,600893
111,2000-06-29,2.121,2.016,2.13,2.011,31790.08,600893
112,2000-06-30,2.016,2.025,2.073,2.002,16794.6,600893
113,2000-07-03,2.016,1.925,2.021,1.921,17101.9,600893
114,2000-07-04,1.911,2.035,2.044,1.902,11827.34,600893
115,2000-07-05,2.035,2.011,2.044,2.002,10177.26,600893
116,2000-07-06,2.011,1.944,2.025,1.93,8602.2,600893
117,2000-07-07,1.978,2.035,2.04,1.944,10209.3,600893
118,2000-07-10,2.049,2.116,2.13,2.016,15799.8,600893
119,2000-07-11,2.116,2.044,2.13,2.025,12294.0,600893
120,2000-07-12,2.04,2.068,2.121,2.006,14164.7,600893
121,2000-07-13,2.082,2.092,2.149,2.063,16032.69,600893
122,2000-07-14,2.102,2.044,2.121,2.025,10035.71,600893
123,2000-07-17,2.044,1.987,2.044,1.968,12166.68,600893
124,2000-07-18,2.002,2.054,2.063,1.954,8533.89,600893
125,2000-07-19,2.035,2.063,2.082,2.006,9606.51,600893
126,2000-07-20,2.097,2.216,2.254,2.092,40149.81,600893
127,2000-07-21,2.216,2.206,2.24,2.163,17496.31,600893
128,2000-07-24,2.216,2.249,2.302,2.192,17926.45,600893
129,2000-07-25,2.254,2.221,2.268,2.206,10459.72,600893
130,2000-07-26,2.221,2.311,2.34,2.206,23054.51,600893
131,2000-07-27,2.325,2.225,2.349,2.192,19114.76,600893
132,2000-07-28,2.254,2.287,2.316,2.216,23762.04,600893
133,2000-07-31,2.273,2.406,2.406,2.268,37366.19,600893
134,2000-08-01,2.411,2.359,2.473,2.321,24434.69,600893
135,2000-08-02,2.359,2.335,2.382,2.306,17673.66,600893
136,2000-08-03,2.311,2.292,2.378,2.292,19983.25,600893
137,2000-08-04,2.292,2.202,2.311,2.197,20382.38,600893
138,2000-08-07,2.202,2.406,2.421,2.192,20486.68,600893
139,2000-08-08,2.43,2.43,2.478,2.387,36900.24,600893
140,2000-08-09,2.43,2.397,2.468,2.373,21249.05,600893
141,2000-08-10,2.397,2.349,2.406,2.306,20358.94,600893
142,2000-08-11,2.373,2.463,2.473,2.349,28519.72,600893
143,2000-08-14,2.468,2.492,2.544,2.406,35215.25,600893
144,2000-08-15,2.492,2.54,2.573,2.468,40646.09,600893
145,2000-08-16,2.549,2.516,2.573,2.482,16266.77,600893
146,2000-08-17,2.516,2.478,2.549,2.454,18586.49,600893
147,2000-08-18,2.478,2.587,2.592,2.468,32934.98,600893
148,2000-08-21,2.682,2.787,2.83,2.644,102406.46,600893
149,2000-08-22,2.802,2.616,2.844,2.597,48714.73,600893
150,2000-08-23,2.597,2.559,2.692,2.321,57051.5,600893
151,2000-08-24,2.549,2.602,2.659,2.492,35291.33,600893
152,2000-08-25,2.616,2.763,2.787,2.616,44180.02,600893
153,2000-08-28,2.787,2.806,2.811,2.692,36569.79,600893
154,2000-08-29,2.811,2.763,2.816,2.735,24994.56,600893
155,2000-08-30,2.778,2.635,2.787,2.625,24542.48,600893
156,2000-08-31,2.587,2.463,2.611,2.454,33202.16,600893
