,date,open,close,high,low,volume,code
0,2001-08-27,-162.749,-162.626,-162.362,-162.946,406318.0,600519
1,2001-08-28,-162.692,-162.471,-162.454,-162.737,129647.79,600519
2,2001-08-29,-162.456,-162.528,-162.454,-162.561,53252.75,600519
3,2001-08-30,-162.539,-162.442,-162.394,-162.573,48013.06,600519
4,2001-08-31,-162.436,-162.453,-162.381,-162.478,23231.48,600519
5,2001-09-03,-162.43,-162.455,-162.387,-162.472,22112.09,600519
6,2001-09-04,-162.453,-162.4,-162.326,-162.468,37006.77,600519
7,2001-09-05,-162.382,-162.402,-162.345,-162.429,26066.95,600519
8,2001-09-06,-162.413,-162.49,-162.398,-162.512,28997.03,600519
9,2001-09-07,-162.513,-162.61,-162.46,-162.614,31552.25,600519
10,2001-09-10,-162.644,-162.49,-162.472,-162.69,18878.89,600519
11,2001-09-11,-162.478,-162.538,-162.46,-162.549,11390.81,600519
12,2001-09-12,-162.652,-162.575,-162.549,-162.655,25045.19,600519
13,2001-09-13,-162.571,-162.586,-162.537,-162.608,10986.68,600519
14,2001-09-14,-162.571,-162.537,-162.513,-162.596,7672.83,600519
15,2001-09-17,-162.563,-162.591,-162.538,-162.632,8983.97,600519
16,2001-09-18,-162.587,-162.543,-162.507,-162.59,10773.26,600519
17,2001-09-19,-162.537,-162.464,-162.464,-162.565,8650.53,600519
18,2001-09-20,-162.466,-162.5,-162.448,-162.513,11173.35,600519
19,2001-09-21,-162.539,-162.565,-162.501,-162.573,7879.72,600519
20,2001-09-24,-162.565,-162.567,-162.526,-162.573,4068.6,600519
21,2001-09-25,-162.539,-162.545,-162.509,-162.567,3488.45,600519
22,2001-09-26,-162.56,-162.563,-162.516,-162.573,4956.26,600519
23,2001-09-27,-162.563,-162.49,-162.456,-162.573,8778.04,600519
24,2001-09-28,-162.466,-162.443,-162.43,-162.513,17088.47,600519
25,2001-10-08,-162.454,-162.504,-162.433,-162.543,6552.17,600519
26,2001-10-09,-162.501,-162.419,-162.395,-162.501,9558.52,600519
27,2001-10-10,-162.419,-162.561,-162.403,-162.569,17548.69,600519
28,2001-10-11,-162.571,-162.602,-162.513,-162.614,12306.84,600519
29,2001-10-12,-162.584,-162.573,-162.496,-162.804,20010.7,600519
30,2001-10-15,-162.584,-162.655,-162.573,-162.703,9755.31,600519
31,2001-10-16,-162.676,-162.715,-162.596,-162.721,8319.91,600519
32,2001-10-17,-162.716,-162.786,-162.714,-162.821,12507.68,600519
33,2001-10-18,-162.786,-162.805,-162.731,-162.82,4983.46,600519
34,2001-10-19,-162.809,-162.869,-162.792,-162.927,15687.54,600519
35,2001-10-22,-162.892,-162.953,-162.845,-162.963,9760.65,600519
