,date,open,close,high,low,volume,code
0,2004-03-02,-3.641,-3.715,-3.612,-3.749,314679.65,600438
1,2004-03-03,-3.738,-3.748,-3.713,-3.762,92572.58,600438
2,2004-03-04,-3.753,-3.744,-3.726,-3.77,59338.21,600438
3,2004-03-05,-3.749,-3.765,-3.719,-3.77,52101.58,600438
4,2004-03-08,-3.767,-3.789,-3.765,-3.808,52856.23,600438
5,2004-03-09,-3.792,-3.773,-3.769,-3.8,35690.55,600438
6,2004-03-10,-3.77,-3.769,-3.756,-3.79,37495.38,600438
7,2004-03-11,-3.771,-3.769,-3.752,-3.783,34715.16,600438
8,2004-03-12,-3.769,-3.778,-3.763,-3.79,24378.47,600438
9,2004-03-15,-3.781,-3.773,-3.77,-3.794,27641.25,600438
10,2004-03-16,-3.77,-3.756,-3.743,-3.781,34649.53,600438
11,2004-03-17,-3.738,-3.749,-3.729,-3.759,34035.64,600438
12,2004-03-18,-3.738,-3.784,-3.738,-3.795,32444.39,600438
13,2004-03-19,-3.79,-3.777,-3.775,-3.807,21982.55,600438
14,2004-03-22,-3.782,-3.782,-3.759,-3.79,19338.37,600438
15,2004-03-23,-3.791,-3.796,-3.783,-3.804,18947.35,600438
16,2004-03-24,-3.796,-3.798,-3.789,-3.807,15296.17,600438
17,2004-03-25,-3.798,-3.788,-3.786,-3.807,13723.59,600438
18,2004-03-26,-3.792,-3.8,-3.781,-3.801,9306.54,600438
19,2004-03-29,-3.803,-3.823,-3.798,-3.825,14759.53,600438
20,2004-03-30,-3.825,-3.811,-3.807,-3.829,13147.43,600438
21,2004-03-31,-3.811,-3.816,-3.794,-3.821,16954.67,600438
22,2004-04-01,-3.816,-3.791,-3.783,-3.825,24770.81,600438
23,2004-04-02,-3.791,-3.795,-3.787,-3.8,11213.76,600438
24,2004-04-05,-3.794,-3.79,-3.79,-3.805,16437.51,600438
25,2004-04-06,-3.79,-3.78,-3.773,-3.79,15072.78,600438
26,2004-04-07,-3.778,-3.799,-3.773,-3.802,14480.4,600438
27,2004-04-08,-3.798,-3.814,-3.793,-3.816,14337.16,600438
28,2004-04-09,-3.807,-3.825,-3.805,-3.827,15433.53,600438
29,2004-04-12,-3.827,-3.846,-3.827,-3.851,15924.62,600438
30,2004-04-13,-3.843,-3.849,-3.827,-3.852,10504.87,600438
31,2004-04-14,-3.846,-3.888,-3.84,-3.902,17802.4,600438
32,2004-04-15,-3.89,-3.941,-3.881,-3.95,19420.41,600438
33,2004-04-16,-3.941,-3.927,-3.926,-3.968,21658.51,600438
34,2004-04-19,-3.921,-3.973,-3.92,-3.975,9564.27,600438
35,2004-04-20,-3.971,-3.949,-3.943,-3.971,11336.35,600438
36,2004-04-21,-3.949,-3.951,-3.938,-3.961,6058.55,600438
37,2004-04-23,-3.977,-4.008,-3.961,-4.02,10882.9,600438
38,2004-04-26,-4.012,-4.031,-4.006,-4.059,13888.71,600438
