,date,open,close,high,low,volume,code
0,2000-01-04,7.236,7.376,7.411,7.236,1673.2,600745
1,2000-01-05,7.411,7.428,7.551,7.393,1716.06,600745
2,2000-01-06,7.411,7.629,7.656,7.236,2966.3,600745
3,2000-01-07,7.673,8.101,8.11,7.664,5819.73,600745
4,2000-01-10,8.092,8.18,8.293,7.76,7669.3,600745
5,2000-01-11,8.153,7.594,8.153,7.594,5178.5,600745
6,2000-01-12,6.799,6.782,6.887,6.782,5931.0,600745
7,2000-01-13,6.284,6.502,6.598,6.232,19464.59,600745
8,2000-01-14,6.424,6.258,6.45,6.232,8035.94,600745
9,2000-01-17,6.24,6.066,6.275,5.961,8713.51,600745
10,2000-01-18,6.022,6.179,6.258,5.996,5545.23,600745
11,2000-01-19,6.205,6.162,6.232,6.101,4035.6,600745
12,2000-01-20,6.144,6.232,6.275,6.118,4295.9,600745
13,2000-01-21,6.24,6.022,6.319,5.996,7549.0,600745
14,2000-01-24,5.987,5.707,5.987,5.576,9510.28,600745
15,2000-01-25,5.664,5.838,5.943,5.62,5501.13,600745
16,2000-01-26,5.847,5.83,5.97,5.786,4725.56,600745
17,2000-01-27,5.838,5.716,5.882,5.664,9338.77,600745
18,2000-01-28,5.699,5.76,5.76,5.576,8823.73,600745
19,2000-02-14,5.821,6.345,6.389,5.769,13839.59,600745
20,2000-02-15,6.433,5.97,6.433,5.926,16896.42,600745
21,2000-02-16,5.961,6.223,6.301,5.751,15290.7,600745
22,2000-02-17,6.223,6.048,6.424,5.978,15840.78,600745
23,2000-02-18,6.101,6.144,6.188,5.996,7417.14,600745
24,2000-02-21,6.144,6.398,6.406,6.013,15973.29,600745
25,2000-02-22,6.433,6.17,6.677,6.144,13874.8,600745
26,2000-02-23,6.144,6.092,6.258,6.022,6495.94,600745
27,2000-02-24,6.101,6.17,6.17,6.013,4077.99,600745
28,2000-02-25,6.101,6.013,6.144,5.996,5390.2,600745
29,2000-02-28,5.996,6.135,6.232,5.926,9408.55,600745
30,2000-02-29,6.17,6.476,6.581,6.17,19040.39,600745
31,2000-03-01,6.546,6.607,6.625,6.363,15131.99,600745
32,2000-03-02,6.642,7.027,7.28,6.642,37716.17,600745
33,2000-03-03,7.027,6.843,7.027,6.712,16539.68,600745
34,2000-03-06,6.887,6.555,6.974,6.555,12586.0,600745
35,2000-03-07,6.406,6.45,6.537,6.301,6104.0,600745
36,2000-03-08,6.537,6.66,6.712,6.406,5138.3,600745
37,2000-03-09,6.651,6.529,6.66,6.45,6858.15,600745
38,2000-03-10,6.529,6.441,6.581,6.354,5789.42,600745
39,2000-03-13,6.45,6.555,6.607,6.336,5157.3,600745
40,2000-03-14,6.625,6.843,6.878,6.284,15293.85,600745
41,2000-03-15,6.887,6.896,7.044,6.73,12665.6,600745
42,2000-03-16,6.887,6.45,6.887,6.319,7573.3,600745
43,2000-03-17,6.45,6.616,6.677,6.406,5609.93,600745
44,2000-03-20,6.616,7.219,7.28,6.616,37480.07,600745
45,2000-03-21,7.236,7.472,7.49,7.044,22249.11,600745
46,2000-03-22,7.49,7.306,7.542,7.053,16549.25,600745
47,2000-03-23,7.306,7.42,7.481,7.236,13348.32,600745
48,2000-03-24,7.42,7.14,7.481,7.061,14154.0,600745
49,2000-03-27,7.14,7.367,7.455,7.14,10616.64,600745
50,2000-03-28,7.455,7.621,7.76,7.402,17104.16,600745
51,2000-03-29,7.656,7.393,7.673,7.149,9957.04,600745
52,2000-03-30,7.393,7.524,7.603,7.385,8157.93,600745
53,2000-03-31,7.524,7.446,7.524,7.332,9174.3,600745
54,2000-04-03,7.411,7.586,7.69,7.385,12018.26,600745
55,2000-04-04,7.411,7.193,7.481,7.158,8986.0,600745
56,2000-04-05,7.149,7.245,7.324,7.14,5883.77,600745
57,2000-04-06,7.245,7.393,7.446,7.245,6912.69,600745
58,2000-04-07,7.393,7.656,7.656,7.393,13650.19,600745
59,2000-04-10,7.673,7.813,7.953,7.664,15301.22,600745
60,2000-04-11,7.813,7.638,7.83,7.621,8403.8,600745
61,2000-04-12,7.629,7.586,7.708,7.411,7580.97,600745
62,2000-04-13,7.586,7.638,7.717,7.533,6206.26,600745
63,2000-04-14,7.673,7.699,7.717,7.542,8841.4,600745
64,2000-04-17,7.717,8.188,8.328,7.586,28904.72,600745
65,2000-04-18,8.066,8.162,8.241,7.856,14874.42,600745
66,2000-04-19,8.162,8.171,8.328,8.022,11121.69,600745
67,2000-04-20,8.171,8.494,8.582,8.119,16795.07,600745
68,2000-04-21,8.529,8.608,8.739,8.389,16909.68,600745
69,2000-04-24,8.616,8.704,9.228,8.599,20628.2,600745
70,2000-04-25,8.721,8.407,8.896,8.206,10899.28,600745
71,2000-04-26,8.459,8.311,8.538,8.285,6862.49,600745
72,2000-04-27,8.328,7.76,8.372,7.76,15258.66,600745
73,2000-04-28,7.752,7.83,7.883,7.69,6902.53,600745
74,2000-05-08,7.76,8.153,8.293,7.341,17080.81,600745
75,2000-05-09,8.18,8.119,8.354,8.022,10093.32,600745
76,2000-05-10,8.022,8.162,8.328,7.83,11197.59,600745
77,2000-05-11,8.197,8.582,8.634,8.022,31111.11,600745
78,2000-05-12,8.547,8.678,8.765,8.424,21565.71,600745
79,2000-05-15,8.678,8.328,8.721,8.206,11999.02,600745
80,2000-05-16,8.328,8.398,8.529,8.267,9936.85,600745
81,2000-05-17,8.398,8.398,8.468,8.223,7451.14,600745
