,date,open,close,high,low,volume,code
0,2012-04-11,0.886,0.898,0.924,0.877,141973.0,601012
1,2012-04-12,0.875,0.883,0.89,0.867,83715.0,601012
2,2012-04-13,0.877,0.897,0.903,0.876,67896.0,601012
3,2012-04-16,0.895,0.882,0.903,0.879,40848.0,601012
4,2012-04-17,0.88,0.853,0.887,0.853,44860.0,601012
5,2012-04-18,0.853,0.865,0.867,0.849,32793.0,601012
6,2012-04-19,0.861,0.857,0.869,0.853,24203.0,601012
7,2012-04-20,0.861,0.861,0.865,0.854,21775.0,601012
8,2012-04-23,0.856,0.826,0.861,0.824,35875.0,601012
9,2012-04-24,0.817,0.814,0.83,0.794,27686.0,601012
10,2012-04-25,0.809,0.812,0.815,0.8,17288.0,601012
11,2012-04-26,0.812,0.813,0.824,0.81,15936.0,601012
12,2012-04-27,0.809,0.814,0.821,0.804,10815.0,601012
13,2012-05-02,0.807,0.815,0.816,0.796,33930.0,601012
14,2012-05-03,0.809,0.807,0.814,0.802,14561.0,601012
15,2012-05-04,0.803,0.809,0.813,0.803,15076.0,601012
16,2012-05-07,0.811,0.817,0.818,0.804,16596.0,601012
17,2012-05-08,0.82,0.824,0.826,0.815,16887.0,601012
18,2012-05-09,0.82,0.807,0.821,0.807,15891.0,601012
19,2012-05-10,0.807,0.808,0.811,0.802,9376.0,601012
20,2012-05-11,0.807,0.806,0.812,0.803,6278.0,601012
21,2012-05-14,0.81,0.801,0.811,0.801,9124.0,601012
22,2012-05-15,0.798,0.784,0.798,0.78,18730.0,601012
23,2012-05-16,0.783,0.767,0.784,0.767,12788.0,601012
24,2012-05-17,0.768,0.773,0.777,0.765,10045.0,601012
25,2012-05-18,0.769,0.766,0.772,0.763,10021.0,601012
26,2012-05-21,0.765,0.753,0.769,0.749,11875.0,601012
27,2012-05-22,0.756,0.761,0.762,0.755,6512.0,601012
28,2012-05-23,0.761,0.767,0.771,0.76,9047.0,601012
29,2012-05-24,0.77,0.772,0.791,0.763,16616.0,601012
30,2012-05-25,0.772,0.755,0.775,0.755,9980.0,601012
31,2012-05-28,0.756,0.76,0.761,0.746,7150.0,601012
32,2012-05-30,0.77,0.774,0.784,0.77,14204.0,601012
33,2012-05-31,0.77,0.773,0.781,0.767,8256.0,601012
34,2012-06-01,0.775,0.766,0.778,0.764,8184.0,601012
35,2012-06-04,0.755,0.751,0.76,0.75,7845.0,601012
36,2012-06-05,0.752,0.75,0.757,0.749,3903.0,601012
37,2012-06-06,0.755,0.749,0.758,0.745,4282.0,601012
38,2012-06-07,0.755,0.746,0.758,0.745,5149.0,601012
39,2012-06-08,0.756,0.752,0.756,0.746,4859.0,601012
40,2012-06-11,0.754,0.76,0.76,0.75,5538.0,601012
41,2012-06-12,0.757,0.754,0.761,0.752,5324.0,601012
42,2012-06-13,0.752,0.762,0.763,0.752,5459.0,601012
43,2012-06-14,0.761,0.764,0.77,0.759,7175.0,601012
44,2012-06-15,0.767,0.76,0.768,0.754,5267.0,601012
45,2012-06-19,0.77,0.772,0.781,0.765,17746.0,601012
46,2012-06-20,0.772,0.767,0.777,0.765,7675.0,601012
47,2012-06-21,0.77,0.774,0.777,0.767,9198.0,601012
48,2012-06-25,0.78,0.755,0.781,0.752,10587.0,601012
49,2012-06-26,0.738,0.765,0.773,0.738,6540.0,601012
50,2012-06-27,0.762,0.726,0.764,0.723,18278.0,601012
51,2012-06-28,0.73,0.693,0.734,0.692,20149.0,601012
52,2012-06-29,0.692,0.702,0.71,0.676,12869.0,601012
53,2012-07-02,0.708,0.696,0.709,0.689,12623.0,601012
54,2012-07-03,0.689,0.716,0.72,0.689,18850.0,601012
55,2012-07-04,0.712,0.74,0.747,0.712,32087.0,601012
56,2012-07-05,0.731,0.745,0.749,0.721,20208.0,601012
57,2012-07-06,0.744,0.741,0.754,0.725,20646.0,601012
58,2012-07-09,0.735,0.72,0.735,0.713,12976.0,601012
59,2012-07-10,0.719,0.722,0.733,0.716,13948.0,601012
60,2012-07-11,0.725,0.699,0.725,0.693,12355.0,601012
61,2012-07-12,0.701,0.676,0.706,0.668,24234.0,601012
62,2012-07-13,0.675,0.667,0.686,0.665,11023.0,601012
63,2012-07-16,0.667,0.588,0.668,0.588,48412.0,601012
64,2012-07-17,0.582,0.545,0.582,0.535,46501.0,601012
65,2012-07-18,0.545,0.548,0.551,0.537,18906.0,601012
66,2012-07-19,0.548,0.557,0.564,0.548,15858.0,601012
67,2012-07-20,0.557,0.546,0.558,0.545,12172.0,601012
68,2012-07-23,0.539,0.542,0.545,0.538,8394.0,601012
69,2012-07-24,0.54,0.545,0.549,0.534,8580.0,601012
70,2012-07-25,0.54,0.547,0.559,0.536,11763.0,601012
71,2012-07-26,0.551,0.54,0.551,0.538,9055.0,601012
72,2012-07-27,0.544,0.542,0.548,0.537,5056.0,601012
73,2012-07-30,0.539,0.498,0.545,0.493,24025.0,601012
74,2012-07-31,0.498,0.471,0.498,0.468,25918.0,601012
75,2012-08-01,0.471,0.472,0.481,0.467,20174.0,601012
76,2012-08-02,0.473,0.472,0.48,0.464,17200.0,601012
77,2012-08-03,0.471,0.496,0.502,0.467,39766.0,601012
78,2012-08-06,0.489,0.499,0.5,0.482,30469.0,601012
79,2012-08-07,0.495,0.509,0.532,0.494,36979.0,601012
80,2012-08-08,0.508,0.503,0.516,0.502,21793.0,601012
81,2012-08-09,0.504,0.512,0.512,0.494,25567.0,601012
82,2012-08-10,0.511,0.54,0.551,0.509,67251.0,601012
83,2012-08-13,0.539,0.537,0.569,0.534,79372.0,601012
84,2012-08-14,0.53,0.525,0.536,0.508,36030.0,601012
85,2012-08-15,0.524,0.535,0.542,0.516,26928.0,601012
86,2012-08-16,0.534,0.524,0.537,0.523,11968.0,601012
87,2012-08-17,0.521,0.526,0.534,0.519,12255.0,601012
88,2012-08-20,0.524,0.528,0.53,0.516,9511.0,601012
89,2012-08-21,0.529,0.535,0.539,0.524,23091.0,601012
90,2012-08-22,0.534,0.52,0.534,0.517,14555.0,601012
91,2012-08-23,0.523,0.529,0.53,0.513,19366.0,601012
92,2012-08-24,0.524,0.512,0.525,0.505,16022.0,601012
93,2012-08-27,0.51,0.487,0.51,0.483,14935.0,601012
94,2012-08-28,0.487,0.492,0.497,0.485,7647.0,601012
95,2012-08-29,0.491,0.496,0.505,0.488,10028.0,601012
96,2012-08-30,0.496,0.492,0.504,0.478,12194.0,601012
97,2012-08-31,0.495,0.489,0.501,0.483,8770.0,601012
98,2012-09-03,0.489,0.497,0.497,0.486,8403.0,601012
99,2012-09-04,0.497,0.478,0.499,0.474,17766.0,601012
100,2012-09-05,0.482,0.483,0.488,0.472,10654.0,601012
101,2012-09-06,0.483,0.495,0.496,0.482,13502.0,601012
102,2012-09-07,0.494,0.521,0.522,0.49,46221.0,601012
103,2012-09-10,0.516,0.538,0.543,0.511,47908.0,601012
104,2012-09-11,0.536,0.531,0.536,0.525,24780.0,601012
105,2012-09-12,0.539,0.531,0.539,0.526,18212.0,601012
106,2012-09-13,0.533,0.533,0.569,0.53,63111.0,601012
107,2012-09-14,0.534,0.524,0.537,0.516,34325.0,601012
108,2012-09-17,0.523,0.495,0.523,0.492,24702.0,601012
109,2012-09-18,0.499,0.493,0.501,0.491,13750.0,601012
110,2012-09-19,0.493,0.497,0.499,0.487,8334.0,601012
111,2012-09-20,0.497,0.477,0.497,0.476,14253.0,601012
112,2012-09-21,0.477,0.488,0.492,0.474,11590.0,601012
113,2012-09-24,0.483,0.497,0.501,0.472,11268.0,601012
114,2012-09-25,0.49,0.487,0.497,0.482,6011.0,601012
