,date,open,close,high,low,volume,code
0,2017-05-04,6.652,6.652,6.652,6.652,149.0,603501
1,2017-05-05,7.4,7.4,7.4,7.4,51.0,603501
2,2017-05-08,8.222,8.222,8.222,8.222,87.0,603501
3,2017-05-09,9.126,9.126,9.126,9.126,90.0,603501
4,2017-05-10,10.126,10.126,10.126,10.126,106.0,603501
5,2017-05-11,11.222,11.222,11.222,11.222,394.0,603501
6,2017-05-12,12.43,12.43,12.43,12.43,971.0,603501
7,2017-05-15,13.756,13.756,13.756,13.756,773.0,603501
8,2017-05-16,15.215,15.215,15.215,15.215,3001.0,603501
9,2017-05-17,16.822,16.822,16.822,16.822,1641.0,603501
10,2017-05-18,18.585,18.585,18.585,18.585,1526.0,603501
11,2017-05-19,20.526,17.156,20.526,16.985,243098.0,603501
12,2017-05-22,16.126,15.356,16.437,15.356,123576.0,603501
13,2017-05-23,14.504,15.593,15.807,14.444,139664.0,603501
14,2017-05-24,15.207,15.822,16.044,15.015,126769.0,603501
15,2017-05-25,15.682,14.867,15.726,14.511,116881.0,603501
16,2017-05-26,14.911,15.4,16.104,14.911,115730.0,603501
17,2017-05-31,16.2,16.059,17.022,15.963,190691.0,603501
18,2017-06-01,15.259,14.37,15.57,14.37,142729.0,603501
19,2017-06-02,13.548,14.089,14.563,13.4,78077.0,603501
20,2017-09-27,15.585,15.585,15.585,15.585,6988.0,603501
21,2017-09-28,17.23,17.23,17.23,17.23,6319.0,603501
22,2017-10-09,19.037,19.037,19.037,19.037,8383.0,603501
23,2017-10-10,21.022,21.022,21.022,21.022,9912.0,603501
24,2017-10-11,23.207,23.207,23.207,22.207,116823.0,603501
25,2017-10-12,23.985,25.615,25.615,22.719,250048.0,603501
26,2017-10-13,25.163,23.333,25.356,23.044,172796.0,603501
27,2017-10-16,23.837,21.556,24.126,21.022,123884.0,603501
28,2017-10-17,21.222,21.659,22.496,20.57,98140.0,603501
29,2017-10-18,21.363,20.393,22.482,20.207,107148.0,603501
30,2017-10-19,20.126,20.267,20.911,19.852,69402.0,603501
31,2017-10-20,20.563,21.037,22.126,20.356,114173.0,603501
32,2017-10-23,20.644,20.178,20.719,19.837,81566.0,603501
33,2017-10-24,19.911,20.933,21.207,19.911,93333.0,603501
